TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ADBGR,ADANA CIMENTO B GRUBU,N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.58,4.58,4.52,4.58,4.57,0.0,0.0,4.56,4.57,4.562,9193.14,2015.0,28.0,0.0,45.8,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ADBGR,ADANA CIMENTO B GRUBU,N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.61,4.61,4.58,4.66,4.66,0.0,1.969,4.65,4.66,4.625,46818.27,10122.0,30.0,0.0,46.1,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ADBGR,ADANA CIMENTO B GRUBU,N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.7,4.7,4.64,4.7,4.66,0.0,0.0,4.65,4.66,4.665,60330.52,12932.0,58.0,0.0,47.0,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.69,4.69,4.6,4.69,4.6,4.6,-1.288,4.6,4.61,4.626,73218.86,15826.0,67.0,0.0,46.9,10,2.0,1794.0,390,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.64,4.64,4.55,4.64,4.55,4.55,-1.087,4.54,4.55,4.591,137159.62,29874.0,107.0,0.0,46.4,10,1.0,2275.0,500,2,4777.5,1050,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.59,4.59,4.53,4.59,4.56,0.0,0.22,4.55,4.56,4.554,19457.2,4273.0,33.0,0.0,45.9,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.56,4.56,4.51,4.6,4.52,4.52,-0.877,4.51,4.52,4.55,166145.09,36512.0,82.0,0.0,45.6,10,2.0,2264.52,501,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.52,4.52,4.49,4.56,4.55,0.0,0.664,4.54,4.55,4.527,43546.83,9620.0,38.0,0.0,2689.4,595,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.57,4.57,4.49,4.57,4.49,0.0,-1.319,4.49,4.51,4.53,100973.75,22288.0,50.0,0.0,45.7,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ADBGR,ADANA CIMENTO (B),N,MSPOT,MSPOTEQT,MSPOTEQTADBGR,0,0,0,0,0,4.48,0.0,4.43,4.51,4.44,0.0,-1.114,4.43,4.44,4.462,30558.94,6848.0,53.0,0.0,0.0,0,0.0,0.0,0,0,985.68,222,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
