TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ADESE,ADESE ALISVERIS MERKEZLERI TIC,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.44,3.44,3.39,3.45,3.41,3.41,0.0,3.41,3.42,3.424,1079716.13,315295.0,620.0,0.0,103.2,30,2.0,30209.19,8859,8,8525.0,2500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ADESE,ADESE ALISVERIS MERKEZLERI TIC,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.44,3.44,3.43,3.5,3.47,3.47,1.76,3.47,3.48,3.464,2094481.11,604574.0,1217.0,0.0,20055.2,5830,7.0,51015.94,14702,14,5944.11,1713,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ADESE,ADESE ALISVERIS MERKEZLERI TIC,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.53,3.53,3.43,3.53,3.45,3.45,-0.576,3.45,3.46,3.475,1796192.51,516879.0,1283.0,0.0,10169.93,2881,22.0,23732.55,6879,16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.47,3.47,3.41,3.49,3.41,3.41,-1.159,3.41,3.42,3.454,2038813.3,590319.0,951.0,0.0,10028.3,2890,8.0,20170.15,5915,15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.44,3.44,3.33,3.44,3.35,3.35,-1.76,3.35,3.36,3.373,2021890.98,599473.0,1373.0,0.0,10096.4,2935,7.0,38149.8,11388,18,7075.2,2112,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.36,3.36,3.28,3.39,3.36,3.36,0.299,3.34,3.36,3.33,1033076.66,310219.0,1642.0,0.0,22176.0,6600,13.0,15388.8,4580,13,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.35,3.35,3.31,3.45,3.32,3.32,-1.19,3.32,3.33,3.371,1720691.48,510489.0,1011.0,0.0,3383.5,1010,3.0,31354.08,9444,13,7802.0,2350,6,3.39,3.44,3.421,104987.04,30691,29,0.0,0.0,0.0,0.0,0,0
2015-12-09,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.34,3.34,3.28,3.36,3.36,3.36,1.205,3.35,3.36,3.315,1225808.49,369790.0,742.0,0.0,50.1,15,1.0,20328.0,6050,15,12432.0,3700,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.36,3.36,3.22,3.39,3.23,3.23,-3.869,3.23,3.28,3.317,1618402.15,487914.0,1002.0,0.0,68923.68,20513,14.0,24244.38,7506,6,20794.74,6438,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.29,3.29,3.07,3.29,3.09,3.09,-4.334,3.09,3.11,3.146,1674283.06,532140.0,1194.0,0.0,10166.1,3090,6.0,12406.35,4015,14,13447.68,4352,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.13,3.13,3.0,3.15,3.02,3.02,-2.265,3.02,3.03,3.082,1156783.42,375370.0,1084.0,0.0,17221.26,5502,12.0,20457.48,6774,6,21291.0,7050,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ADESE,ADESE ALISVERIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTADESE,0,0,0,0,0,3.04,3.04,3.01,3.21,3.13,3.13,3.642,3.12,3.13,3.126,3109405.14,994571.0,2099.0,0.0,7302.08,2402,8.0,37121.8,11860,10,10141.2,3240,3,3.13,3.2,3.174,71194.29,22431,32,0.0,0.0,0.0,0.0,0,0
