TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AKSGY,AKIS GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.16,0.0,2.12,2.17,2.17,2.17,0.0,2.12,2.17,2.155,9559.14,4436.0,24.0,0.0,0.0,0,0.0,1006.88,464,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,AKSGY,AKIS GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.12,0.0,2.11,2.16,2.16,0.0,-0.461,2.15,2.16,2.141,35224.47,16452.0,152.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,AKSGY,AKIS GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.17,2.17,2.12,2.17,2.12,2.12,-1.852,2.12,2.15,2.143,23727.66,11072.0,53.0,0.0,1629.67,751,5.0,1696.0,800,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.15,0.0,2.12,2.16,2.15,2.15,1.415,2.12,2.15,2.144,11572.82,5398.0,47.0,0.0,0.0,0,0.0,266.6,124,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.16,0.0,2.12,2.16,2.15,2.15,0.0,2.13,2.15,2.134,16122.71,7556.0,35.0,0.0,0.0,0,0.0,535.35,249,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.15,0.0,2.1,2.15,2.12,0.0,-1.395,2.12,2.13,2.112,23061.32,10921.0,50.0,0.0,0.0,0,0.0,0.0,0,0,5291.52,2496,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.12,2.12,2.07,2.14,2.14,0.0,0.943,2.1,2.13,2.118,5045.68,2382.0,25.0,0.0,212.0,100,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.13,0.0,2.09,2.18,2.15,0.0,0.467,2.13,2.15,2.122,40951.13,19300.0,65.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.15,0.0,2.1,2.16,2.1,2.1,-2.326,2.1,2.13,2.123,13678.15,6442.0,43.0,0.0,0.0,0,0.0,525.0,250,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.15,0.0,2.08,2.15,2.15,2.15,2.381,2.1,2.15,2.101,13937.7,6634.0,47.0,0.0,0.0,0,0.0,122.55,57,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.14,0.0,2.1,2.15,2.12,2.12,-1.395,2.1,2.12,2.121,14291.14,6738.0,26.0,0.0,0.0,0,0.0,271.36,128,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.12,2.12,2.11,2.15,2.12,0.0,0.0,2.12,2.13,2.117,6937.06,3277.0,29.0,0.0,4.24,2,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,AKSGY,AKIS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKSGY,0,0,0,0,0,2.11,0.0,2.09,2.16,2.13,0.0,0.472,2.12,2.13,2.109,16023.86,7598.0,216.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
