TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-08-04,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,6.9,6.9,5.96,7.2,5.96,5.96,0.0,0.0,5.96,6.637,20865466.87,3143735.0,4769.0,0.0,99974.1,14489,74.0,72604.72,12182,30,128634.68,21583,33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-05,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.4,5.4,5.37,6.45,6.43,6.43,7.886,6.42,6.43,5.818,16371280.76,2814085.0,5303.0,0.0,404665.2,74938,79.0,51902.96,8072,32,54751.45,8515,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-06,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,6.4,6.4,5.79,6.4,5.79,5.79,-9.953,0.0,5.79,6.011,12803089.82,2129940.0,4523.0,0.0,463641.6,72444,106.0,4099.32,708,6,677.43,117,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-07,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.22,5.22,5.22,6.29,6.1,6.1,5.354,6.05,6.1,5.578,14137504.02,2534672.0,3635.0,0.0,1207975.86,231413,75.0,90200.7,14787,17,22313.8,3658,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-10,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,6.0,6.0,5.72,6.5,5.95,5.95,-2.459,5.95,5.96,6.022,27946734.82,4641143.0,7798.0,0.0,294672.0,49112,95.0,168075.6,28248,43,31332.7,5266,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-11,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.95,5.95,5.46,5.98,5.56,5.56,-6.555,5.56,5.57,5.743,29382088.48,5116071.0,8322.0,0.0,40947.9,6882,30.0,43929.56,7901,21,4214.48,758,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-12,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.56,5.56,5.01,5.59,5.01,5.01,-9.892,0.0,5.01,5.174,31007762.83,5993146.0,9676.0,0.0,35161.44,6324,27.0,4208.4,840,4,12995.94,2594,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-13,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,4.81,4.81,4.53,5.51,5.51,5.51,9.98,5.51,0.0,5.203,88272715.1,16966652.0,19118.0,0.0,470268.89,97769,81.0,28707.1,5210,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-14,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.51,5.51,5.31,5.96,5.35,5.35,-2.904,5.34,5.35,5.699,73242975.97,12852977.0,15803.0,0.0,617654.47,112097,136.0,236025.95,44117,79,24791.9,4634,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-17,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.35,5.35,5.0,5.6,5.0,5.0,-6.542,5.0,5.01,5.24,25101263.19,4790044.0,7592.0,0.0,75408.25,14095,43.0,116380.0,23276,64,26265.0,5253,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-18,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.08,5.08,4.93,5.35,5.05,5.05,1.0,5.05,5.06,5.111,23306365.61,4559654.0,7337.0,0.0,98552.0,19400,23.0,138097.3,27346,45,4236.95,839,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-19,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.06,5.06,4.82,5.18,4.95,4.95,-1.98,4.95,4.96,4.974,20843497.39,4190070.0,6826.0,0.0,5338.3,1055,13.0,148737.6,30048,27,45045.0,9100,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-20,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,4.95,4.95,4.54,4.95,4.58,4.58,-7.475,4.58,4.59,4.715,20441554.31,4335831.0,7860.0,0.0,57474.45,11611,42.0,108994.84,23798,33,57602.66,12577,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-21,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,4.85,4.85,4.29,4.85,4.34,4.34,-5.24,4.34,4.35,4.546,14667718.71,3226808.0,5309.0,0.0,120862.0,24920,56.0,79513.14,18321,21,11657.24,2686,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-24,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.24,4.24,4.08,4.77,4.77,4.77,9.908,4.77,0.0,4.545,10097559.17,2221681.0,4157.0,0.0,42874.88,10112,52.0,195.57,41,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-25,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.8,4.8,4.65,5.24,5.24,5.24,9.853,5.24,0.0,5.057,16507757.83,3264282.0,5620.0,0.0,169176.0,35245,74.0,220321.04,42046,35,2620.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-26,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.24,5.24,4.95,5.54,4.98,4.98,-4.962,4.98,4.99,5.264,11518474.01,2188200.0,4473.0,0.0,213886.32,40818,115.0,103369.86,20757,42,49964.34,10033,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-27,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.8,4.8,4.75,5.15,4.86,4.86,-2.41,4.86,4.87,4.913,7315232.05,1489000.0,3265.0,0.0,193852.8,40386,96.0,93423.78,19223,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-28,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.8,4.8,4.7,4.95,4.83,4.83,-0.617,4.83,4.84,4.831,4175967.6,864329.0,2206.0,0.0,20486.4,4268,30.0,24473.61,5067,30,4506.39,933,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-31,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.79,4.79,4.63,4.92,4.68,4.68,-3.106,4.67,4.68,4.759,4054697.52,852073.0,2192.0,0.0,11496.0,2400,19.0,19679.4,4205,8,5990.4,1280,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-01,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,4.66,4.66,4.44,4.8,4.71,4.71,0.641,4.71,4.72,4.605,5216523.45,1132761.0,2395.0,0.0,21696.96,4656,20.0,29819.01,6331,11,10625.76,2256,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-02,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.18,5.18,4.97,5.18,5.18,0.0,9.979,5.18,0.0,5.145,7841788.88,1524170.0,1661.0,0.0,1267121.24,244618,236.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-03,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.6,5.6,5.5,5.69,5.69,0.0,9.846,5.69,0.0,5.66,15979821.53,2823270.0,3207.0,0.0,1565060.0,279475,309.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-04,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.69,5.69,5.41,5.98,5.72,5.72,0.527,5.71,5.72,5.685,18060331.38,3176783.0,5683.0,0.0,1207736.64,212256,261.0,89901.24,15717,18,61375.6,10730,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-07,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,1,0,5.6,5.6,5.4,5.72,5.52,5.52,-3.497,5.52,5.53,5.556,7963208.41,1433259.0,3320.0,0.0,169523.2,30272,86.0,91333.92,16546,23,132480.0,24000,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-08,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.52,5.52,5.14,5.58,5.18,5.18,-6.159,5.18,5.19,5.278,25637373.97,4857837.0,8124.0,0.0,46058.88,8344,38.0,40476.52,7814,27,7407.4,1430,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-09,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.17,5.17,4.95,5.48,5.23,5.23,0.965,5.22,5.23,5.231,28148554.49,5381318.0,8954.0,0.0,68435.29,13237,43.0,46818.96,8952,17,5617.02,1074,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-10,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.23,5.23,5.11,5.3,5.14,5.14,-1.721,5.14,5.15,5.179,11878831.74,2293611.0,3968.0,0.0,117366.43,22441,29.0,115871.02,22543,28,47858.54,9311,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-11,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.1,5.1,5.04,5.24,5.09,5.09,-0.973,5.08,5.09,5.123,12132014.94,2368232.0,4124.0,0.0,64326.3,12613,42.0,40307.71,7919,14,13457.96,2644,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-14,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.09,5.09,4.99,5.48,5.28,5.28,3.733,5.27,5.28,5.25,30403617.5,5791402.0,7793.0,0.0,70628.84,13876,19.0,39610.56,7502,17,73360.32,13894,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-15,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.3,5.3,5.17,5.55,5.31,5.31,0.568,5.31,5.32,5.383,16884707.38,3136889.0,4692.0,0.0,37932.1,7157,19.0,36548.73,6883,19,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-16,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,5.84,5.84,5.6,5.84,5.84,5.84,9.981,5.84,0.0,5.784,29102858.09,5031181.0,4972.0,0.0,2155713.36,369129,459.0,2411.92,413,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-17,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,6.18,6.18,6.02,6.42,6.17,6.17,5.651,6.17,6.18,6.268,95704192.92,15267757.0,17059.0,0.0,3437544.66,556237,565.0,243017.79,39387,54,36847.24,5972,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-18,AKYHO,AKDENIZ YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTAKYHO,0,0,0,0,0,6.17,6.17,5.65,6.17,5.67,5.67,-8.104,5.67,5.68,5.834,43122179.3,7391247.0,11133.0,0.0,487090.65,78945,146.0,214314.66,37798,55,66543.12,11736,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
