TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ALBRK,ALBARAKA TURK KATILIM BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.39,1.39,1.38,1.41,1.4,1.4,0.0,1.39,1.4,1.395,1092134.56,782721.0,524.0,0.0,1597.11,1149,7.0,620915.4,443511,42,1.4,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ALBRK,ALBARAKA TURK KATILIM BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.4,1.4,1.39,1.42,1.41,1.41,0.714,1.41,1.42,1.408,1743802.17,1238414.0,465.0,0.0,3428.6,2449,5.0,50857.29,36069,13,42300.0,30000,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ALBRK,ALBARAKA TURK KATILIM BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.42,1.42,1.41,1.43,1.42,1.42,0.709,1.41,1.42,1.42,1037745.03,730743.0,262.0,0.0,14342.0,10100,4.0,54016.8,38040,16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.43,1.43,1.41,1.44,1.42,1.42,0.0,1.41,1.42,1.427,1408167.09,987059.0,272.0,0.0,57.2,40,2.0,47422.32,33396,17,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.41,1.41,1.39,1.42,1.41,1.41,-0.704,1.4,1.41,1.401,1681694.5,1200246.0,327.0,0.0,3539.1,2510,6.0,42300.0,30000,9,0.0,0,0,1.4,1.4,1.4,420000.0,300000,4,0.0,0.0,0.0,0.0,0,0
2015-12-07,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.41,1.41,1.38,1.41,1.39,1.39,-1.418,1.38,1.39,1.39,818214.97,588725.0,320.0,0.0,2763.6,1960,6.0,34958.5,25150,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.39,1.39,1.36,1.39,1.37,1.37,-1.439,1.36,1.37,1.372,1038034.93,756716.0,251.0,0.0,26.41,19,3.0,103776.13,75749,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.37,1.37,1.36,1.4,1.4,1.4,2.19,1.39,1.4,1.379,951631.48,690302.0,253.0,0.0,572.66,418,3.0,190.4,136,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.39,1.39,1.34,1.39,1.36,1.36,-2.857,1.35,1.36,1.373,1172874.18,854280.0,295.0,0.0,56048.97,40323,6.0,34170.0,25125,7,13.6,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ALBRK,ALBARAKA TURK,Z,MSPOT,MSPOTEQT,MSPOTEQTALBRK,0,1,0,0,0,1.36,1.36,1.32,1.36,1.35,1.35,-0.735,1.34,1.35,1.334,756169.96,566660.0,309.0,0.0,63.92,47,5.0,33801.3,25038,12,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
