TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ALCAR,ALARKO CARRIER SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,34.0,0.0,33.38,34.98,33.46,33.46,0.0,33.46,33.5,33.806,867624.8,25665.0,492.0,0.0,0.0,0,0.0,8699.6,260,6,0.0,0,0,34.8,34.8,34.8,313.2,9,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,ALCAR,ALARKO CARRIER SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.6,33.6,33.6,34.4,34.06,34.06,1.793,34.06,34.08,34.006,614530.76,18071.0,379.0,0.0,5376.0,160,5.0,1873.3,55,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ALCAR,ALARKO CARRIER SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,34.28,0.0,33.62,34.6,33.9,33.9,-0.47,33.88,33.9,34.212,715196.36,20905.0,415.0,0.0,0.0,0,0.0,3729.0,110,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.9,33.9,33.58,34.18,33.64,33.64,-0.767,33.64,33.8,33.825,657348.68,19434.0,354.0,0.0,67.8,2,1.0,3128.52,93,3,4373.2,130,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.6,33.6,32.8,33.96,33.22,33.22,-1.249,33.22,33.38,33.313,594641.08,17850.0,434.0,0.0,1142.4,34,4.0,465.08,14,1,2325.4,70,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.38,0.0,32.8,33.38,32.8,32.8,-1.264,32.8,32.86,32.961,818055.72,24819.0,346.0,0.0,0.0,0,0.0,3444.0,105,3,5805.6,177,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.86,0.0,32.32,33.14,32.4,32.4,-1.22,32.36,32.4,32.793,757868.7,23111.0,554.0,0.0,0.0,0,0.0,3823.2,118,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.5,32.5,32.0,32.96,32.94,32.94,1.667,32.8,32.94,32.506,781774.92,24050.0,431.0,0.0,2437.5,75,4.0,8235.0,250,1,856.44,26,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.04,33.04,31.92,33.24,32.04,32.04,-2.732,32.0,32.12,32.555,753711.56,23152.0,396.0,0.0,7136.64,216,4.0,6856.56,214,4,3396.24,106,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.0,32.0,31.5,32.34,31.78,31.78,-0.811,31.7,31.78,31.762,608201.22,19149.0,300.0,0.0,3200.0,100,1.0,6705.58,211,4,1271.2,40,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.9,0.0,31.36,32.16,31.62,31.62,-0.503,31.62,31.64,31.758,586688.42,18474.0,334.0,0.0,0.0,0,0.0,7905.0,250,3,16695.36,528,3,31.84,31.9,31.883,924.62,29,11,0.0,0.0,0.0,0.0,0,0
2015-12-15,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.98,0.0,31.6,32.5,32.32,32.32,2.214,32.3,32.32,32.125,719156.06,22386.0,316.0,0.0,0.0,0,0.0,517.12,16,1,9599.04,297,7,32.18,32.22,32.2,12042.8,374,2,0.0,0.0,0.0,0.0,0,0
2015-12-16,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.08,32.08,31.8,32.34,32.04,32.04,-0.866,32.04,32.2,32.084,665480.62,20742.0,278.0,0.0,32.08,1,1.0,8362.44,261,9,4806.0,150,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.12,32.12,32.12,33.0,32.8,32.8,2.372,32.8,32.86,32.608,1206104.84,36988.0,408.0,0.0,87527.0,2725,13.0,8856.0,270,3,3936.0,120,2,32.66,32.66,32.66,1175.76,36,1,0.0,0.0,0.0,0.0,0,0
2015-12-18,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.86,32.86,32.42,33.82,33.54,33.54,2.256,33.5,33.54,32.88,642376.62,19537.0,338.0,0.0,3943.2,120,1.0,972.66,29,3,670.8,20,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.44,33.44,33.3,33.76,33.58,33.58,0.119,33.56,33.58,33.626,569863.02,16947.0,313.0,0.0,5852.0,175,2.0,1914.06,57,4,4533.3,135,3,33.68,33.68,33.68,943.04,28,1,0.0,0.0,0.0,0.0,0,0
2015-12-22,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.78,33.78,33.34,33.78,33.6,33.6,0.06,33.54,33.6,33.452,444511.64,13288.0,349.0,0.0,168.9,5,1.0,537.6,16,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.7,33.7,33.68,34.12,33.9,33.9,0.893,33.88,33.9,33.913,466913.48,13768.0,368.0,0.0,3370.0,100,4.0,4305.3,127,2,440.7,13,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.14,33.14,33.14,34.1,33.7,33.7,-0.59,33.68,33.7,33.783,533563.54,15794.0,309.0,0.0,12924.6,390,13.0,11896.1,353,8,11458.0,340,5,33.62,33.64,33.635,134.54,4,2,0.0,0.0,0.0,0.0,0,0
2015-12-25,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.88,33.88,33.64,34.62,34.02,34.02,0.95,34.02,34.16,34.199,1280699.56,37448.0,1123.0,0.0,5082.0,150,3.0,9627.66,283,16,78314.04,2302,23,34.4,34.4,34.4,15308.0,445,2,0.0,0.0,0.0,0.0,0,0
2015-12-28,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,34.3,34.3,33.96,34.58,34.02,34.02,0.0,34.0,34.02,34.261,1337621.46,39042.0,1276.0,0.0,3087.0,90,2.0,102.06,3,1,22691.34,667,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,34.12,34.12,33.8,34.12,33.8,33.8,-0.647,33.78,33.8,33.926,369592.74,10894.0,302.0,0.0,68.24,2,1.0,6185.4,183,5,14567.8,431,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.92,33.92,33.5,33.94,33.58,33.58,-0.651,33.54,33.58,33.778,621608.4,18403.0,370.0,0.0,67.84,2,1.0,3425.16,102,2,16017.66,477,6,33.7,33.7,33.7,67.4,2,1,0.0,0.0,0.0,0.0,0,0
2015-12-31,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.58,33.58,33.34,33.88,33.6,33.6,0.06,33.5,33.6,33.51,309601.54,9239.0,209.0,0.0,1679.0,50,2.0,67.2,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,33.48,33.48,32.34,33.48,32.54,32.54,-3.155,32.52,32.54,32.606,498966.56,15303.0,400.0,0.0,6729.48,201,3.0,1627.0,50,2,97.62,3,1,32.5,32.66,32.547,2115.56,65,23,0.0,0.0,0.0,0.0,0,0
2016-01-05,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.6,32.6,32.1,32.9,32.68,32.68,0.43,32.64,32.68,32.561,327599.04,10061.0,307.0,0.0,4107.6,126,2.0,3268.0,100,5,392.16,12,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.5,0.0,32.24,32.78,32.5,32.5,-0.551,32.48,32.5,32.543,492469.68,15133.0,386.0,0.0,0.0,0,0.0,1625.0,50,1,17452.5,537,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.4,32.4,31.78,32.44,32.2,32.2,-0.923,32.2,32.26,32.092,465466.5,14504.0,361.0,0.0,4860.0,150,3.0,3220.0,100,3,21187.6,658,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.4,0.0,32.0,32.92,32.0,32.0,-0.621,32.0,32.22,32.46,567037.4,17469.0,477.0,0.0,0.0,0,0.0,4288.0,134,4,12768.0,399,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.0,32.0,31.86,32.28,32.2,32.2,0.625,32.08,32.2,32.037,510670.92,15940.0,378.0,0.0,1600.0,50,3.0,9466.8,294,5,0.0,0,0,31.92,31.96,31.951,3514.66,110,22,0.0,0.0,0.0,0.0,0,0
2016-01-12,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.18,32.18,31.58,32.3,32.16,32.16,-0.124,32.1,32.16,32.042,627215.94,19575.0,389.0,0.0,4987.9,155,3.0,321.6,10,1,836.16,26,2,31.84,32.1,31.985,3486.36,109,10,0.0,0.0,0.0,0.0,0,0
2016-01-13,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.24,32.24,32.24,32.7,32.54,0.0,1.182,32.48,32.52,32.526,814423.34,25039.0,408.0,0.0,1031.68,32,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-14,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.52,32.52,31.88,32.54,32.14,32.14,-1.229,32.12,32.14,32.161,714382.64,22213.0,511.0,0.0,3609.72,111,2.0,1928.4,60,3,192.84,6,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-15,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.2,0.0,31.64,32.7,31.78,31.78,-1.12,31.78,31.8,32.069,1331393.76,41516.0,1119.0,0.0,0.0,0,0.0,10169.6,320,9,23676.1,745,6,31.72,32.66,32.141,21277.18,662,78,0.0,0.0,0.0,0.0,0,0
2016-01-18,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.78,31.78,31.74,32.0,31.88,31.88,0.315,31.82,31.88,31.841,130039.06,4084.0,177.0,0.0,921.62,29,4.0,31.88,1,1,63.76,2,1,31.92,31.92,31.92,1532.16,48,1,0.0,0.0,0.0,0.0,0,0
2016-01-19,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.88,31.88,31.8,32.08,31.88,31.88,0.0,31.78,31.88,31.961,319830.04,10007.0,232.0,0.0,18331.0,575,6.0,31.88,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.8,31.8,31.76,34.54,31.82,31.82,-0.188,31.82,31.84,32.192,579398.92,17998.0,457.0,0.0,12529.2,394,8.0,3182.0,100,7,5091.2,160,5,32.56,32.64,32.562,14913.2,458,3,0.0,0.0,0.0,0.0,0,0
2016-01-21,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.96,0.0,31.0,32.0,31.12,31.12,-2.2,31.12,31.28,31.485,502658.1,15965.0,542.0,0.0,0.0,0,0.0,22468.64,722,10,0.0,0,0,31.3,31.5,31.379,2071.04,66,7,0.0,0.0,0.0,0.0,0,0
2016-01-22,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.08,32.08,31.22,32.08,31.74,31.74,1.992,31.74,31.84,31.671,495276.08,15638.0,519.0,0.0,962.4,30,9.0,3015.3,95,4,23995.44,756,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-25,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,31.9,31.9,31.9,32.2,32.06,32.06,1.008,32.04,32.06,32.002,352790.0,11024.0,314.0,0.0,319.0,10,1.0,737.38,23,2,2115.96,66,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-26,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.0,32.0,31.94,32.44,32.4,32.4,1.061,32.4,32.42,32.201,328638.4,10206.0,331.0,0.0,3232.0,101,9.0,6480.0,200,3,20962.8,647,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-27,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.38,0.0,32.38,32.86,32.7,0.0,0.926,32.64,32.7,32.691,576174.24,17625.0,411.0,0.0,0.0,0,0.0,0.0,0,0,3793.2,116,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-28,ALCAR,ALARKO CARRIER,N,MSPOT,MSPOTEQT,MSPOTEQTALCAR,0,0,0,0,0,32.86,32.86,32.86,33.36,33.3,33.3,1.835,33.3,33.32,33.228,588659.48,17716.0,442.0,0.0,328.6,10,4.0,6660.0,200,3,23942.7,719,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
