TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-10-21,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,22.5,22.5,22.12,24.74,24.74,24.74,0.0,24.74,0.0,23.779,1125860853.74,47347433.0,128664.0,0.0,36238747.5,1610611,2914.0,83769.64,3386,13,25506.94,1031,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-22,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,25.88,25.88,23.46,26.76,24.14,24.14,-2.425,24.14,24.16,25.177,859842171.44,34152178.0,146152.0,0.0,7276162.0,281150,954.0,6721783.0,278450,251,1286130.92,53278,132,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-25,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,23.9,23.9,22.74,24.28,22.74,22.74,-5.8,22.72,22.74,23.152,363992006.74,15721896.0,76069.0,0.0,1413063.6,59124,479.0,3056096.82,134393,314,1598144.46,70279,180,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-26,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,22.74,22.74,22.44,23.38,22.46,22.46,-1.231,22.46,22.48,22.766,198221107.22,8706958.0,36546.0,0.0,944119.32,41518,224.0,2865873.54,127599,208,586295.84,26104,72,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-27,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,22.52,22.52,21.4,22.6,21.56,21.56,-4.007,21.54,21.56,21.863,203044377.34,9287233.0,37938.0,0.0,298637.72,13261,216.0,1799225.12,83452,144,1064330.96,49366,79,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-28,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,21.64,21.64,21.02,22.5,21.86,21.86,1.391,21.86,21.88,21.769,142977657.3,6567943.0,28124.0,0.0,356475.72,16473,190.0,1520887.64,69574,127,325342.38,14883,74,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-01,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,21.9,21.9,21.32,21.98,21.32,21.32,-2.47,21.32,21.34,21.448,97011525.44,4523001.0,20764.0,0.0,614316.9,28051,281.0,1350920.48,63364,300,362781.12,17016,44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-02,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,21.38,21.38,20.8,21.42,20.8,20.8,-2.439,20.8,20.82,21.123,75784587.64,3587813.0,18399.0,0.0,150878.66,7057,95.0,2034801.6,97827,296,128044.8,6156,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-03,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,20.76,20.76,19.73,21.2,20.06,20.06,-3.558,20.06,20.08,20.405,101981466.06,4997979.0,25117.0,0.0,240816.0,11600,117.0,705389.84,35164,85,205695.24,10254,24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-04,ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,Z,MSPOT,MSPOTEQT,MSPOTEQTANGEN,0,0,0,0,0,20.26,20.26,19.87,21.72,20.68,20.68,3.091,20.68,20.7,20.824,145957829.79,7008969.0,30896.0,0.0,355299.62,17537,117.0,252978.44,12233,100,96906.48,4686,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
