TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ARMDA,ARMADA BILGISAYAR A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.89,5.89,5.76,6.1,6.0,6.0,0.0,5.98,6.0,5.98,594568.19,99418.0,884.0,0.0,3304.29,561,10.0,42000.0,7000,29,0.0,0,0,6.0,6.0,6.0,600.0,100,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,ARMDA,ARMADA BILGISAYAR A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,6.0,0.0,5.94,6.14,6.0,6.0,0.0,6.0,6.04,6.02,644305.99,107032.0,726.0,0.0,0.0,0,0.0,7152.0,1192,10,1122.0,187,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ARMDA,ARMADA BILGISAYAR A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,6.03,6.03,6.0,6.14,6.07,6.07,1.167,6.07,6.08,6.069,496618.77,81826.0,628.0,0.0,1670.31,277,3.0,11715.1,1930,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,6.06,6.06,5.97,6.1,6.02,6.02,-0.824,6.0,6.02,6.025,437111.98,72550.0,432.0,0.0,1212.0,200,1.0,10872.12,1806,7,7789.88,1294,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,6.0,0.0,5.82,6.0,6.0,6.0,-0.332,5.99,6.0,5.935,413847.06,69725.0,558.0,0.0,0.0,0,0.0,55200.0,9200,26,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.92,0.0,5.83,5.96,5.96,5.96,-0.667,5.94,5.96,5.909,135936.6,23006.0,244.0,0.0,0.0,0,0.0,29800.0,5000,26,5960.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.96,0.0,5.84,6.05,5.9,5.9,-1.007,5.89,5.9,5.911,325971.06,55144.0,382.0,0.0,0.0,0,0.0,29500.0,5000,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.9,0.0,5.83,6.05,6.05,6.05,2.542,5.96,6.05,5.914,417151.78,70537.0,338.0,0.0,0.0,0,0.0,50747.4,8388,25,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,6.04,6.04,5.75,6.1,5.9,5.9,-2.479,5.82,5.9,5.886,645893.04,109734.0,992.0,0.0,3140.8,520,11.0,85626.7,14513,44,11764.6,1994,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.88,5.88,5.69,5.88,5.84,5.84,-1.017,5.82,5.84,5.764,315392.35,54721.0,438.0,0.0,1176.0,200,2.0,49640.0,8500,33,15768.0,2700,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.81,5.81,5.68,5.86,5.73,5.73,-1.884,5.73,5.74,5.75,337928.41,58775.0,479.0,0.0,923.79,159,2.0,34380.0,6000,13,27710.28,4836,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.73,0.0,5.71,5.84,5.8,5.8,1.222,5.79,5.8,5.78,276498.2,47834.0,373.0,0.0,0.0,0,0.0,14500.0,2500,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.8,5.8,5.66,5.81,5.69,5.69,-1.897,5.68,5.69,5.735,257606.1,44921.0,319.0,0.0,11.6,2,1.0,6975.94,1226,8,1337.15,235,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,ARMDA,ARMADA BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTARMDA,0,0,0,0,0,5.73,0.0,5.7,5.86,5.73,5.73,0.703,5.73,5.74,5.77,655069.86,113521.0,655.0,0.0,0.0,0,0.0,3031.17,529,13,5346.09,933,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
