TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AVISA,AVIVASA EMEKLILIK VE HAYAT A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,16.85,0.0,16.75,17.04,16.75,16.75,0.0,16.75,16.76,16.773,434654.79,25914.0,92.0,0.0,0.0,0,0.0,89713.0,5356,8,87435.0,5220,4,17.0,17.04,17.008,2126.0,125,3,0.0,0.0,0.0,0.0,0,0
2015-12-01,AVISA,AVIVASA EMEKLILIK VE HAYAT A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,16.97,0.0,16.78,16.97,16.78,16.78,0.179,16.77,16.78,16.844,369216.03,21920.0,211.0,0.0,0.0,0,0.0,1896.14,113,5,11746.0,700,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,AVISA,AVIVASA EMEKLILIK VE HAYAT A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,17.0,17.0,16.8,17.0,16.85,0.0,0.417,16.85,16.86,16.825,378743.55,22511.0,203.0,0.0,1870.0,110,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,16.85,16.85,16.8,16.95,16.8,16.8,-0.297,16.8,16.81,16.814,283255.8,16846.0,99.0,0.0,50.55,3,1.0,17724.0,1055,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,16.88,0.0,16.73,17.2,17.2,17.2,2.381,16.88,17.2,16.784,1701724.11,101389.0,140.0,0.0,0.0,0,0.0,14276.0,830,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,17.2,17.2,16.88,17.2,17.1,17.1,-0.581,17.05,17.1,17.099,77492.21,4532.0,35.0,0.0,1720.0,100,1.0,37414.8,2188,1,0.0,0,0,17.13,17.13,17.13,2912.1,170,3,0.0,0.0,0.0,0.0,0,0
2015-12-08,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,17.0,0.0,16.81,17.2,16.82,16.82,-1.637,16.82,16.9,16.998,269917.13,15879.0,209.0,0.0,0.0,0,0.0,14078.34,837,3,857.82,51,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,16.9,0.0,16.78,17.1,17.07,17.07,1.486,16.82,17.07,16.88,137318.95,8135.0,128.0,0.0,0.0,0,0.0,5684.31,333,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,17.07,0.0,16.75,17.07,16.75,16.75,-1.875,16.75,16.79,16.785,116974.38,6969.0,61.0,0.0,0.0,0,0.0,8375.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,AVISA,AVIVASA EMEKLILIK HAYAT,Z,MSPOT,MSPOTEQT,MSPOTEQTAVISA,0,1,0,0,0,17.05,0.0,16.7,17.05,16.93,16.93,1.075,16.93,16.95,16.776,928387.86,55340.0,238.0,0.0,0.0,0,0.0,50.79,3,1,5468.39,323,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
