TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BAKAN,BAKANLAR MEDYA A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,1,0,2.75,0.0,2.75,2.76,2.76,0.0,0.0,2.75,2.78,2.751,154.05,56.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,BAKAN,BAKANLAR MEDYA A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,1,0,2.75,0.0,2.68,2.75,2.68,0.0,-2.899,2.65,2.68,2.68,1372.23,512.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,BAKAN,BAKANLAR MEDYA A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.72,0.0,2.69,3.21,3.2,3.2,19.403,3.13,3.2,3.162,234783.82,74241.0,204.0,0.0,0.0,0,0.0,3.2,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,3.1,3.1,2.7,3.19,2.78,2.78,-13.125,2.76,2.78,2.9,142479.89,49138.0,252.0,0.0,1599.6,516,6.0,453.14,163,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.78,2.78,2.59,2.93,2.91,2.91,4.676,2.91,2.92,2.722,77039.35,28305.0,203.0,0.0,2.78,1,1.0,29.1,10,1,2.91,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.91,0.0,2.71,2.96,2.84,2.84,-2.405,2.8,2.84,2.824,44753.32,15850.0,139.0,0.0,0.0,0,0.0,17.04,6,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.79,0.0,2.37,2.79,2.72,0.0,-4.225,2.67,2.7,2.642,26848.53,10163.0,55.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.71,2.71,2.56,2.72,2.69,0.0,-1.103,2.66,2.7,2.608,30351.66,11639.0,127.0,0.0,8.13,3,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.68,0.0,2.48,2.73,2.69,2.69,0.0,2.68,2.69,2.598,18095.1,6964.0,70.0,0.0,0.0,0,0.0,13.45,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.65,0.0,2.45,2.69,2.6,2.6,-3.346,2.59,2.6,2.589,30399.57,11744.0,82.0,0.0,0.0,0,0.0,2.6,1,1,2.6,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.59,0.0,2.49,2.65,2.53,2.53,-2.692,2.53,2.64,2.545,12848.7,5048.0,49.0,0.0,0.0,0,0.0,126.5,50,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.53,0.0,2.5,2.72,2.68,2.68,5.929,2.55,2.68,2.582,17110.55,6626.0,91.0,0.0,0.0,0,0.0,1005.0,375,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.55,0.0,2.51,2.6,2.53,0.0,-5.597,2.52,2.53,2.532,21369.43,8441.0,56.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,BAKAN,BAKANLAR MEDYA,G,MSPOT,MSPOTEQT,MSPOTEQTBAKAN,1,0,0,0,0,2.59,2.59,2.5,2.6,2.58,0.0,1.976,2.57,2.58,2.55,66086.17,25912.0,262.0,0.0,25.9,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
