TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BANVT,BANVIT VITAMINLI YEM SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.36,0.0,2.29,2.36,2.3,2.3,0.0,2.29,2.3,2.316,219624.05,94843.0,200.0,0.0,0.0,0,0.0,28750.0,12500,1,21751.1,9457,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,BANVT,BANVIT VITAMINLI YEM SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.3,2.3,2.3,2.4,2.33,2.33,1.304,2.33,2.34,2.345,464954.09,198291.0,276.0,0.0,3438.5,1495,8.0,1759.15,755,3,5825.0,2500,3,2.35,2.35,2.35,3525.0,1500,2,0.0,0.0,0.0,0.0,0,0
2015-12-02,BANVT,BANVIT VITAMINLI YEM SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.35,0.0,2.32,2.37,2.32,2.32,-0.429,2.31,2.32,2.341,261442.22,111698.0,287.0,0.0,0.0,0,0.0,8579.36,3698,6,146.16,63,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.33,0.0,2.23,2.33,2.25,2.25,-3.017,2.25,2.26,2.286,612827.08,268038.0,278.0,0.0,0.0,0,0.0,13500.0,6000,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.25,2.25,2.22,2.3,2.27,2.27,0.889,2.26,2.27,2.256,1041327.2,461651.0,556.0,0.0,749.25,333,9.0,3182.54,1402,1,2270.0,1000,1,2.26,2.28,2.273,6820.0,3000,10,0.0,0.0,0.0,0.0,0,0
2015-12-07,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.27,2.27,2.23,2.32,2.3,2.3,1.322,2.29,2.3,2.282,851682.45,373248.0,256.0,0.0,799.04,352,3.0,28750.0,12500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.3,2.3,2.26,2.33,2.26,2.26,-1.739,2.26,2.29,2.295,765724.16,333621.0,281.0,0.0,1025.8,446,3.0,22529.94,9969,6,33900.0,15000,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.26,2.26,2.24,2.29,2.27,2.27,0.442,2.27,2.28,2.263,243716.63,107689.0,299.0,0.0,45.2,20,2.0,1652.56,728,4,138.47,61,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.28,2.28,2.24,2.3,2.26,2.26,-0.441,2.26,2.27,2.275,1148654.22,504997.0,331.0,0.0,2943.48,1291,6.0,4675.94,2069,5,3164.0,1400,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,BANVT,BANVIT,N,MSPOT,MSPOTEQT,MSPOTEQTBANVT,0,0,0,0,0,2.27,2.27,2.24,2.29,2.26,2.26,0.0,2.25,2.26,2.262,405258.49,179127.0,217.0,0.0,458.54,202,2.0,960.5,425,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
