TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BMEKS,BMEKS BILGI ISLEM VE DIS. TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.05,2.05,2.03,2.06,2.04,2.04,0.0,2.02,2.04,2.045,454495.51,222296.0,115.0,0.0,20.5,10,1.0,32601.24,15981,6,334.56,164,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,BMEKS,BMEKS BILGI ISLEM VE DIS. TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.04,2.04,2.04,2.06,2.05,2.05,0.49,2.05,2.06,2.048,761529.28,371914.0,138.0,0.0,63.24,31,4.0,107711.1,52542,4,5330.0,2600,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,BMEKS,BMEKS BILGI ISLEM VE DIS. TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.06,0.0,2.02,2.08,2.03,2.03,-0.976,2.02,2.03,2.044,1876577.9,917990.0,348.0,0.0,0.0,0,0.0,216970.46,106882,12,31668.0,15600,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.03,2.03,2.02,2.05,2.03,2.03,0.0,2.02,2.03,2.028,1136215.1,560188.0,259.0,0.0,2030.0,1000,1.0,34552.63,17021,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.03,2.03,2.01,2.04,2.01,2.01,-0.985,2.01,2.02,2.019,953526.57,472341.0,231.0,0.0,1015.0,500,1.0,56308.14,28014,4,213060.0,106000,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.02,0.0,1.97,2.04,1.97,1.97,-1.99,1.96,1.97,1.999,1606247.89,803328.0,276.0,0.0,0.0,0,0.0,301386.36,152988,16,59100.0,30000,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,1.97,1.97,1.93,2.0,2.0,2.0,1.523,1.99,2.0,1.956,1055455.67,539470.0,371.0,0.0,25877.92,13136,11.0,44286.0,22143,16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,1.98,1.98,1.96,2.04,2.04,2.04,2.0,2.02,2.04,2.022,7372841.18,3646561.0,431.0,0.0,13.86,7,2.0,41044.8,20120,8,0.0,0,0,2.0,2.03,2.019,69191.22,34274,24,0.0,0.0,0.0,0.0,0,0
2015-12-10,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,2.03,2.03,1.99,2.05,1.99,1.99,-2.451,1.99,2.0,2.033,1704068.87,838110.0,392.0,0.0,12803.21,6307,8.0,13524.04,6796,5,10397.75,5225,3,2.02,2.04,2.04,10202.02,5001,2,0.0,0.0,0.0,0.0,0,0
2015-12-11,BMEKS,BIMEKS,N,MSPOT,MSPOTEQT,MSPOTEQTBMEKS,0,0,0,0,0,1.99,1.99,1.91,2.01,1.93,1.93,-3.015,1.92,1.93,1.94,1018906.23,525120.0,299.0,0.0,3004.9,1510,3.0,90123.28,46696,14,49606.79,25703,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
