TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BTCIM,BATICIM BATI ANADOLU CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,5.86,5.86,5.73,5.95,5.9,5.9,0.0,5.85,5.9,5.88,2524911.84,429414.0,958.0,0.0,586.0,100,4.0,1585288.7,268693,58,22880.2,3878,4,5.88,5.93,5.902,26292.45,4455,29,0.0,0.0,0.0,0.0,0,0
2015-12-01,BTCIM,BATICIM BATI ANADOLU CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,6.0,6.0,6.0,6.13,6.07,6.07,2.881,6.07,6.12,6.059,568846.83,93888.0,558.0,0.0,16926.0,2821,9.0,1966.68,324,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,BTCIM,BATICIM BATI ANADOLU CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,6.14,0.0,6.09,6.17,6.12,6.12,0.824,6.12,6.14,6.138,248013.5,40405.0,225.0,0.0,0.0,0,0.0,3182.4,520,2,997.56,163,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,6.19,6.19,6.06,6.19,6.06,6.06,-0.98,6.06,6.08,6.106,282565.71,46278.0,161.0,0.0,928.5,150,2.0,8514.3,1405,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,6.07,0.0,5.94,6.12,5.95,5.95,-1.815,5.95,6.0,6.016,401880.51,66807.0,315.0,0.0,0.0,0,0.0,15458.1,2598,11,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,6.01,6.01,5.95,6.04,5.99,5.99,0.672,5.99,6.01,5.998,116931.93,19495.0,153.0,0.0,18.03,3,2.0,6229.6,1040,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,5.99,5.99,5.86,6.02,5.86,5.86,-2.17,5.86,5.9,5.957,206992.68,34745.0,197.0,0.0,5.99,1,1.0,8790.0,1500,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,5.9,5.9,5.89,6.01,5.94,5.94,1.365,5.94,6.01,5.934,158550.0,26719.0,213.0,0.0,5.9,1,1.0,2970.0,500,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,5.99,5.99,5.43,6.09,5.73,5.73,-3.535,5.73,5.83,5.955,417115.95,70039.0,488.0,0.0,599.0,100,2.0,14834.97,2589,17,1146.0,200,1,5.9,5.91,5.9,1911.69,324,33,0.0,0.0,0.0,0.0,0,0
2015-12-11,BTCIM,BATI CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTBTCIM,0,0,0,0,0,5.83,5.83,5.69,5.84,5.75,5.75,0.349,5.72,5.75,5.773,185330.05,32104.0,237.0,0.0,583.0,100,6.0,506.0,88,4,1219.0,212,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
