TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,CIMSA,CIMSA CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,16.0,16.0,15.7,16.21,16.05,16.05,0.0,15.95,16.05,15.92,2024904.8,127196.0,638.0,0.0,1744.0,109,1.0,334305.45,20829,23,4815.0,300,1,15.83,16.2,15.99,14262.8,892,8,0.0,0.0,0.0,0.0,0,0
2015-12-01,CIMSA,CIMSA CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,16.07,16.07,16.0,16.13,16.02,16.02,-0.187,16.0,16.02,16.086,1464627.39,91052.0,393.0,0.0,3021.16,188,1.0,9179.46,573,5,16580.7,1035,6,16.06,16.08,16.075,16879.0,1050,5,0.0,0.0,0.0,0.0,0,0
2015-12-02,CIMSA,CIMSA CIMENTO,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,16.07,16.07,16.05,16.28,16.05,16.05,0.187,16.04,16.05,16.164,3072566.69,190091.0,790.0,0.0,3888.94,242,7.0,74183.1,4622,17,8025.0,500,1,16.18,16.28,16.197,14415.65,890,9,0.0,0.0,0.0,0.0,0,0
2015-12-03,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,16.08,16.08,15.7,16.08,15.7,15.7,-2.181,15.69,15.7,15.91,2599959.07,163418.0,611.0,0.0,804.0,50,2.0,34948.2,2226,16,47963.5,3055,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.72,15.72,15.19,15.77,15.24,15.24,-2.93,15.24,15.26,15.417,2648809.36,171814.0,1116.0,0.0,1068.96,68,5.0,5364.48,352,3,868.68,57,2,15.26,15.27,15.265,30.53,2,2,0.0,0.0,0.0,0.0,0,0
2015-12-07,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.25,15.25,15.2,15.6,15.6,15.6,2.362,15.6,15.64,15.366,1404081.96,91373.0,474.0,0.0,13557.25,889,9.0,76050.0,4875,9,60418.8,3873,8,15.45,15.45,15.45,7725.0,500,2,0.0,0.0,0.0,0.0,0,0
2015-12-08,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.45,15.45,15.16,15.55,15.2,15.2,-2.564,15.18,15.2,15.327,1715806.84,111950.0,615.0,0.0,21908.1,1418,9.0,12114.4,797,5,760.0,50,1,15.35,15.55,15.45,7725.0,500,3,0.0,0.0,0.0,0.0,0,0
2015-12-09,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.18,15.18,15.08,15.45,15.42,15.42,1.447,15.42,15.44,15.223,1792968.31,117783.0,491.0,0.0,1426.92,94,7.0,14032.2,910,5,6168.0,400,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.3,15.3,15.25,15.42,15.4,15.4,-0.13,15.4,15.44,15.351,2876196.01,187358.0,612.0,0.0,4146.3,271,3.0,197135.4,12801,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,CIMSA,CIMSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCIMSA,0,1,0,0,0,15.45,15.45,15.17,15.45,15.22,15.22,-1.169,15.22,15.23,15.278,2645394.06,173145.0,595.0,0.0,7894.95,511,7.0,16544.14,1087,5,15220.0,1000,1,15.35,15.35,15.35,9210.0,600,3,0.0,0.0,0.0,0.0,0,0
