TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.65,0.0,10.6,10.95,10.7,10.7,0.0,10.68,10.7,10.754,608695.18,56603.0,510.0,0.0,0.0,0,0.0,3745.0,350,3,2418.2,226,2,10.75,10.75,10.75,1075.0,100,2,0.0,0.0,0.0,0.0,0,0
2015-12-01,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.7,10.7,10.65,10.99,10.92,0.0,2.056,10.85,10.92,10.844,644757.97,59455.0,675.0,0.0,278.2,26,1.0,0.0,0,0,1310.4,120,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.93,10.93,10.74,11.25,10.74,10.74,-1.648,10.74,10.78,10.871,468079.29,43057.0,327.0,0.0,1388.11,127,6.0,7120.62,663,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.84,0.0,10.55,10.94,10.55,10.55,-1.769,10.55,10.57,10.722,422410.28,39397.0,320.0,0.0,0.0,0,0.0,1055.0,100,4,4220.0,400,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.7,10.7,10.25,10.78,10.43,10.43,-1.137,10.42,10.43,10.513,242881.07,23102.0,210.0,0.0,1605.0,150,3.0,1178.59,113,4,10430.0,1000,1,10.62,10.62,10.62,106.2,10,1,0.0,0.0,0.0,0.0,0,0
2015-12-07,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.45,10.45,10.37,10.75,10.37,10.37,-0.575,10.37,10.47,10.457,217334.15,20784.0,181.0,0.0,7889.75,755,5.0,1213.29,117,2,40515.59,3907,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.37,10.37,10.26,10.7,10.26,10.26,-1.061,10.26,10.3,10.474,556771.63,53155.0,640.0,0.0,518.5,50,1.0,4155.3,405,6,6904.98,673,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.4,0.0,10.06,10.4,10.29,10.29,0.292,10.29,10.35,10.207,346109.07,33909.0,320.0,0.0,0.0,0,0.0,5000.94,486,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.35,0.0,10.09,10.36,10.22,0.0,-0.68,10.22,10.23,10.221,291059.44,28477.0,204.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.22,10.22,9.6,10.35,9.9,9.9,-3.131,9.88,9.9,9.95,446364.67,44860.0,384.0,0.0,20.44,2,1.0,1980.0,200,2,3465.0,350,2,9.99,10.29,9.993,1009.29,101,2,0.0,0.0,0.0,0.0,0,0
2015-12-14,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.04,0.0,9.66,10.11,9.9,0.0,0.0,9.9,9.94,9.925,412719.74,41583.0,594.0,0.0,0.0,0,0.0,0.0,0,0,5375.7,543,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,9.92,0.0,9.92,10.4,10.29,10.29,3.939,10.22,10.34,10.131,369748.51,36497.0,348.0,0.0,0.0,0,0.0,205.8,20,1,1029.0,100,2,10.2,10.3,10.249,4632.52,452,20,0.0,0.0,0.0,0.0,0,0
2015-12-16,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.3,10.3,10.26,10.6,10.29,10.29,0.0,10.29,10.3,10.393,347263.85,33414.0,335.0,0.0,10.3,1,1.0,2613.66,254,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.3,10.3,10.3,10.65,10.65,10.65,3.499,10.65,10.67,10.451,366741.95,35093.0,267.0,0.0,2678.0,260,3.0,2566.65,241,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.65,10.65,10.46,10.8,10.6,0.0,-0.469,10.52,10.6,10.638,173863.02,16343.0,190.0,0.0,2769.0,260,3.0,0.0,0,0,1060.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,10.6,10.6,10.59,11.0,11.0,0.0,3.774,10.99,11.0,10.821,261210.04,24140.0,313.0,0.0,116.6,11,2.0,0.0,0,0,605.0,55,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.0,11.0,11.0,11.5,11.23,11.23,2.091,11.23,11.29,11.244,243367.67,21645.0,389.0,0.0,2222.0,202,4.0,2246.0,200,2,0.0,0,0,11.2,11.3,11.234,1718.84,153,5,0.0,0.0,0.0,0.0,0,0
2015-12-23,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.34,0.0,11.33,11.72,11.48,0.0,2.226,11.45,11.48,11.515,223447.59,19405.0,222.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,11.6,11.62,11.609,1044.8,90,2,0.0,0.0,0.0,0.0,0,0
2015-12-24,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.48,0.0,11.0,11.75,11.22,11.22,-2.265,11.22,11.36,11.434,151587.29,13258.0,166.0,0.0,0.0,0,0.0,5610.0,500,4,0.0,0,0,11.75,11.75,11.75,211.5,18,2,0.0,0.0,0.0,0.0,0,0
2015-12-25,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.2,11.2,11.02,11.54,11.25,11.25,0.267,11.23,11.25,11.3,227388.99,20123.0,170.0,0.0,7761.6,693,2.0,281.25,25,1,0.0,0,0,11.29,11.29,11.29,1129.0,100,1,0.0,0.0,0.0,0.0,0,0
2015-12-28,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.24,11.24,11.11,11.35,11.17,11.17,-0.711,11.13,11.17,11.206,213233.57,19028.0,163.0,0.0,168.6,15,1.0,1117.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,DENCM,DENIZLI CAM,N,MSPOT,MSPOTEQT,MSPOTEQTDENCM,0,0,0,0,0,11.17,11.17,11.0,11.19,11.13,0.0,-0.358,11.06,11.13,11.1,83196.39,7495.0,135.0,0.0,3049.41,273,4.0,0.0,0,0,1113.0,100,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
