TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DOBUR,DOGAN BURDA DERGI YAYINCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.3,0.0,2.2,2.3,2.25,2.25,0.0,2.2,2.25,2.25,27322.81,12144.0,38.0,0.0,0.0,0,0.0,2.25,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,DOBUR,DOGAN BURDA DERGI YAYINCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.25,0.0,2.24,2.25,2.24,0.0,-0.444,2.24,2.26,2.249,4505.06,2003.0,15.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,DOBUR,DOGAN BURDA DERGI YAYINCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.3,0.0,2.26,2.4,2.27,0.0,1.339,2.27,2.29,2.306,47046.9,20403.0,139.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.26,0.0,2.26,2.29,2.29,2.29,0.881,2.28,2.29,2.26,5808.24,2570.0,9.0,0.0,0.0,0,0.0,2.29,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.26,0.0,2.24,2.27,2.27,0.0,-0.873,2.27,2.28,2.254,3933.73,1745.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.27,0.0,2.26,2.27,2.26,0.0,-0.441,2.25,2.26,2.26,230.55,102.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.26,0.0,2.25,2.26,2.25,0.0,-0.442,2.25,2.26,2.252,1128.26,501.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.24,0.0,2.23,2.24,2.24,0.0,-0.444,2.24,2.26,2.237,3588.12,1604.0,13.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.24,0.0,2.23,2.24,2.23,0.0,-0.446,2.21,2.22,2.232,2767.39,1240.0,7.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DOBUR,DOGAN BURDA,N,MSPOT,MSPOTEQT,MSPOTEQTDOBUR,1,0,0,0,0,2.23,0.0,2.19,2.23,2.19,0.0,-1.794,2.19,2.22,2.206,4127.53,1871.0,7.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
