TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DZGYO,DENIZ GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.77,1.77,1.64,1.78,1.64,1.64,0.0,1.64,1.65,1.686,635975.32,377153.0,804.0,0.0,2660.31,1503,5.0,10660.0,6500,21,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,DZGYO,DENIZ GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.65,0.0,1.5,1.72,1.64,1.64,0.0,1.63,1.64,1.659,561894.84,338601.0,907.0,0.0,0.0,0,0.0,913.48,557,4,328.0,200,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,DZGYO,DENIZ GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.64,1.64,1.61,1.65,1.63,1.63,-0.61,1.62,1.63,1.626,184779.7,113622.0,274.0,0.0,6396.0,3900,6.0,1768.55,1085,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.64,1.64,1.56,1.65,1.6,1.6,-1.84,1.6,1.61,1.618,221191.3,136744.0,315.0,0.0,902.0,550,2.0,16.0,10,2,963.2,602,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.6,1.6,1.54,1.62,1.57,1.57,-1.875,1.57,1.58,1.571,292193.22,186040.0,391.0,0.0,1603.2,1002,3.0,962.41,613,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.58,0.0,1.53,1.6,1.53,1.53,-2.548,1.53,1.56,1.552,121514.39,78285.0,254.0,0.0,0.0,0,0.0,2295.0,1500,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.55,1.55,1.5,1.55,1.54,1.54,0.654,1.52,1.54,1.53,186491.21,121877.0,249.0,0.0,1461.65,943,1.0,297.22,193,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.55,1.55,1.5,1.55,1.52,1.52,-1.299,1.52,1.53,1.519,91220.5,60057.0,193.0,0.0,124.0,80,2.0,760.0,500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.54,0.0,1.28,1.54,1.46,1.46,-3.947,1.44,1.46,1.473,201797.07,137018.0,453.0,0.0,0.0,0,0.0,179.58,123,3,2896.64,1984,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.45,1.45,1.39,1.45,1.42,1.42,-2.74,1.42,1.43,1.42,105370.92,74208.0,277.0,0.0,14500.0,10000,2.0,35.5,25,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.45,1.45,1.4,1.5,1.41,1.41,-0.704,1.41,1.42,1.451,286922.89,197762.0,829.0,0.0,7.25,5,1.0,11.28,8,2,270.72,192,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.42,1.42,1.39,1.51,1.45,1.45,2.837,1.45,1.46,1.456,302635.5,207784.0,1207.0,0.0,1424.26,1003,2.0,1537.0,1060,6,2813.0,1940,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.44,1.44,1.44,1.48,1.46,1.46,0.69,1.45,1.46,1.449,85746.24,59170.0,128.0,0.0,1405.44,976,4.0,16.06,11,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.45,0.0,1.45,1.51,1.47,1.47,0.685,1.47,1.48,1.48,218060.81,147362.0,344.0,0.0,0.0,0,0.0,1472.94,1002,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,DZGYO,DENIZ GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTDZGYO,0,0,0,0,0,1.5,1.5,1.46,1.5,1.49,1.49,1.361,1.48,1.49,1.479,54148.26,36603.0,111.0,0.0,15.0,10,1.0,14.9,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
