TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ECBYO,ECZACIBASI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.19,0.0,1.18,1.2,1.19,1.19,0.0,1.18,1.19,1.188,111952.59,94212.0,84.0,0.0,0.0,0,0.0,1.19,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ECBYO,ECZACIBASI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.19,0.0,1.18,1.21,1.21,1.21,1.681,1.2,1.21,1.197,304419.46,254387.0,180.0,0.0,0.0,0,0.0,6226.66,5146,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ECBYO,ECZACIBASI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.2,1.2,1.18,1.21,1.2,1.2,-0.826,1.19,1.2,1.195,296864.95,248337.0,105.0,0.0,2.4,2,1.0,321.6,268,3,0.0,0,0,1.2,1.2,1.2,1200.0,1000,1,0.0,0.0,0.0,0.0,0,0
2015-12-03,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.19,1.19,1.18,1.2,1.18,1.18,-1.667,1.18,1.19,1.186,146814.23,123827.0,105.0,0.0,2975.0,2500,1.0,9235.86,7827,8,16803.2,14240,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ECBYO,ECZACIBASI YAT. ORT. -TEMERR,K,BUYIN,BUYINEQT,BUYINEQTECBYO,0,0,0,0,0,1.19,0.0,1.19,1.19,1.19,0.0,0.0,0.0,1.2,1.19,17850.0,15000.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.19,1.19,1.17,1.19,1.18,1.18,0.0,1.17,1.18,1.178,42704.23,36239.0,69.0,0.0,71.4,60,1.0,1772.36,1502,13,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.18,1.18,1.16,1.18,1.18,1.18,0.0,1.17,1.18,1.17,71508.72,61123.0,77.0,0.0,624.22,529,4.0,28.32,24,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.18,0.0,1.16,1.19,1.17,1.17,-0.847,1.16,1.17,1.167,165918.32,142147.0,85.0,0.0,0.0,0,0.0,3555.63,3039,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.17,1.17,1.17,1.18,1.18,1.18,0.855,1.17,1.18,1.17,182798.23,156229.0,127.0,0.0,2925.0,2500,2.0,277.3,235,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ECBYO,ECZACIBASI YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTECBYO,0,0,0,0,0,1.19,1.19,1.18,1.24,1.2,1.2,1.695,1.2,1.21,1.208,1632887.03,1351579.0,325.0,0.0,11901.19,10001,6.0,100204.8,83504,12,53570.4,44642,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
