TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,EGPRO,EGE PROFIL TICARET VE SAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.09,0.0,3.0,3.1,3.02,0.0,0.0,3.02,3.03,3.036,16260.3,5356.0,35.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,EGPRO,EGE PROFIL TICARET VE SAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.06,0.0,3.0,3.15,3.08,3.08,1.987,3.06,3.08,3.063,30081.84,9822.0,84.0,0.0,0.0,0,0.0,12.32,4,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,EGPRO,EGE PROFIL TICARET VE SAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.08,0.0,3.02,3.09,3.08,3.08,0.0,3.04,3.08,3.057,4683.52,1532.0,23.0,0.0,0.0,0,0.0,77.0,25,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.08,0.0,3.02,3.08,3.02,3.02,-1.948,3.02,3.04,3.033,17772.86,5860.0,62.0,0.0,0.0,0,0.0,1510.0,500,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.05,0.0,2.98,3.05,3.0,3.0,-0.662,2.99,3.0,2.996,27469.15,9168.0,52.0,0.0,0.0,0,0.0,6.0,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.03,0.0,2.95,3.03,3.0,0.0,0.0,2.95,2.99,2.97,6931.01,2334.0,63.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.0,0.0,2.93,3.0,2.98,2.98,-0.667,2.97,2.98,2.961,1560.63,527.0,40.0,0.0,0.0,0,0.0,35.76,12,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,2.98,0.0,2.94,3.03,3.02,3.02,1.342,3.01,3.02,2.983,11683.48,3917.0,70.0,0.0,0.0,0,0.0,15.1,5,1,830.5,275,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,3.01,0.0,2.96,3.05,2.99,0.0,-0.993,2.96,2.98,3.008,17955.02,5969.0,86.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,EGPRO,EGE PROFIL,N,MSPOT,MSPOTEQT,MSPOTEQTEGPRO,1,0,0,0,0,2.98,0.0,2.87,2.98,2.93,0.0,-2.007,2.89,2.93,2.91,13401.76,4606.0,59.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
