TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,EMKEL,EMEK ELEKTRIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.21,0.0,1.19,1.23,1.21,1.21,0.0,1.21,1.22,1.203,137949.28,114625.0,187.0,0.0,0.0,0,0.0,5040.86,4166,7,0.0,0,0,1.21,1.21,1.21,3025.0,2500,8,0.0,0.0,0.0,0.0,0,0
2015-12-01,EMKEL,EMEK ELEKTRIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.21,1.21,1.2,1.24,1.22,1.22,0.826,1.21,1.22,1.217,232498.22,191047.0,204.0,0.0,3731.64,3084,4.0,3660.0,3000,7,0.0,0,0,1.21,1.22,1.21,12608.74,10417,8,0.0,0.0,0.0,0.0,0,0
2015-12-02,EMKEL,EMEK ELEKTRIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.22,1.22,1.22,1.29,1.25,1.25,2.459,1.24,1.25,1.252,663922.97,530411.0,538.0,0.0,7320.0,6000,6.0,2520.0,2016,6,0.0,0,0,1.25,1.29,1.268,20526.08,16184,29,0.0,0.0,0.0,0.0,0,0
2015-12-03,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.23,1.23,1.22,1.26,1.25,1.25,0.0,1.24,1.25,1.24,237922.88,191877.0,249.0,0.0,2413.26,1962,4.0,3757.5,3006,5,1250.0,1000,2,1.23,1.23,1.23,9227.46,7502,7,0.0,0.0,0.0,0.0,0,0
2015-12-04,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.24,1.24,1.19,1.25,1.22,1.22,-2.4,1.22,1.23,1.221,164954.68,135111.0,217.0,0.0,1240.0,1000,2.0,3197.62,2621,3,0.0,0,0,1.24,1.24,1.24,3853.92,3108,14,0.0,0.0,0.0,0.0,0,0
2015-12-07,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.23,0.0,1.21,1.24,1.21,0.0,-0.82,1.21,1.22,1.22,149358.56,122409.0,175.0,0.0,0.0,0,0.0,0.0,0,0,4235.0,3500,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.22,0.0,1.16,1.22,1.17,1.17,-3.306,1.17,1.18,1.188,115119.45,96941.0,186.0,0.0,0.0,0,0.0,8777.34,7502,3,4095.0,3500,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.18,0.0,1.14,1.19,1.17,1.17,0.0,1.17,1.18,1.16,184129.93,158769.0,183.0,0.0,0.0,0,0.0,4839.12,4136,2,4680.0,4000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.17,0.0,1.12,1.18,1.14,1.14,-2.564,1.13,1.14,1.142,110670.23,96916.0,170.0,0.0,0.0,0,0.0,370.5,325,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.13,1.13,1.08,1.15,1.1,0.0,-3.509,1.09,1.1,1.111,80010.7,72017.0,194.0,0.0,1.13,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.1,1.1,1.1,1.2,1.14,1.14,3.636,1.13,1.14,1.147,511787.87,446222.0,460.0,0.0,1056.0,960,3.0,13033.62,11433,7,9662.64,8476,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.14,1.14,1.13,1.2,1.15,1.15,0.877,1.15,1.16,1.155,372690.92,322764.0,336.0,0.0,2850.0,2500,2.0,3470.7,3018,3,0.0,0,0,1.15,1.19,1.168,7711.0,6600,18,0.0,0.0,0.0,0.0,0,0
2015-12-16,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.13,1.16,1.16,0.0,0.87,1.14,1.15,1.141,91329.49,80026.0,99.0,0.0,1390.84,1199,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.15,1.17,1.16,1.16,0.0,1.16,1.17,1.162,225270.56,193868.0,185.0,0.0,599.72,517,3.0,1740.0,1500,3,7425.16,6401,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.17,0.0,1.15,1.19,1.16,1.16,0.0,1.15,1.16,1.168,363367.21,311045.0,680.0,0.0,0.0,0,0.0,813.16,701,4,1004.56,866,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.15,1.2,1.16,1.16,0.87,1.16,1.17,1.167,607951.08,520910.0,405.0,0.0,5376.6,4635,4.0,2494.0,2150,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,0.0,1.16,1.25,1.25,1.25,7.759,1.24,1.25,1.209,372952.9,308410.0,505.0,0.0,0.0,0,0.0,7000.0,5600,8,1250.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.26,1.26,1.22,1.32,1.26,1.26,0.8,1.25,1.26,1.264,1078499.1,853202.0,1164.0,0.0,5544.0,4400,7.0,506.52,402,4,630.0,500,1,1.27,1.31,1.292,37605.97,29111,26,0.0,0.0,0.0,0.0,0,0
2015-12-24,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.26,1.26,1.22,1.27,1.22,1.22,-3.175,1.22,1.23,1.228,255916.39,208464.0,371.0,0.0,56.7,45,2.0,1223.66,1003,3,2440.0,2000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.23,1.23,1.19,1.27,1.25,1.25,2.459,1.25,1.26,1.234,698553.0,566245.0,599.0,0.0,525.21,427,6.0,6380.0,5104,5,378.75,303,1,1.25,1.25,1.25,1250.0,1000,1,0.0,0.0,0.0,0.0,0,0
2015-12-28,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.26,1.26,1.22,1.3,1.29,1.29,3.2,1.28,1.29,1.27,853968.11,672328.0,764.0,0.0,1784.16,1416,2.0,12901.29,10001,4,2607.09,2021,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.3,1.3,1.3,1.44,1.39,1.39,7.752,1.39,1.4,1.349,2131293.8,1580107.0,1172.0,0.0,21177.0,16290,8.0,8270.5,5950,6,9887.07,7113,7,1.34,1.35,1.346,16150.0,12000,13,0.0,0.0,0.0,0.0,0,0
2015-12-30,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.4,1.4,1.32,1.46,1.33,1.33,-4.317,1.33,1.35,1.372,1988062.03,1449256.0,1316.0,0.0,1468.6,1049,3.0,6651.33,5001,7,0.0,0,0,1.36,1.46,1.393,60784.16,43632,50,0.0,0.0,0.0,0.0,0,0
2015-12-31,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.33,1.33,1.29,1.36,1.29,1.29,-3.008,1.28,1.29,1.325,349195.53,263599.0,366.0,0.0,771.4,580,6.0,33467.76,25944,18,1290.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.26,1.26,1.23,1.3,1.23,1.23,-4.651,1.23,1.24,1.258,377507.5,300117.0,475.0,0.0,20160.0,16000,11.0,15894.06,12922,11,1365.3,1110,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.24,1.24,1.22,1.29,1.24,1.24,0.813,1.24,1.26,1.257,913462.29,726577.0,823.0,0.0,2492.4,2010,5.0,11160.0,9000,10,0.0,0,0,1.27,1.27,1.27,3175.0,2500,4,0.0,0.0,0.0,0.0,0,0
2016-01-06,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.24,1.24,1.24,1.28,1.27,1.27,2.419,1.26,1.27,1.261,466894.84,370334.0,366.0,0.0,2480.0,2000,2.0,2.54,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.27,0.0,1.22,1.27,1.24,1.24,-2.362,1.23,1.24,1.247,346295.84,277814.0,318.0,0.0,0.0,0,0.0,3822.92,3083,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.24,1.24,1.18,1.25,1.22,1.22,-1.613,1.22,1.23,1.222,679608.21,556155.0,766.0,0.0,2115.44,1706,4.0,5601.02,4591,9,1221.22,1001,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.23,1.23,1.15,1.23,1.18,1.18,-3.279,1.17,1.18,1.184,714413.7,603405.0,1238.0,0.0,18.45,15,1.0,1359.36,1152,2,11800.0,10000,5,1.17,1.21,1.187,10090.0,8500,17,0.0,0.0,0.0,0.0,0,0
2016-01-12,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.18,1.18,1.15,1.21,1.17,1.17,-0.847,1.17,1.18,1.174,331098.27,282000.0,434.0,0.0,2480.36,2102,4.0,8580.78,7334,9,11220.3,9590,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.18,1.18,1.16,1.18,1.17,1.17,0.0,1.16,1.17,1.172,184147.32,157130.0,240.0,0.0,1295.64,1098,3.0,17165.07,14671,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-14,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.17,1.17,1.14,1.17,1.14,1.14,-2.564,1.14,1.15,1.15,310867.09,270257.0,501.0,0.0,702.0,600,1.0,4674.0,4100,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-15,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.14,1.14,1.13,1.16,1.15,1.15,0.877,1.14,1.15,1.144,163878.31,143281.0,311.0,0.0,2850.0,2500,3.0,2431.1,2114,8,35.65,31,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-18,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.14,1.18,1.16,1.16,0.87,1.16,1.17,1.162,206553.93,177701.0,248.0,0.0,2331.6,2010,4.0,3480.0,3000,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-19,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.15,1.18,1.16,1.16,0.0,1.16,1.17,1.164,124285.68,106790.0,141.0,0.0,621.76,536,1.0,2320.0,2000,2,1.16,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,0.0,1.15,1.17,1.16,1.16,0.0,1.16,1.17,1.165,145106.43,124575.0,109.0,0.0,0.0,0,0.0,5137.64,4429,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-21,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.16,1.16,1.16,1.32,1.26,1.26,8.621,1.25,1.26,1.248,1496676.48,1199358.0,908.0,0.0,1.16,1,1.0,7702.38,6113,7,0.0,0,0,1.28,1.3,1.288,33537.7,26029,14,0.0,0.0,0.0,0.0,0,0
2016-01-22,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.27,1.27,1.21,1.32,1.32,1.32,4.762,1.31,1.32,1.288,1821732.79,1414869.0,923.0,0.0,3369.31,2653,4.0,23311.2,17660,13,35802.36,27123,14,1.29,1.29,1.29,1290.0,1000,1,0.0,0.0,0.0,0.0,0,0
2016-01-25,EMKEL,EMEK ELEKTRIK,N,MSPOT,MSPOTEQT,MSPOTEQTEMKEL,0,0,0,0,0,1.33,1.33,1.28,1.37,1.3,1.3,-1.515,1.3,1.31,1.313,711124.57,541433.0,825.0,0.0,21.28,16,4.0,8444.8,6496,6,2554.5,1965,2,1.34,1.34,1.34,3350.0,2500,9,0.0,0.0,0.0,0.0,0,0
