TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,EUHOL,EURU YATIRIM HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.56,0.56,0.53,0.56,0.54,0.54,0.0,0.54,0.55,0.544,221742.4,407552.0,385.0,0.0,10199.84,18214,9.0,1782.0,3300,5,3881.52,7188,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,EUHOL,EURU YATIRIM HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.54,0.54,0.52,0.55,0.54,0.54,0.0,0.53,0.54,0.536,282483.18,527004.0,401.0,0.0,1296.0,2400,3.0,4.32,8,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,EUHOL,EURU YATIRIM HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.54,0.54,0.52,0.54,0.54,0.54,0.0,0.53,0.54,0.531,275150.87,518647.0,473.0,0.0,3554.82,6583,5.0,48600.0,90000,20,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.54,0.54,0.52,0.54,0.53,0.53,-1.852,0.53,0.54,0.533,219271.48,411692.0,318.0,0.0,1067.04,1976,5.0,2378.64,4488,3,9228.36,17412,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.54,0.54,0.51,0.54,0.53,0.53,0.0,0.52,0.53,0.52,253120.25,486418.0,477.0,0.0,1485.0,2750,5.0,479.65,905,7,108.65,205,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.53,0.53,0.5,0.53,0.51,0.51,-3.774,0.5,0.51,0.513,248214.08,484170.0,404.0,0.0,9135.08,17236,9.0,1326.51,2601,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.51,0.51,0.47,0.51,0.48,0.48,-5.882,0.47,0.48,0.49,265154.99,541683.0,495.0,0.0,499.29,979,6.0,3600.48,7501,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.48,0.48,0.44,0.53,0.51,0.51,6.25,0.5,0.51,0.49,508629.68,1038556.0,1121.0,0.0,2103.36,4382,9.0,71.4,140,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.51,0.51,0.47,0.52,0.48,0.48,-5.882,0.48,0.49,0.495,254097.92,513577.0,894.0,0.0,2560.71,5021,13.0,987.36,2057,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,EUHOL,EURO YATIRIM HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTEUHOL,0,0,0,1,0,0.49,0.49,0.47,0.5,0.48,0.48,0.0,0.48,0.49,0.481,244456.45,507922.0,399.0,0.0,2967.93,6057,9.0,2400.0,5000,2,2400.0,5000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
