TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,EUYO,EURO MENKUL KIYMET YATIRIM ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.0,0.42,0.43,0.42,0.42,0.0,0.42,0.43,0.426,56772.27,133408.0,30.0,0.0,0.0,0,0.0,23129.82,55071,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,EUYO,EURO MENKUL KIYMET YATIRIM ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.43,0.43,0.44,0.44,0.44,4.762,0.43,0.44,0.431,50743.91,117703.0,38.0,0.0,12900.0,30000,4.0,1.32,3,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,EUYO,EURO MENKUL KIYMET YATIRIM ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.44,0.44,0.43,0.44,0.44,0.44,0.0,0.43,0.44,0.43,51679.03,120141.0,36.0,0.0,4.84,11,2.0,0.88,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.0,0.43,0.44,0.44,0.44,0.0,0.43,0.44,0.431,6601.81,15331.0,62.0,0.0,0.0,0,0.0,1.32,3,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.44,0.0,0.42,0.44,0.43,0.43,-2.273,0.43,0.44,0.433,68237.35,157552.0,91.0,0.0,0.0,0,0.0,1634.0,3800,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.44,0.0,0.42,0.44,0.44,0.44,2.326,0.43,0.44,0.43,15163.46,35251.0,51.0,0.0,0.0,0,0.0,1.32,3,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.42,0.0,0.41,0.43,0.42,0.42,-4.545,0.42,0.43,0.421,48669.24,115628.0,55.0,0.0,0.0,0,0.0,0.42,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.43,0.41,0.43,0.42,0.0,0.0,0.42,0.43,0.421,13110.26,31174.0,31.0,0.0,43.0,100,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.0,0.41,0.43,0.43,0.43,2.381,0.41,0.43,0.421,18132.38,43096.0,31.0,0.0,0.0,0,0.0,2.15,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,EUYO,EURO YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTEUYO,1,0,0,0,0,0.43,0.43,0.4,0.43,0.42,0.42,-2.326,0.41,0.42,0.414,51635.67,124639.0,72.0,0.0,810.55,1885,2.0,44.52,106,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
