TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-07-29,FADE,FADE GIDA BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTFADE,0,0,0,0,0,2.4,0.0,2.4,2.4,2.4,0.0,0.0,2.4,0.0,2.4,43200000.0,18000000.0,112175.0,2.4,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-07-30,FADE,FADE GIDA BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTFADE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-06,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,2.64,2.64,2.64,2.64,2.64,2.64,0.0,2.64,0.0,2.64,333912.48,126482.0,994.0,0.0,16135.68,6112,53.0,2.64,1,1,451.44,171,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-07,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,2.9,2.9,2.9,2.9,2.9,2.9,9.848,2.9,0.0,2.9,350856.5,120985.0,964.0,0.0,28173.5,9715,82.0,983.1,339,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-10,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,3.19,3.19,3.19,3.19,3.19,3.19,10.0,3.19,0.0,3.19,295103.71,92509.0,748.0,0.0,61691.41,19339,139.0,3.19,1,1,1595.0,500,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-11,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,3.5,3.5,3.5,3.5,3.5,3.5,9.718,3.5,0.0,3.5,358291.5,102369.0,846.0,0.0,50753.5,14501,122.0,1757.0,502,4,934.5,267,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-12,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,3.85,3.85,3.85,3.85,3.85,3.85,10.0,3.85,0.0,3.85,18249970.2,4740252.0,1895.0,0.0,121968.0,31680,227.0,1925.0,500,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-13,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,4.23,4.23,4.23,4.23,4.23,4.23,9.87,4.23,0.0,4.23,6747323.76,1595112.0,4711.0,0.0,5139856.08,1215096,1933.0,4238.46,1002,7,2119.23,501,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-14,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,4.65,4.65,4.65,4.65,4.65,4.65,9.929,4.65,0.0,4.65,3851850.75,828355.0,3851.0,0.0,2178390.15,468471,1227.0,3129.45,673,5,2445.9,526,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-17,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,0,0,5.11,5.11,5.11,5.11,5.11,5.11,9.892,5.11,0.0,5.11,13057761.85,2555335.0,6048.0,0.0,1285793.53,251623,986.0,7905.17,1547,12,1475103.7,288670,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-18,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,1,0,5.62,5.62,5.62,5.62,5.62,5.62,9.98,5.62,0.0,5.62,32589059.3,5798765.0,19625.0,0.0,19847513.32,3531586,6580.0,33585.12,5976,50,6569.78,1169,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-19,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,1,0,6.18,6.18,6.17,6.18,6.17,6.17,9.786,6.17,6.18,6.176,47276572.68,7654875.0,34659.0,0.0,15863083.56,2566842,7556.0,1472254.55,238615,1573,192491.66,31198,274,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-20,FADE,FADE GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTFADE,0,0,0,1,0,6.17,6.17,5.56,6.17,5.56,5.56,-9.887,0.0,5.56,5.879,13261862.74,2255696.0,14267.0,0.0,4573068.26,741178,3356.0,70923.36,12756,183,4075.48,733,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
