TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,FMIZP,FEDERAL MOGUL IZMIT PISTON PIM,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,15.94,0.0,12.72,16.05,15.8,15.8,0.0,15.76,15.8,15.828,393552.31,24865.0,350.0,0.0,0.0,0,0.0,1580.0,100,1,790.0,50,2,16.0,16.0,16.0,6400.0,400,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,FMIZP,FEDERAL MOGUL IZMIT PISTON PIM,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,15.81,0.0,13.6,16.26,16.23,16.23,2.722,16.23,16.24,15.944,1233254.27,77349.0,770.0,0.0,0.0,0,0.0,3521.91,217,5,0.0,0,0,15.81,16.19,16.154,3521.58,218,8,0.0,0.0,0.0,0.0,0,0
2015-12-02,FMIZP,FEDERAL MOGUL IZMIT PISTON PIM,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,16.25,0.0,15.87,16.36,15.91,15.91,-1.972,15.91,15.93,16.095,752941.18,46782.0,554.0,0.0,0.0,0,0.0,3579.75,225,2,0.0,0,0,15.91,16.35,16.057,15045.62,937,19,0.0,0.0,0.0,0.0,0,0
2015-12-03,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,16.05,0.0,15.73,16.17,15.76,15.76,-0.943,15.76,15.8,15.944,527057.48,33056.0,461.0,0.0,0.0,0,0.0,851.04,54,5,12198.24,774,7,15.83,16.05,16.033,19143.77,1194,9,0.0,0.0,0.0,0.0,0,0
2015-12-04,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,15.8,15.8,15.21,15.85,15.47,15.47,-1.84,15.44,15.49,15.427,624934.5,40508.0,630.0,0.0,6715.0,425,3.0,386.75,25,2,386.75,25,2,15.4,15.51,15.444,9343.4,605,15,0.0,0.0,0.0,0.0,0,0
2015-12-07,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,15.6,15.6,15.12,15.6,15.19,15.19,-1.81,15.18,15.19,15.242,346857.67,22757.0,338.0,0.0,2028.0,130,3.0,1519.0,100,1,0.0,0,0,15.15,15.28,15.213,6085.0,400,16,0.0,0.0,0.0,0.0,0,0
2015-12-08,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,15.19,15.19,14.66,15.7,14.66,14.66,-3.489,14.66,14.79,15.293,1358022.23,88801.0,1073.0,0.0,1640.52,108,4.0,13194.0,900,11,0.0,0,0,15.24,15.69,15.478,25785.65,1666,22,0.0,0.0,0.0,0.0,0,0
2015-12-09,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,14.71,14.71,14.3,14.99,14.9,14.9,1.637,14.9,14.92,14.618,929184.92,63564.0,773.0,0.0,7413.84,504,6.0,6734.8,452,4,13335.5,895,6,14.38,14.89,14.528,16024.42,1103,19,0.0,0.0,0.0,0.0,0,0
2015-12-10,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,14.9,14.9,14.53,15.19,14.58,14.58,-2.148,14.58,14.65,14.886,1206773.99,81066.0,906.0,0.0,745.0,50,4.0,36450.0,2500,8,1195.56,82,2,14.68,15.09,14.976,11217.15,749,18,0.0,0.0,0.0,0.0,0,0
2015-12-11,FMIZP,F-M IZMIT PISTON,N,MSPOT,MSPOTEQT,MSPOTEQTFMIZP,0,0,0,0,0,14.7,14.7,14.15,14.77,14.27,14.27,-2.126,14.25,14.27,14.298,648495.25,45356.0,655.0,0.0,73.5,5,1.0,4038.41,283,8,713.5,50,1,14.25,14.34,14.293,5888.6,412,5,0.0,0.0,0.0,0.0,0,0
