TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,GARFA,GARANTI FAKTORING HIZMETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.88,0.0,1.86,1.9,1.88,1.88,0.0,1.87,1.88,1.875,109442.71,58368.0,96.0,0.0,0.0,0,0.0,577.16,307,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,GARFA,GARANTI FAKTORING HIZMETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.88,0.0,1.88,1.93,1.92,0.0,2.128,1.92,1.93,1.909,214516.62,112343.0,207.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,GARFA,GARANTI FAKTORING HIZMETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.93,0.0,1.9,1.93,1.91,1.91,-0.521,1.9,1.91,1.914,180878.56,94513.0,118.0,0.0,0.0,0,0.0,477.5,250,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.91,0.0,1.88,1.92,1.88,1.88,-1.571,1.87,1.88,1.89,81388.21,43053.0,101.0,0.0,0.0,0,0.0,2227.8,1185,8,1411.88,751,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.88,1.88,1.82,1.88,1.86,0.0,-1.064,1.85,1.86,1.848,139099.79,75277.0,168.0,0.0,188.0,100,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.86,1.86,1.84,1.87,1.86,1.86,0.0,1.85,1.86,1.848,101734.06,55061.0,111.0,0.0,5.58,3,1.0,9.3,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.86,1.86,1.84,1.98,1.89,1.89,1.613,1.89,1.9,1.898,2647133.01,1394960.0,4343.0,0.0,9.3,5,1.0,18900.0,10000,6,27909.63,14767,12,1.88,1.97,1.915,142408.63,74367,571,0.0,0.0,0.0,0.0,0,0
2015-12-09,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.89,1.89,1.84,1.92,1.88,1.88,-0.529,1.88,1.89,1.877,812849.94,433115.0,1809.0,0.0,529.2,280,1.0,1880.0,1000,1,0.0,0,0,1.88,1.91,1.89,36636.27,19383,102,0.0,0.0,0.0,0.0,0,0
2015-12-10,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.89,0.0,1.8,1.9,1.81,1.81,-3.723,1.81,1.83,1.844,302701.48,164187.0,267.0,0.0,0.0,0,0.0,981.02,542,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,GARFA,GARANTI FAKTORING,N,MSPOT,MSPOTEQT,MSPOTEQTGARFA,0,0,0,0,0,1.82,0.0,1.72,1.83,1.74,1.74,-3.867,1.73,1.74,1.753,284722.03,162420.0,367.0,0.0,0.0,0,0.0,1.74,1,1,1.74,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
