TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,GDKGS,GEDIK GIRISIM SERMAYESI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17,0.0,0.0,1.16,1.17,1.17,2632.5,2250.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,GDKGS,GEDIK GIRISIM SERMAYESI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.24,0.0,1.15,1.39,1.19,0.0,1.709,1.15,1.18,1.235,14827.11,12009.0,42.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,GDKGS,GEDIK GIRISIM SERMAYESI YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.22,1.22,1.22,1.22,1.22,0.0,2.521,1.16,1.18,1.22,184.22,151.0,2.0,0.0,1.22,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.18,1.18,1.16,1.18,1.18,0.0,-3.279,1.16,1.18,1.177,6619.8,5625.0,12.0,0.0,1.18,1,1.0,0.0,0,0,53.1,45,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.19,0.0,1.16,1.19,1.16,0.0,-1.695,1.16,1.18,1.16,1755.33,1513.0,9.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.18,0.0,1.16,1.18,1.16,0.0,0.0,1.16,1.18,1.16,61.5,53.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.16,0.0,1.15,1.18,1.15,0.0,-0.862,1.14,1.15,1.154,2308.68,2001.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.2,0.0,1.15,1.2,1.15,0.0,0.0,1.15,1.19,1.155,2313.53,2003.0,11.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.21,0.0,1.15,1.21,1.16,0.0,0.87,1.15,1.16,1.159,1566.21,1351.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,GDKGS,GEDIK GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTGDKGS,1,0,0,0,0,1.15,0.0,1.14,1.15,1.14,0.0,-1.724,1.14,1.18,1.149,448.1,390.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
