TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2016-03-28,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,2.98,2.98,2.98,3.05,3.05,3.05,0.0,3.05,3.1,2.992,228179.86,76276.0,168.0,0.0,2226.06,747,6.0,12.2,4,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-03-29,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,3.1,3.1,3.1,3.66,3.66,3.66,20.0,3.66,0.0,3.355,470861.15,140359.0,248.0,0.0,110577.0,35670,70.0,3.66,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-03-30,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,4.39,4.39,4.39,4.39,4.39,4.39,19.945,4.39,0.0,4.39,807680.98,183982.0,197.0,0.0,238218.96,54264,90.0,4.39,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-03-31,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,5.26,5.26,5.26,5.26,5.26,5.26,19.818,5.26,0.0,5.26,1362113.82,258957.0,322.0,0.0,549417.52,104452,116.0,28935.26,5501,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-01,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,6.31,6.31,6.22,6.31,6.22,6.22,18.251,6.2,6.22,6.3,4523358.14,718007.0,1272.0,0.0,1583709.04,250984,221.0,27361.78,4399,24,933.0,150,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-04,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,6.0,6.0,4.98,6.0,4.98,4.98,-19.936,0.0,4.98,5.274,1643970.0,311684.0,816.0,0.0,539904.0,89984,271.0,5672.22,1139,10,49.8,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-05,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,3.99,3.99,3.99,4.49,4.49,4.49,-9.839,4.45,4.49,4.112,1809108.04,439989.0,553.0,0.0,278737.41,69859,143.0,66748.34,14866,15,44307.32,9868,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-06,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,4.4,4.4,4.1,4.4,4.1,4.1,-8.686,4.05,4.1,4.333,1061838.3,245052.0,613.0,0.0,473748.0,107670,192.0,12537.8,3058,19,434.6,106,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-07,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,4.15,4.15,4.15,4.19,4.19,4.19,2.195,4.19,4.2,4.17,377608.92,90564.0,308.0,0.0,62905.7,15158,36.0,11183.11,2669,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-04-08,ISDMR,ISKENDERUN DEMIR CELIK,S,MSPOT,MSPOTEQT,MSPOTEQTISDMR,0,0,0,1,0,4.2,4.2,4.12,4.2,4.12,4.12,-1.671,4.1,4.12,4.184,667277.02,159499.0,443.0,0.0,19059.6,4538,38.0,44446.56,10788,16,8689.08,2109,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
