TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ISFIN,IS FINANSAL KIRALAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.81,0.81,0.79,0.81,0.8,0.8,0.0,0.79,0.8,0.798,73631.37,92295.0,56.0,0.0,8.1,10,4.0,4000.8,5001,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ISFIN,IS FINANSAL KIRALAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.8,0.8,0.8,0.81,0.8,0.0,0.0,0.8,0.81,0.801,33553.97,41866.0,46.0,0.0,132.0,165,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ISFIN,IS FINANSAL KIRALAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.8,0.8,0.79,0.81,0.79,0.79,-1.25,0.79,0.8,0.8,1195815.23,1495239.0,197.0,0.0,4.8,6,2.0,19443.48,24612,10,3950.79,5001,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.8,0.8,0.78,0.8,0.79,0.79,0.0,0.79,0.8,0.791,320618.92,405580.0,89.0,0.0,0.8,1,1.0,1962.36,2484,1,7110.0,9000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.79,0.79,0.76,0.8,0.78,0.78,-1.266,0.77,0.78,0.775,443672.1,572596.0,103.0,0.0,19750.0,25000,4.0,0.78,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.77,0.77,0.77,0.79,0.78,0.78,0.0,0.77,0.78,0.774,190763.04,246315.0,109.0,0.0,38500.0,50000,10.0,13323.96,17082,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.78,0.78,0.76,0.78,0.77,0.0,-1.282,0.76,0.77,0.771,120003.81,155731.0,81.0,0.0,23.4,30,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.77,0.77,0.76,0.78,0.78,0.78,1.299,0.77,0.78,0.77,103849.29,134809.0,56.0,0.0,1540.0,2000,2.0,390.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.78,0.78,0.75,0.78,0.76,0.76,-2.564,0.75,0.76,0.768,340386.67,443446.0,110.0,0.0,3.9,5,1.0,1094.4,1440,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.76,0.76,0.74,0.77,0.74,0.74,-2.632,0.74,0.75,0.754,114462.81,151901.0,91.0,0.0,752.4,990,4.0,666.0,900,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.76,0.76,0.73,0.76,0.74,0.0,0.0,0.73,0.74,0.746,96350.9,129150.0,58.0,0.0,223.44,294,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ISFIN,IS FIN.KIR.,Z,MSPOT,MSPOTEQT,MSPOTEQTISFIN,0,0,0,0,0,0.74,0.0,0.73,0.76,0.75,0.75,1.351,0.74,0.75,0.745,767011.6,1029657.0,141.0,0.0,0.0,0,0.0,3750.0,5000,1,3750.0,5000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
