TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.26,2.26,2.14,2.28,2.14,2.14,0.0,2.14,2.16,2.199,6935731.69,3154712.0,1881.0,0.0,76840.0,34000,14.0,2034063.58,950497,120,583913.98,272857,15,2.22,2.28,2.249,319744.72,142193,56,0.0,0.0,0.0,0.0,0,0
2015-12-01,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.16,2.16,2.15,2.22,2.15,2.15,0.467,2.15,2.16,2.179,5850336.96,2684816.0,1906.0,0.0,45932.4,21265,9.0,77653.7,36118,14,43000.0,20000,18,2.16,2.21,2.194,107083.6,48800,73,0.0,0.0,0.0,0.0,0,0
2015-12-02,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.16,2.16,2.11,2.18,2.12,2.12,-1.395,2.12,2.13,2.138,3551438.73,1661017.0,842.0,0.0,44854.56,20766,5.0,30424.12,14351,8,24592.0,11600,14,2.14,2.17,2.153,19380.0,9000,4,0.0,0.0,0.0,0.0,0,0
2015-12-03,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.13,2.13,2.07,2.14,2.07,2.07,-2.358,2.07,2.08,2.11,3946132.33,1869819.0,1134.0,0.0,1650.75,775,4.0,72404.46,34978,30,19776.78,9554,12,2.13,2.13,2.13,17040.0,8000,5,0.0,0.0,0.0,0.0,0,0
2015-12-04,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.09,2.09,2.07,2.17,2.15,2.15,3.865,2.15,2.16,2.118,7272663.61,3433020.0,2985.0,0.0,20900.0,10000,3.0,96990.8,45112,17,30661.15,14261,7,2.09,2.16,2.124,441961.81,208100,364,0.0,0.0,0.0,0.0,0,0
2015-12-07,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.16,2.16,2.12,2.17,2.12,2.12,-1.395,2.12,2.14,2.149,5571786.86,2593129.0,1570.0,0.0,51524.64,23854,12.0,97250.76,45873,33,6360.0,3000,1,2.14,2.16,2.15,64510.0,30000,17,0.0,0.0,0.0,0.0,0,0
2015-12-08,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.12,2.12,2.06,2.15,2.08,2.08,-1.887,2.07,2.08,2.103,3104710.66,1476318.0,1059.0,0.0,14914.2,7035,4.0,43486.56,20907,15,305208.8,146735,29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.09,2.09,2.03,2.1,2.08,2.08,0.0,2.08,2.09,2.071,3539913.63,1709519.0,1633.0,0.0,38876.09,18601,9.0,109599.36,52692,24,39037.44,18768,4,2.06,2.08,2.067,41762.0,20200,40,0.0,0.0,0.0,0.0,0,0
2015-12-10,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.07,2.07,1.94,2.11,1.98,1.98,-4.808,1.98,1.99,2.035,3473424.59,1706671.0,1454.0,0.0,13190.04,6372,9.0,33264.0,16800,18,40102.92,20254,14,2.03,2.03,2.03,41615.0,20500,16,0.0,0.0,0.0,0.0,0,0
2015-12-11,IZMDC,IZMIR DEMIR CELIK,Z,MSPOT,MSPOTEQT,MSPOTEQTIZMDC,0,0,0,0,0,2.0,2.0,1.88,2.0,1.89,1.89,-4.545,1.89,1.9,1.934,2494913.3,1290187.0,1143.0,0.0,6200.0,3100,3.0,32863.32,17388,20,63889.56,33804,17,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
