TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,32.1,32.1,31.3,32.1,32.0,32.0,0.0,31.96,32.0,31.592,502444.76,15904.0,491.0,0.0,513.6,16,3.0,12192.0,381,6,0.0,0,0,31.68,31.68,31.68,7254.72,229,6,0.0,0.0,0.0,0.0,0,0
2015-12-01,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,32.02,0.0,31.78,32.2,31.9,31.9,-0.313,31.88,31.96,31.968,455478.76,14248.0,470.0,0.0,0.0,0,0.0,6380.0,200,6,34069.2,1068,8,32.16,32.16,32.16,964.8,30,6,0.0,0.0,0.0,0.0,0,0
2015-12-02,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,32.0,32.0,31.46,32.22,31.54,31.54,-1.129,31.5,31.54,31.858,1163629.74,36526.0,1148.0,0.0,576.0,18,2.0,5708.74,181,3,0.0,0,0,31.52,31.7,31.652,9527.3,301,12,0.0,0.0,0.0,0.0,0,0
2015-12-03,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,31.66,0.0,31.2,31.86,31.34,31.34,-0.634,31.14,31.34,31.457,361404.8,11489.0,353.0,0.0,0.0,0,0.0,2726.58,87,3,3322.04,106,7,31.6,31.62,31.61,126.44,4,2,0.0,0.0,0.0,0.0,0,0
2015-12-04,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,31.28,31.28,30.38,31.5,31.44,31.44,0.319,31.36,31.44,30.9,572647.9,18532.0,996.0,0.0,31.28,1,1.0,3489.84,111,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,31.46,31.46,30.5,31.54,31.22,31.22,-0.7,31.0,31.22,31.028,249996.46,8057.0,632.0,0.0,31.46,1,1.0,1561.0,50,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,30.86,0.0,30.1,31.14,30.44,30.44,-2.498,30.38,30.44,30.459,309891.58,10174.0,363.0,0.0,0.0,0,0.0,9466.84,311,18,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,30.3,0.0,29.96,30.48,30.48,30.48,0.131,30.26,30.48,30.111,411765.5,13675.0,472.0,0.0,0.0,0,0.0,4572.0,150,5,914.4,30,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,30.44,30.44,28.82,30.44,29.42,29.42,-3.478,29.28,29.42,29.662,212440.52,7162.0,277.0,0.0,3744.12,123,3.0,1706.36,58,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,29.32,29.32,28.0,29.7,28.28,28.28,-3.875,28.0,28.28,28.364,331740.94,11696.0,425.0,0.0,322.52,11,1.0,848.4,30,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,28.44,28.44,27.6,28.98,27.74,27.74,-1.909,27.74,27.84,28.328,182119.9,6429.0,242.0,0.0,398.16,14,9.0,277.4,10,1,15257.0,550,10,28.12,28.76,28.251,1214.78,43,4,0.0,0.0,0.0,0.0,0,0
2015-12-15,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,27.86,27.86,27.8,28.58,28.5,28.5,2.74,28.5,28.52,28.171,221564.86,7865.0,220.0,0.0,139.3,5,5.0,4503.0,158,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,28.58,0.0,28.32,29.0,28.8,28.8,1.053,28.78,28.82,28.573,152579.4,5340.0,168.0,0.0,0.0,0,0.0,1353.6,47,4,2908.8,101,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,28.64,28.64,28.64,29.48,29.16,29.16,1.25,29.16,29.2,29.012,378843.54,13058.0,387.0,0.0,1432.0,50,6.0,3324.24,114,3,0.0,0,0,29.16,29.38,29.379,4436.16,151,2,0.0,0.0,0.0,0.0,0,0
2015-12-18,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,29.12,29.12,28.88,29.4,29.4,29.4,0.823,29.36,29.4,29.047,146397.26,5040.0,119.0,0.0,990.08,34,2.0,588.0,20,2,11760.0,400,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,29.34,29.34,29.24,30.0,29.98,29.98,1.973,29.98,30.0,29.793,317294.06,10650.0,306.0,0.0,58.68,2,1.0,7195.2,240,7,6745.5,225,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,29.86,0.0,29.86,30.6,30.6,30.6,2.068,30.56,30.6,29.997,314306.14,10478.0,190.0,0.0,0.0,0,0.0,1744.2,57,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,IZOCM,IZOCAM,N,MSPOT,MSPOTEQT,MSPOTEQTIZOCM,0,0,0,0,0,30.62,30.62,30.6,31.5,30.8,30.8,0.654,30.8,30.86,30.843,398554.26,12922.0,565.0,0.0,30.62,1,1.0,2464.0,80,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
