TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KNFRT,KONFRUT GIDA SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.0,13.0,13.0,13.99,13.83,13.83,0.0,13.82,13.83,13.82,100846.51,7297.0,192.0,0.0,2756.0,212,5.0,345.75,25,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,KNFRT,KONFRUT GIDA SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.88,13.88,13.77,13.88,13.82,13.82,-0.072,13.81,13.82,13.816,473361.96,34261.0,416.0,0.0,13.88,1,1.0,2418.5,175,4,13.82,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,KNFRT,KONFRUT GIDA SAN VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.85,13.85,13.78,14.1,13.8,13.8,-0.145,13.8,13.82,13.907,879607.02,63249.0,450.0,0.0,110.8,8,2.0,2760.0,200,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.85,13.85,13.76,13.87,13.79,13.79,-0.072,13.79,13.8,13.819,341156.55,24687.0,258.0,0.0,13.85,1,1.0,193.06,14,5,4605.86,334,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.84,13.84,13.2,13.84,13.71,13.71,-0.58,13.7,13.71,13.725,208834.63,15216.0,384.0,0.0,13.84,1,1.0,13.71,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.71,13.71,13.6,15.08,13.75,13.75,0.292,13.75,13.76,13.998,2274606.47,162492.0,1462.0,0.0,13.71,1,1.0,10381.25,755,4,19167.5,1394,7,13.89,14.76,14.125,36540.12,2587,20,0.0,0.0,0.0,0.0,0,0
2015-12-08,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.8,13.8,13.28,13.83,13.32,13.32,-3.127,13.31,13.32,13.513,663494.13,49100.0,859.0,0.0,745.2,54,3.0,892.44,67,5,0.0,0,0,13.64,13.64,13.64,5797.0,425,3,0.0,0.0,0.0,0.0,0,0
2015-12-09,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.39,13.39,13.16,13.39,13.32,13.32,0.0,13.32,13.33,13.261,204231.32,15401.0,249.0,0.0,13.39,1,1.0,3556.44,267,4,11308.68,849,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.33,13.33,13.05,13.37,13.1,13.1,-1.652,13.1,13.12,13.218,153726.03,11630.0,208.0,0.0,693.16,52,3.0,327.5,25,4,262.0,20,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.2,0.0,12.6,13.2,12.7,12.7,-3.053,12.69,12.7,12.812,183469.7,14320.0,288.0,0.0,0.0,0,0.0,4673.6,368,13,3175.0,250,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,12.87,12.87,12.6,12.9,12.7,12.7,0.0,12.7,12.71,12.758,195107.18,15293.0,299.0,0.0,25.74,2,2.0,9906.0,780,3,381.0,30,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,12.86,12.86,12.75,13.2,13.1,13.1,3.15,13.09,13.1,12.971,955502.05,73666.0,755.0,0.0,12.86,1,1.0,2174.6,166,10,0.0,0,0,13.03,13.13,13.073,2823.76,216,12,0.0,0.0,0.0,0.0,0,0
2015-12-16,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.2,13.2,12.79,13.2,12.98,12.98,-0.916,12.97,12.98,13.018,437594.51,33615.0,646.0,0.0,13.2,1,1.0,2141.7,165,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.3,13.3,13.0,13.35,13.18,13.18,1.541,13.17,13.18,13.128,263595.66,20079.0,459.0,0.0,13.3,1,1.0,26.36,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.15,13.15,13.01,13.29,13.06,13.06,-0.91,13.06,13.07,13.172,306795.17,23292.0,426.0,0.0,92.05,7,7.0,65.3,5,5,12929.4,990,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,KNFRT,KONFRUT GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKNFRT,0,0,0,0,0,13.07,0.0,13.05,13.25,13.16,13.16,0.766,13.16,13.19,13.168,515311.76,39134.0,420.0,0.0,0.0,0,0.0,2632.0,200,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
