TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KOMHL,KOMBASSAN HOLDING A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.94,0.0,1.91,1.94,1.92,1.92,0.0,1.92,1.93,1.925,186645.04,96958.0,152.0,0.0,0.0,0,0.0,4819.2,2510,4,8960.64,4667,4,1.92,1.93,1.928,1928.18,1000,5,0.0,0.0,0.0,0.0,0,0
2015-12-01,KOMHL,KOMBASSAN HOLDING A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.93,0.0,1.92,1.99,1.96,1.96,2.083,1.95,1.96,1.949,462666.74,237393.0,270.0,0.0,0.0,0,0.0,3159.52,1612,2,4680.48,2388,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,KOMHL,KOMBASSAN HOLDING A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.98,0.0,1.95,1.99,1.95,1.95,-0.51,1.95,1.97,1.967,227785.3,115812.0,149.0,0.0,0.0,0,0.0,4875.0,2500,2,3630.9,1862,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.96,0.0,1.93,1.97,1.94,1.94,-0.513,1.93,1.94,1.947,189403.87,97259.0,236.0,0.0,0.0,0,0.0,1716.9,885,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.96,0.0,1.9,1.96,1.93,1.93,-0.515,1.92,1.93,1.925,287091.0,149133.0,352.0,0.0,0.0,0,0.0,19.3,10,1,10898.71,5647,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.93,1.93,1.9,1.94,1.91,1.91,-1.036,1.91,1.92,1.916,171809.44,89664.0,183.0,0.0,193.0,100,1.0,1862.25,975,2,3820.0,2000,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.9,0.0,1.87,1.91,1.87,1.87,-2.094,1.87,1.88,1.891,123413.12,65259.0,311.0,0.0,0.0,0,0.0,1720.4,920,1,9350.0,5000,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.89,1.89,1.87,1.92,1.9,1.9,1.604,1.9,1.91,1.897,269991.34,142344.0,334.0,0.0,472.5,250,1.0,7600.0,4000,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.9,1.9,1.87,1.93,1.87,0.0,-1.579,1.87,1.88,1.9,212734.87,111948.0,236.0,0.0,3817.1,2009,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.91,0.0,1.85,1.91,1.85,1.85,-1.07,1.85,1.87,1.868,279804.61,149795.0,170.0,0.0,0.0,0,0.0,8230.65,4449,7,92.5,50,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.88,0.0,1.83,1.89,1.83,1.83,-1.081,1.83,1.84,1.847,92776.44,50239.0,126.0,0.0,0.0,0,0.0,7305.36,3992,3,3.66,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,KOMHL,KOMBASSAN HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTKOMHL,0,0,0,0,0,1.85,1.85,1.85,1.88,1.87,1.87,2.186,1.87,1.88,1.863,229904.2,123426.0,198.0,0.0,462.5,250,1.0,5610.0,3000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
