TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KRATL,KARAKAS ATLANTIS KIY MAD A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.11,0.0,1.08,1.11,1.08,1.08,0.0,1.08,1.1,1.096,31003.15,28280.0,78.0,0.0,0.0,0,0.0,32.4,30,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,KRATL,KARAKAS ATLANTIS KIY MAD A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.09,1.09,1.09,1.11,1.09,1.09,0.926,1.09,1.1,1.095,134522.03,122879.0,121.0,0.0,32.7,30,1.0,10930.52,10028,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,KRATL,KARAKAS ATLANTIS KIY MAD A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.1,1.1,1.09,1.14,1.14,1.14,4.587,1.12,1.14,1.112,326344.45,293487.0,290.0,0.0,473.0,430,1.0,3421.14,3001,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.14,0.0,1.12,1.16,1.13,1.13,-0.877,1.12,1.13,1.139,345425.36,303179.0,195.0,0.0,0.0,0,0.0,3401.3,3010,3,0.0,0,0,1.15,1.15,1.15,2875.0,2500,6,0.0,0.0,0.0,0.0,0,0
2015-12-04,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.13,0.0,1.08,1.14,1.1,1.1,-2.655,1.1,1.12,1.104,160607.46,145534.0,157.0,0.0,0.0,0,0.0,9311.5,8465,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.12,0.0,1.09,1.12,1.1,1.1,0.0,1.1,1.11,1.105,140445.5,127053.0,118.0,0.0,0.0,0,0.0,2534.4,2304,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.1,0.0,1.07,1.12,1.09,1.09,-0.909,1.08,1.09,1.097,200127.71,182481.0,192.0,0.0,0.0,0,0.0,1079.1,990,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.09,1.09,1.07,1.1,1.1,1.1,0.917,1.09,1.1,1.082,134712.34,124461.0,127.0,0.0,10.9,10,1.0,319.0,290,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.1,1.1,1.05,1.11,1.06,1.06,-3.636,1.06,1.07,1.077,256872.13,238447.0,216.0,0.0,110.0,100,2.0,2185.72,2062,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,KRATL,KARAKAS ATLANTIS KUYUM.,N,MSPOT,MSPOTEQT,MSPOTEQTKRATL,0,0,0,0,0,1.07,0.0,1.04,1.09,1.05,1.05,-0.943,1.05,1.06,1.056,222358.74,210507.0,139.0,0.0,0.0,0,0.0,4889.85,4657,5,7.35,7,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
