TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.38,2.38,2.35,2.45,2.39,2.39,0.0,2.39,2.4,2.382,980595.24,411716.0,631.0,0.0,12019.0,5050,3.0,10415.62,4358,10,18477.09,7731,6,2.41,2.41,2.41,12050.0,5000,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.38,2.38,2.37,2.51,2.48,2.48,3.766,2.48,2.49,2.441,2540866.98,1040762.0,1204.0,0.0,5283.6,2220,6.0,40448.8,16310,13,31843.2,12840,16,2.42,2.51,2.447,73775.12,30149,32,0.0,0.0,0.0,0.0,0,0
2015-12-02,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.5,2.5,2.46,2.66,2.53,2.53,2.016,2.53,2.54,2.55,5021681.04,1969281.0,3585.0,0.0,8780.0,3512,6.0,40049.9,15830,14,0.0,0,0,2.5,2.63,2.565,113402.88,44215,129,0.0,0.0,0.0,0.0,0,0
2015-12-03,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.55,2.55,2.52,2.62,2.54,2.54,0.395,2.54,2.55,2.568,1322084.55,514905.0,693.0,0.0,4916.4,1928,5.0,41729.66,16429,7,24653.24,9706,10,2.58,2.59,2.582,3359.59,1301,2,0.0,0.0,0.0,0.0,0,0
2015-12-04,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.55,2.55,2.39,2.57,2.47,2.47,-2.756,2.46,2.47,2.475,1051821.3,424964.0,615.0,0.0,3613.35,1417,7.0,43723.94,17702,8,6792.5,2750,6,2.47,2.49,2.488,2737.0,1100,5,0.0,0.0,0.0,0.0,0,0
2015-12-07,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.47,2.47,2.4,2.47,2.4,2.4,-2.834,2.39,2.4,2.436,420316.58,172524.0,405.0,0.0,9672.52,3916,5.0,13874.4,5781,15,3000.0,1250,3,2.45,2.45,2.45,3675.0,1500,2,0.0,0.0,0.0,0.0,0,0
2015-12-08,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.4,2.4,2.31,2.42,2.33,2.33,-2.917,2.33,2.34,2.37,798124.14,336775.0,809.0,0.0,2.4,1,1.0,26513.07,11379,9,0.0,0,0,2.34,2.41,2.399,2879.0,1200,3,0.0,0.0,0.0,0.0,0,0
2015-12-09,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.34,2.34,2.29,2.37,2.36,2.36,1.288,2.36,2.37,2.338,324163.28,138654.0,382.0,0.0,7.02,3,3.0,2360.0,1000,4,2317.52,982,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KUYAS,KUYUMCUKENT BIRINCIL PIYASA,N,PRMKT,PRMKTEQT,PRMKTEQTKUYAS,0,0,0,0,0,2.4,0.0,2.35,2.41,2.41,0.0,0.0,2.4,0.0,2.386,546864.71,229197.0,25.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KUYAS,KUYUMCUKENT GAYRIMENKUL,N,MSPOT,MSPOTEQT,MSPOTEQTKUYAS,0,0,0,0,0,2.36,0.0,2.35,2.44,2.41,2.41,2.119,2.41,2.42,2.386,1299645.51,544630.0,716.0,0.0,0.0,0,0.0,2441.33,1013,3,5126.07,2127,4,2.37,2.43,2.385,47708.56,20000,23,0.0,0.0,0.0,0.0,0,0
