TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.75,0.0,2.7,2.76,2.76,0.0,0.0,2.72,2.76,2.741,1696.75,619.0,14.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.79,0.0,2.71,2.79,2.75,0.0,-0.362,2.75,2.76,2.722,4243.78,1559.0,11.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.75,0.0,2.72,2.77,2.74,0.0,-0.364,2.73,2.74,2.735,4873.58,1782.0,27.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.74,0.0,2.72,2.76,2.74,0.0,0.0,2.73,2.74,2.736,15932.56,5823.0,30.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.7,2.7,2.7,2.76,2.7,0.0,-1.46,2.7,2.72,2.713,2821.56,1040.0,22.0,0.0,21.6,8,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.7,0.0,2.7,2.71,2.71,0.0,0.37,2.71,2.73,2.71,4167.83,1538.0,6.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.55,2.55,2.55,2.74,2.71,0.0,0.0,2.7,2.71,2.698,19678.1,7294.0,33.0,0.0,22.95,9,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.71,0.0,2.67,2.74,2.7,0.0,-0.369,2.71,2.74,2.709,5986.5,2210.0,26.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.7,0.0,2.66,2.7,2.67,0.0,-1.111,2.66,2.67,2.672,4469.89,1673.0,26.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.64,2.64,2.57,2.73,2.69,2.69,0.749,2.68,2.69,2.652,16982.51,6403.0,43.0,0.0,21.12,8,4.0,2574.33,957,5,115.67,43,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.68,2.68,2.58,2.68,2.58,0.0,-4.089,2.58,2.59,2.622,11711.5,4466.0,42.0,0.0,1273.0,475,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.63,2.63,2.58,2.63,2.6,2.6,0.775,2.58,2.6,2.59,29653.66,11450.0,70.0,0.0,2.63,1,1.0,130.0,50,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.6,2.6,2.55,2.64,2.64,2.64,1.538,2.61,2.64,2.599,37971.93,14613.0,97.0,0.0,10.4,4,2.0,26.4,10,1,50.16,19,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.68,0.0,2.59,2.68,2.62,2.62,-0.758,2.61,2.62,2.618,43608.93,16660.0,135.0,0.0,0.0,0,0.0,70.74,27,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.66,2.66,2.6,2.66,2.63,2.63,0.382,2.62,2.63,2.628,4932.55,1877.0,50.0,0.0,292.6,110,2.0,26.3,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,LUKSK,LUKS KADIFE,N,MSPOT,MSPOTEQT,MSPOTEQTLUKSK,1,0,0,0,0,2.6,0.0,2.6,2.68,2.65,2.65,0.76,2.65,2.67,2.647,59177.86,22355.0,80.0,0.0,0.0,0,0.0,53.0,20,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
