TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,METAL,METRO ALTIN ISLETMECILIGI A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.71,0.0,0.71,0.71,0.71,0.0,0.0,0.71,0.74,0.71,3273.1,4610.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,METAL,METRO ALTIN ISLETMECILIGI A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.73,0.0,0.72,0.74,0.72,0.0,1.408,0.72,0.74,0.724,5153.27,7118.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,METAL,METRO ALTIN ISLETMECILIGI A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.73,0.0,0.73,0.8,0.8,0.0,11.111,0.74,0.79,0.762,1707.96,2241.0,9.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.8,0.8,0.77,0.8,0.77,0.77,-3.75,0.76,0.77,0.777,2147.87,2763.0,9.0,0.0,1.6,2,1.0,759.22,986,2,34.65,45,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.76,0.76,0.74,0.76,0.74,0.0,-3.896,0.73,0.74,0.74,2696.06,3643.0,16.0,0.0,1.52,2,1.0,0.0,0,0,370.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.74,0.0,0.74,0.76,0.76,0.0,2.703,0.74,0.75,0.743,2201.12,2962.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.71,0.0,0.71,0.74,0.71,0.0,-6.579,0.72,0.74,0.71,4334.0,6100.0,13.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.73,0.0,0.71,0.73,0.71,0.71,0.0,0.71,0.73,0.714,3990.49,5587.0,13.0,0.0,0.0,0,0.0,511.91,721,2,482.8,680,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.72,0.72,0.71,0.72,0.72,0.72,1.408,0.72,0.73,0.714,7017.64,9827.0,9.0,0.0,2.16,3,1.0,751.68,1044,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,METAL,METAL GAYRIMENKUL,W,MSPOT,MSPOTEQT,MSPOTEQTMETAL,0,0,0,0,0,0.86,0.86,0.81,0.86,0.81,0.81,12.5,0.73,0.81,0.846,12898.53,15244.0,42.0,0.0,1953.06,2271,4.0,16.2,20,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
