TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,METUR,METEMTUR OTELCILIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.18,1.18,1.14,1.19,1.15,1.15,0.0,1.15,1.16,1.158,452055.64,390245.0,507.0,0.0,295.0,250,2.0,1148.85,999,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,METUR,METEMTUR OTELCILIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,0.0,1.15,1.18,1.16,1.16,0.87,1.16,1.17,1.158,251342.74,216995.0,208.0,0.0,0.0,0,0.0,580.0,500,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,METUR,METEMTUR OTELCILIK A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,1.17,1.15,1.2,1.16,1.16,0.0,1.15,1.16,1.166,276609.92,237248.0,243.0,0.0,11.7,10,1.0,29.0,25,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,1.16,1.15,1.27,1.19,1.19,2.586,1.19,1.2,1.211,1472667.17,1216455.0,1514.0,0.0,580.0,500,1.0,33552.05,28195,16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.21,1.21,1.16,1.22,1.18,1.18,-0.84,1.18,1.19,1.187,317122.96,267116.0,307.0,0.0,10921.46,9026,4.0,354.0,300,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.19,1.19,1.17,1.23,1.2,1.2,1.695,1.2,1.22,1.195,706056.24,590701.0,1231.0,0.0,1680.28,1412,4.0,3399.6,2833,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.2,0.0,1.15,1.22,1.17,1.17,-2.5,1.16,1.17,1.188,409699.23,344807.0,320.0,0.0,0.0,0,0.0,2.34,2,1,36.27,31,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,1.16,1.16,1.18,1.18,1.18,0.855,1.17,1.18,1.169,157254.01,134567.0,130.0,0.0,10.44,9,1.0,5.9,5,1,1.18,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.18,0.0,1.16,1.2,1.2,1.2,1.695,1.2,1.21,1.177,321692.06,273287.0,272.0,0.0,0.0,0,0.0,24073.2,20061,16,3000.0,2500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.18,1.18,1.15,1.2,1.17,1.17,-2.5,1.15,1.17,1.172,211063.15,180157.0,148.0,0.0,4723.54,4003,5.0,5.85,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,0.0,1.15,1.18,1.16,1.16,-0.855,1.15,1.16,1.166,122121.22,104735.0,103.0,0.0,0.0,0,0.0,1.16,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,0.0,1.16,1.2,1.17,1.17,0.862,1.17,1.18,1.179,149693.24,126965.0,116.0,0.0,0.0,0,0.0,1170.0,1000,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.19,0.0,1.16,1.24,1.18,1.18,0.855,1.17,1.18,1.203,788338.94,655392.0,475.0,0.0,0.0,0,0.0,19638.74,16643,9,4769.56,4042,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.19,1.19,1.17,1.2,1.18,1.18,0.0,1.18,1.19,1.187,192823.11,162475.0,191.0,0.0,3825.85,3215,5.0,2360.0,2000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.19,1.19,1.16,1.19,1.17,1.17,-0.847,1.16,1.17,1.171,262614.54,224229.0,286.0,0.0,10255.42,8618,5.0,3350.88,2864,4,9763.65,8345,27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,0.0,1.16,1.18,1.17,1.17,0.0,1.16,1.17,1.165,132996.69,114144.0,129.0,0.0,0.0,0,0.0,5865.21,5013,6,117.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,0.0,1.15,1.18,1.16,1.16,-0.855,1.16,1.17,1.16,244104.81,210358.0,501.0,0.0,0.0,0,0.0,1160.0,1000,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,1.17,1.15,1.18,1.16,1.16,0.0,1.16,1.17,1.165,132337.11,113607.0,153.0,0.0,15.21,13,1.0,580.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.17,0.0,1.15,1.18,1.16,1.16,0.0,1.16,1.17,1.171,177623.06,151725.0,131.0,0.0,0.0,0,0.0,2320.0,2000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,1.16,1.16,1.18,1.18,1.18,1.724,1.16,1.18,1.165,143503.74,123167.0,136.0,0.0,5854.52,5047,3.0,7080.0,6000,5,1.18,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.18,1.18,1.16,1.21,1.19,1.19,0.847,1.17,1.19,1.187,389216.14,327943.0,1414.0,0.0,23.6,20,1.0,1191.19,1001,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.19,1.19,1.16,1.19,1.16,1.16,-2.521,1.16,1.17,1.167,259177.4,222091.0,320.0,0.0,2677.5,2250,3.0,2320.0,2000,2,2900.0,2500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.16,1.16,1.13,1.18,1.14,1.14,-1.724,1.13,1.14,1.145,314844.88,274935.0,480.0,0.0,24.36,21,2.0,2280.0,2000,3,4601.04,4036,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,1,0,0,0,0,1.15,1.15,1.13,1.16,1.14,1.14,0.0,1.14,1.15,1.143,209125.48,182989.0,1306.0,0.0,34.5,30,2.0,570.0,500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,0,0,0,0,0,1.14,0.0,1.11,1.14,1.11,1.11,-2.632,1.11,1.12,1.122,100306.5,89374.0,156.0,0.0,0.0,0,0.0,1665.0,1500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,METUR,METEMTUR OTELCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTMETUR,0,0,0,0,0,1.11,1.11,1.09,1.13,1.1,1.1,-0.901,1.1,1.11,1.106,188653.94,170576.0,301.0,0.0,1.11,1,1.0,550.0,500,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
