TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MIPAZ,MILLIYET PAZARLAMA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.54,0.54,0.54,0.0,0.53,0.54,0.536,12948.37,24139.0,38.0,0.0,1080.0,2000,2.0,29.7,55,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MIPAZ,MILLIYET PAZARLAMA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.53,0.55,0.55,0.55,1.852,0.54,0.55,0.54,40805.32,75538.0,51.0,0.0,0.0,0,0.0,11.0,20,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MIPAZ,MILLIYET PAZARLAMA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.54,0.56,0.56,0.56,1.818,0.55,0.56,0.554,238952.88,431208.0,191.0,0.0,0.54,1,1.0,168.0,300,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.56,0.56,0.54,0.56,0.55,0.55,-1.786,0.55,0.56,0.556,142691.47,256786.0,115.0,0.0,5062.4,9040,2.0,55.0,100,1,290.95,529,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.55,0.55,0.53,0.56,0.54,0.54,-1.818,0.53,0.54,0.543,67051.13,123477.0,84.0,0.0,220.0,400,1.0,135.0,250,1,40.5,75,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.56,0.55,0.0,1.852,0.54,0.55,0.547,79474.19,145195.0,116.0,0.0,3.24,6,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.53,0.55,0.54,0.0,-1.818,0.53,0.54,0.538,47736.47,88686.0,72.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.54,0.53,0.53,-1.852,0.53,0.54,0.533,46099.51,86439.0,54.0,0.0,16.2,30,1.0,12057.5,22750,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.52,0.54,0.53,0.53,0.0,0.52,0.53,0.526,34603.43,65847.0,84.0,0.0,3280.7,6190,4.0,5.3,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.51,0.53,0.52,0.52,-1.887,0.51,0.52,0.516,17124.5,33194.0,70.0,0.0,530.0,1000,1.0,7.8,15,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.52,0.52,0.51,0.53,0.52,0.0,0.0,0.51,0.52,0.519,47592.1,91629.0,44.0,0.0,1040.0,2000,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.51,0.51,0.51,0.53,0.52,0.52,0.0,0.51,0.52,0.515,56972.69,110628.0,71.0,0.0,706.35,1385,6.0,0.52,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.52,0.52,0.52,0.54,0.53,0.53,1.923,0.53,0.54,0.529,157658.32,297787.0,160.0,0.0,31.2,60,1.0,10605.3,20010,5,7950.0,15000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.0,0.53,0.56,0.56,0.56,5.66,0.55,0.56,0.545,253892.48,465988.0,176.0,0.0,0.0,0,0.0,7000.0,12500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.56,0.56,0.52,0.56,0.54,0.54,-3.571,0.53,0.54,0.541,111060.71,205441.0,141.0,0.0,12745.04,22759,10.0,12550.68,23242,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.55,0.55,0.0,1.852,0.54,0.55,0.539,41976.69,77851.0,44.0,0.0,1620.54,3001,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.53,0.54,0.53,0.53,-3.636,0.53,0.54,0.532,54579.74,102650.0,54.0,0.0,0.0,0,0.0,29562.87,55779,20,3357.55,6335,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.55,0.54,0.54,1.887,0.53,0.54,0.54,74831.51,138578.0,52.0,0.0,540.0,1000,2.0,8.1,15,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.52,0.55,0.55,0.0,1.852,0.54,0.55,0.534,156068.91,292295.0,84.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.55,0.55,0.53,0.55,0.55,0.0,0.0,0.54,0.55,0.54,80897.02,149796.0,77.0,0.0,13.75,25,1.0,0.0,0,0,0.0,0,0,0.54,0.54,0.54,980.1,1815,1,0.0,0.0,0.0,0.0,0,0
2015-12-28,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.54,0.55,0.54,0.54,-1.818,0.53,0.54,0.545,60868.32,111776.0,53.0,0.0,0.0,0,0.0,5351.4,9910,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.53,0.55,0.54,0.54,0.0,0.53,0.54,0.535,83842.07,156587.0,84.0,0.0,0.0,0,0.0,10.8,20,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.53,0.54,0.54,0.54,0.0,0.53,0.54,0.534,22976.68,43000.0,30.0,0.0,10600.0,20000,3.0,2970.0,5500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.54,0.54,0.54,0.0,0.53,0.54,0.537,3828.53,7127.0,13.0,0.0,1080.54,2001,2.0,31.32,58,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.52,0.53,0.53,0.53,-1.852,0.52,0.53,0.528,44559.12,84435.0,53.0,0.0,5471.72,10324,6.0,5.3,10,1,530.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.52,0.54,0.53,0.53,0.0,0.53,0.54,0.53,62475.45,117922.0,49.0,0.0,0.53,1,1.0,11777.66,22222,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.52,0.54,0.54,0.54,1.887,0.53,0.54,0.53,33099.93,62464.0,38.0,0.0,66.25,125,1.0,5.4,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.0,0.53,0.55,0.54,0.54,0.0,0.53,0.54,0.536,72567.68,135331.0,76.0,0.0,0.0,0,0.0,59.4,110,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.54,0.53,0.54,0.54,0.54,0.0,0.53,0.54,0.54,40487.24,75033.0,32.0,0.0,1794.42,3323,2.0,13355.28,24732,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.54,0.0,0.53,0.55,0.54,0.54,0.0,0.53,0.54,0.541,100009.93,184986.0,58.0,0.0,0.0,0,0.0,8105.4,15010,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.53,0.53,0.51,0.56,0.56,0.56,3.704,0.55,0.56,0.537,289482.53,538694.0,250.0,0.0,2650.0,5000,3.0,3925.6,7010,8,45080.0,80500,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.56,0.56,0.55,0.63,0.61,0.61,8.929,0.61,0.62,0.603,2137055.05,3544210.0,1857.0,0.0,109.76,196,4.0,7048.55,11555,87,0.0,0,0,0.61,0.63,0.618,15450.0,25000,7,0.0,0.0,0.0,0.0,0,0
2016-01-14,MIPAZ,MILPA,N,MSPOT,MSPOTEQT,MSPOTEQTMIPAZ,0,0,0,0,0,0.61,0.61,0.56,0.61,0.57,0.57,-6.557,0.57,0.58,0.584,805752.8,1380765.0,1028.0,0.0,2102.06,3446,20.0,5700.0,10000,6,0.0,0,0,0.58,0.58,0.58,5800.0,10000,3,0.0,0.0,0.0,0.0,0,0
