TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MRTGG,MERT GIDA GIYIM SANAYI VE TIC A.,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.18,0.0,0.15,0.18,0.16,0.0,0.0,0.16,0.17,0.156,1968.5,12586.0,18.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MRTGG,MERT GIDA GIYIM SANAYI VE TIC A.,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.16,0.17,0.16,1717.92,10737.0,29.0,0.0,371.68,2323,8.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MRTGG,MERT GIDA GIYIM SANAYI VE TIC A.,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.16,0.17,0.16,226.4,1415.0,11.0,0.0,24.0,150,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.17,0.17,0.17,0.19,0.19,0.19,18.75,0.19,0.0,0.189,24598.32,130171.0,76.0,0.0,510.0,3000,3.0,2391.53,12587,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.22,0.22,0.22,0.22,0.22,0.22,15.789,0.22,0.0,0.22,25147.54,114307.0,116.0,0.0,5270.1,23955,31.0,22.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.26,0.26,0.26,0.26,0.26,0.26,18.182,0.26,0.0,0.26,29862.82,114857.0,78.0,0.0,11202.1,43085,49.0,1300.0,5000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.31,0.31,0.31,0.31,0.31,0.0,19.231,0.31,0.0,0.31,67175.45,216695.0,88.0,0.0,25732.48,83008,57.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.0,19.355,0.37,0.0,0.37,181751.03,491219.0,181.0,0.0,120156.02,324746,148.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.44,0.44,0.44,0.44,0.44,0.44,18.919,0.44,0.0,0.44,370751.92,842618.0,322.0,0.0,186964.36,424919,137.0,0.44,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.52,0.52,0.51,0.52,0.51,0.51,15.909,0.5,0.51,0.52,234893.41,451884.0,337.0,0.0,55976.44,107647,88.0,4123.35,8085,14,276.42,542,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,MRTGG,MERT GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTMRTGG,0,0,0,0,0,0.41,0.41,0.41,0.41,0.41,0.41,-19.608,0.0,0.41,0.41,20664.41,50401.0,70.0,0.0,13415.61,32721,36.0,766.7,1870,3,0.41,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
