TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ORMA,ORMA ORMAN MAHSULLERI INTEGRE SN,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.06,1.06,1.01,1.06,1.01,1.01,0.0,1.0,1.01,1.042,1694.72,1627.0,19.0,0.0,3.18,3,2.0,203.01,201,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ORMA,ORMA ORMAN MAHSULLERI INTEGRE SN,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.01,1.01,1.01,1.01,1.01,0.0,0.0,0.99,1.01,1.01,24086.48,23848.0,20.0,0.0,6162.01,6101,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ORMA,ORMA ORMAN MAHSULLERI INTEGRE SN,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.01,1.01,0.96,1.01,0.96,0.0,-4.95,0.97,1.01,1.003,3646.35,3635.0,25.0,0.0,401.98,398,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.09,1.09,1.07,1.09,1.07,0.0,11.458,1.04,1.06,1.078,8073.5,7489.0,23.0,0.0,5.45,5,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.07,1.07,1.02,1.07,1.02,1.02,-4.673,1.01,1.02,1.031,451.59,438.0,14.0,0.0,3.21,3,3.0,204.0,200,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.0,1.02,1.01,0.0,-0.98,1.01,1.04,1.012,2479.2,2451.0,12.0,0.0,1379.04,1352,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.0,1.02,1.0,1.0,-0.99,1.0,1.02,1.0,1509.02,1509.0,15.0,0.0,1.02,1,1.0,290.0,290,2,210.0,210,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,0.93,1.0,0.99,0.0,-1.0,0.99,1.0,0.957,1859.93,1943.0,12.0,0.0,50.0,50,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.05,1.0,5868.0,5868.0,21.0,0.0,801.0,801,6.0,500.0,500,1,100.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,0.99,1.01,0.99,0.99,-1.0,0.99,1.0,0.997,1550.09,1555.0,9.0,0.0,1.0,1,1.0,537.57,543,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,0.99,1.0,0.99,0.99,0.0,0.98,0.99,0.99,2026.87,2047.0,14.0,0.0,24.0,24,2.0,1374.12,1388,6,99.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,0.89,1.01,1.01,0.0,2.02,0.94,1.01,0.963,2699.7,2804.0,17.0,0.0,186.0,186,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,0.98,1.0,0.98,0.0,-2.97,0.98,0.99,0.98,1802.1,1838.0,19.0,0.0,43.0,43,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,0.99,0.99,0.99,1.0,0.99,0.0,1.02,0.99,1.0,0.997,897.99,901.0,7.0,0.0,0.99,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.0,1.0,1.0,1.02,1.02,1.02,3.03,1.0,1.02,1.0,2434.18,2434.0,12.0,0.0,49.0,49,1.0,8.16,8,1,1.02,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.02,1.02,1.02,1.02,0.0,1.0,1.02,1.02,1720.74,1687.0,19.0,0.0,798.66,783,4.0,35.7,35,1,3.06,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.02,1.02,1.02,0.0,0.0,1.02,1.04,1.02,2550.0,2500.0,8.0,0.0,10.2,10,1.0,0.0,0,0,204.0,200,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.03,1.03,1.0,1.03,1.0,0.0,-1.961,1.0,1.02,1.002,3963.06,3956.0,20.0,0.0,16.48,16,1.0,0.0,0,0,100.0,100,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.01,1.02,1.01,0.0,1.0,1.0,1.01,1.017,5574.17,5483.0,17.0,0.0,127.5,125,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.01,1.02,1.01,0.0,0.0,1.01,1.02,1.013,439.6,434.0,11.0,0.0,20.4,20,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.03,1.03,1.01,1.03,1.01,0.0,0.0,1.0,1.01,1.012,6203.08,6131.0,20.0,0.0,257.5,250,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,1.01,1.02,1.02,0.0,0.99,1.01,1.02,1.02,6386.26,6263.0,11.0,0.0,19.38,19,1.0,0.0,0,0,10.2,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,ORMA,ORMA ORMAN MAHSULLERI,S,MSPOT,MSPOTEQT,MSPOTEQTORMA,0,0,0,1,0,1.02,1.02,0.94,1.02,1.0,1.0,-1.961,1.0,1.02,1.007,3166.72,3144.0,14.0,0.0,25.5,25,2.0,1630.0,1630,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
