TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,OSMEN,OSMANLI MENKUL DEGERLER,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,OSMEN,OSMANLI MENKUL DEGERLER,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,OSMEN,OSMANLI MENKUL DEGERLER,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,3.52,0.0,3.52,3.52,3.52,0.0,0.0,0.0,4.22,3.52,122548.8,34815.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,4.22,4.22,4.22,4.22,4.22,0.0,19.886,0.0,4.22,4.22,1498.1,355.0,9.0,0.0,42.2,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,4.22,4.22,4.22,4.22,4.22,0.0,0.0,0.0,3.88,4.22,1481.22,351.0,2.0,0.0,1481.22,351,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,3.51,3.51,3.51,3.51,3.51,0.0,-16.825,3.6,4.1,3.51,2263.95,645.0,6.0,0.0,14.04,4,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,3.49,0.0,3.49,3.49,3.49,0.0,0.0,0.0,3.49,3.49,34.9,10.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,OSMEN,OSMANLI MENKUL,G,MSPOT,MSPOTEQT,MSPOTEQTOSMEN,0,0,0,0,0,3.04,0.0,3.04,3.05,3.05,0.0,0.0,3.06,4.18,3.05,121.99,40.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
