TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,OSTIM,OSTIM ENDUSTRIYEL YAT VE ISLT AS,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.6,0.0,2.54,2.63,2.58,0.0,0.0,2.56,2.58,2.573,99863.3,38815.0,479.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,OSTIM,OSTIM ENDUSTRIYEL YAT VE ISLT AS,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.6,0.0,2.58,2.63,2.63,0.0,1.938,2.62,2.63,2.602,92799.75,35667.0,160.0,0.0,0.0,0,0.0,0.0,0,0,23.67,9,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,OSTIM,OSTIM ENDUSTRIYEL YAT VE ISLT AS,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.64,2.64,2.59,2.68,2.64,0.0,0.38,2.62,2.63,2.63,80521.96,30613.0,165.0,0.0,182.16,69,1.0,0.0,0,0,0.0,0,0,2.65,2.65,2.65,397.5,150,2,0.0,0.0,0.0,0.0,0,0
2015-12-03,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.6,2.6,2.59,2.63,2.62,0.0,-0.758,2.6,2.62,2.611,78724.23,30156.0,101.0,0.0,650.0,250,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.62,2.62,2.56,2.62,2.6,0.0,-0.763,2.59,2.6,2.587,100371.06,38795.0,121.0,0.0,1572.0,600,2.0,0.0,0,0,15.6,6,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.6,2.6,2.55,2.62,2.56,0.0,-1.538,2.56,2.58,2.568,44253.74,17231.0,106.0,0.0,520.0,200,1.0,0.0,0,0,1244.16,486,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.56,2.56,2.52,2.59,2.56,0.0,0.0,2.53,2.55,2.55,74539.91,29236.0,127.0,0.0,81.92,32,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.52,2.52,2.5,2.56,2.54,0.0,-0.781,2.53,2.54,2.522,102914.19,40809.0,366.0,0.0,5040.0,2000,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.53,0.0,2.48,2.57,2.5,0.0,-1.575,2.5,2.51,2.511,110870.93,44154.0,118.0,0.0,0.0,0,0.0,0.0,0,0,3492.5,1397,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,OSTIM,OSTIM ENDUSTRIYEL YAT,N,MSPOT,MSPOTEQT,MSPOTEQTOSTIM,0,0,0,0,0,2.52,0.0,2.44,2.55,2.45,0.0,-2.0,2.44,2.45,2.478,135265.88,54589.0,98.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
