TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,OZBAL,OZBAL CELIK BORU SANAYI AS,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.44,1.44,1.37,1.48,1.39,1.39,0.0,1.39,1.4,1.413,2564087.64,1814470.0,1221.0,0.0,2884.32,2003,6.0,3376.31,2429,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,OZBAL,OZBAL CELIK BORU SANAYI AS,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.41,1.41,1.36,1.46,1.39,1.39,0.0,1.39,1.4,1.403,1349039.18,961462.0,888.0,0.0,2199.6,1560,4.0,8340.0,6000,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,OZBAL,OZBAL CELIK BORU SANAYI AS,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.39,1.39,1.37,1.42,1.38,1.38,-0.719,1.38,1.39,1.392,1298983.46,933412.0,668.0,0.0,4218.65,3035,6.0,15180.0,11000,5,1.38,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.39,1.39,1.33,1.42,1.36,1.36,-1.449,1.35,1.36,1.384,1705812.86,1232283.0,764.0,0.0,2828.65,2035,2.0,1836.0,1350,1,4080.0,3000,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.37,0.0,1.35,1.5,1.41,1.41,3.676,1.41,1.42,1.405,3086475.54,2197462.0,1171.0,0.0,0.0,0,0.0,29892.0,21200,12,23116.95,16395,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.41,1.41,1.41,1.55,1.53,1.53,8.511,1.53,1.54,1.488,4118568.62,2767058.0,1742.0,0.0,20164.41,14301,12.0,51691.05,33785,22,119.34,78,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.53,1.53,1.48,1.61,1.59,1.59,3.922,1.58,1.59,1.569,2932251.97,1868278.0,1334.0,0.0,2218.5,1450,6.0,9759.42,6138,6,4064.04,2556,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.61,1.61,1.5,1.61,1.53,1.53,-3.774,1.53,1.54,1.547,2543968.6,1644837.0,1173.0,0.0,2416.61,1501,5.0,16856.01,11017,12,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.53,1.53,1.46,1.55,1.46,1.46,-4.575,1.46,1.48,1.492,1029409.82,690104.0,622.0,0.0,1106.19,723,3.0,8760.0,6000,6,5110.0,3500,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,OZBAL,OZBAL CELIK BORU,N,MSPOT,MSPOTEQT,MSPOTEQTOZBAL,1,0,0,0,0,1.46,1.46,1.37,1.47,1.42,1.42,-2.74,1.42,1.43,1.426,1067243.25,748465.0,670.0,0.0,2239.64,1534,5.0,568.0,400,4,7100.0,5000,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
