TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,PKART,PLASTIKKART AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.13,0.0,2.11,2.16,2.13,2.13,0.0,2.12,2.13,2.122,84765.44,39953.0,87.0,0.0,0.0,0,0.0,532.5,250,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,PKART,PLASTIKKART AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.13,2.13,2.11,2.2,2.18,2.18,2.347,2.18,2.19,2.159,81268.57,37645.0,88.0,0.0,426.0,200,1.0,67.58,31,1,3525.06,1617,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,PKART,PLASTIKKART AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.18,2.18,2.14,2.23,2.17,2.17,-0.459,2.16,2.17,2.184,143756.88,65832.0,203.0,0.0,6.54,3,1.0,434.0,200,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.18,0.0,2.11,2.18,2.12,2.12,-2.304,2.11,2.12,2.133,84252.53,39496.0,129.0,0.0,0.0,0,0.0,424.0,200,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.14,0.0,2.08,2.21,2.21,2.21,4.245,2.21,2.22,2.152,226607.18,105291.0,223.0,0.0,0.0,0,0.0,6630.0,3000,2,14807.0,6700,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.25,2.25,2.15,2.43,2.43,2.43,9.955,2.42,2.43,2.289,1293344.12,564930.0,861.0,0.0,13180.5,5858,13.0,46464.03,19121,26,4043.52,1664,4,2.23,2.36,2.281,8384.25,3675,12,0.0,0.0,0.0,0.0,0,0
2015-12-08,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.43,2.43,2.27,2.43,2.32,0.0,-4.527,2.3,2.32,2.35,932612.6,396917.0,969.0,0.0,9795.33,4031,18.0,0.0,0,0,2.32,1,1,2.34,2.38,2.349,8133.94,3462,15,0.0,0.0,0.0,0.0,0,0
2015-12-09,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.35,2.35,2.22,2.37,2.29,2.29,-1.293,2.29,2.32,2.275,631984.5,277745.0,798.0,0.0,470.0,200,1.0,2290.0,1000,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.27,0.0,2.25,2.47,2.34,2.34,2.183,2.34,2.36,2.388,1974181.31,826720.0,1214.0,0.0,0.0,0,0.0,9682.92,4138,12,0.0,0,0,2.38,2.46,2.436,11259.34,4622,16,0.0,0.0,0.0,0.0,0,0
2015-12-11,PKART,PLASTIKKART,N,MSPOT,MSPOTEQT,MSPOTEQTPKART,0,0,0,0,0,2.37,2.37,2.33,2.43,2.38,2.38,1.709,2.35,2.38,2.375,438433.83,184576.0,356.0,0.0,11850.0,5000,2.0,8330.0,3500,6,952.0,400,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
