TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,PNSUT,PINAR SUT AS,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,22.22,22.22,18.12,22.22,18.12,18.12,0.0,18.12,18.3,19.384,1177380.7,60741.0,866.0,0.0,223933.16,10078,35.0,50917.2,2810,31,141952.08,7834,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,PNSUT,PINAR SUT AS,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,18.3,18.3,18.17,18.44,18.31,18.31,1.049,18.3,18.34,18.295,338392.72,18496.0,290.0,0.0,5691.3,311,5.0,1281.7,70,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,PNSUT,PINAR SUT AS,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,18.31,18.31,18.29,18.39,18.37,18.37,0.328,18.37,18.39,18.335,251185.01,13700.0,206.0,0.0,2819.74,154,4.0,4041.4,220,4,183.7,10,1,18.32,18.38,18.361,6426.5,350,15,0.0,0.0,0.0,0.0,0,0
2015-12-03,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,18.31,0.0,18.21,18.37,18.31,18.31,-0.327,18.27,18.31,18.309,192865.42,10534.0,173.0,0.0,0.0,0,0.0,1116.91,61,2,0.0,0,0,18.35,18.36,18.35,4128.8,225,3,0.0,0.0,0.0,0.0,0,0
2015-12-04,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,18.28,0.0,18.01,18.3,18.04,18.04,-1.475,18.03,18.04,18.07,223092.05,12346.0,300.0,0.0,0.0,0,0.0,703.56,39,1,0.0,0,0,18.03,18.3,18.106,3838.5,212,21,0.0,0.0,0.0,0.0,0,0
2015-12-07,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,18.02,18.02,17.89,18.25,17.97,17.97,-0.388,17.97,17.99,18.012,192549.94,10690.0,160.0,0.0,108.12,6,3.0,89.85,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,17.97,17.97,17.32,18.04,17.6,17.6,-2.059,17.59,17.6,17.719,248933.35,14049.0,322.0,0.0,1527.45,85,2.0,1161.6,66,3,4435.2,252,4,17.97,17.99,17.977,2516.8,140,16,0.0,0.0,0.0,0.0,0,0
2015-12-09,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,17.6,17.6,17.11,17.66,17.49,17.49,-0.625,17.49,17.5,17.44,121158.03,6947.0,257.0,0.0,70.4,4,3.0,489.72,28,2,559.68,32,1,17.34,17.63,17.587,22459.15,1277,22,0.0,0.0,0.0,0.0,0,0
2015-12-10,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,17.48,17.48,17.3,17.48,17.33,17.33,-0.915,17.33,17.34,17.361,119998.9,6912.0,236.0,0.0,314.64,18,6.0,1386.4,80,1,17.33,1,1,17.36,17.47,17.416,4737.07,272,9,0.0,0.0,0.0,0.0,0,0
2015-12-11,PNSUT,PINAR SUT,Z,MSPOT,MSPOTEQT,MSPOTEQTPNSUT,0,0,0,0,0,17.33,17.33,16.39,17.33,16.7,16.7,-3.635,16.68,16.7,16.733,272632.86,16293.0,475.0,0.0,242.62,14,1.0,167.0,10,2,517.7,31,2,16.63,16.99,16.748,9646.57,576,26,0.0,0.0,0.0,0.0,0,0
