TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-04-06,QUAGR,QUA GRANITE HAYAL YAPI BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTQUAGR,0,0,0,0,0,16.46,0.0,16.46,16.46,16.46,0.0,0.0,16.46,0.0,16.46,395040000.0,24000000.0,846353.0,16.46,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-09,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,18.1,18.1,18.1,18.1,18.1,18.1,0.0,18.1,0.0,18.1,301618.4,16664.0,766.0,0.0,20615.9,1139,56.0,579.2,32,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-12,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,19.91,19.91,19.91,19.91,19.91,19.91,10.0,19.91,0.0,19.91,767192.03,38533.0,1682.0,0.0,94174.3,4730,222.0,577.39,29,1,199.1,10,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-13,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,21.9,21.9,21.9,21.9,21.9,21.9,9.995,21.9,0.0,21.9,1238532.6,56554.0,2488.0,0.0,185142.6,8454,382.0,854.1,39,2,635.1,29,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-14,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.08,24.08,24.08,24.08,24.08,24.08,9.954,24.08,0.0,24.08,1634044.72,67859.0,3022.0,0.0,300109.04,12463,577.0,3852.8,160,9,1661.52,69,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-15,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,26.48,26.48,21.76,26.48,26.48,26.48,9.967,26.48,0.0,24.807,1140313455.84,45966613.0,607148.0,0.0,666183.84,25158,1087.0,359174.72,13564,351,110686.4,4180,135,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-16,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,27.3,27.3,27.0,29.12,29.12,29.12,9.97,29.12,0.0,28.658,193153535.36,6740033.0,84592.0,0.0,12158328.0,445360,5918.0,156869.44,5387,61,29789.76,1023,30,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-19,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,32.02,32.02,26.22,32.02,26.22,26.22,-9.959,0.0,26.22,28.048,821946360.24,29305490.0,233396.0,0.0,33790513.88,1055294,10186.0,74858.1,2855,52,36104.94,1377,28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-20,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,25.9,25.9,23.6,26.1,23.64,23.64,-9.84,23.64,23.66,24.447,428854642.48,17542459.0,105383.0,0.0,2145556.0,82840,1415.0,564121.32,23863,280,132478.56,5604,72,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-21,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.6,23.6,22.42,25.64,24.94,24.94,5.499,24.94,24.96,24.651,417587636.56,16940234.0,84896.0,0.0,765702.0,32445,602.0,2338997.9,93785,218,440889.32,17678,88,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-22,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.9,24.9,23.04,24.9,23.66,23.66,-5.132,23.64,23.66,23.955,144707798.38,6040693.0,44089.0,0.0,1346641.8,54082,475.0,1187613.7,50195,238,300742.26,12711,120,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-26,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.64,23.64,22.56,24.5,23.42,23.42,-1.014,23.42,23.44,23.836,175576521.3,7366072.0,44910.0,0.0,438403.8,18545,468.0,1024859.2,43760,171,276051.54,11787,53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-27,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.42,23.42,22.24,23.8,22.24,22.24,-5.038,22.24,22.26,23.015,83581137.34,3631611.0,31963.0,0.0,716043.08,30574,734.0,3831418.24,172276,627,232230.08,10442,32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-28,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,22.24,22.24,21.2,23.7,23.26,23.26,4.586,23.26,23.28,22.395,133690224.58,5969715.0,38305.0,0.0,1136597.44,51106,548.0,925096.72,39772,155,258255.78,11103,39,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-29,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.26,23.26,22.72,23.94,23.08,23.08,-0.774,23.08,23.1,23.358,77885095.26,3334440.0,22435.0,0.0,446592.0,19200,411.0,908613.44,39368,121,58369.32,2529,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-30,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.06,23.06,22.78,23.34,22.8,22.8,-1.213,22.78,22.8,23.004,48625347.62,2113783.0,12832.0,0.0,114262.3,4955,98.0,1257032.4,55133,148,391544.4,17173,130,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-03,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,22.78,22.78,22.68,24.1,23.86,23.86,4.649,23.84,23.86,23.27,99889447.98,4292688.0,22541.0,0.0,216660.58,9511,215.0,664023.8,27830,106,601940.08,25228,44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-04,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.1,24.1,23.64,25.84,24.74,24.74,3.688,24.72,24.74,24.684,184785294.12,7486101.0,32103.0,0.0,563795.4,23394,292.0,575452.4,23260,111,529015.42,21383,55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-05,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,25.14,25.14,24.64,25.96,25.0,25.0,1.051,25.0,25.02,25.228,176604783.38,7000379.0,30929.0,0.0,2046044.04,81386,409.0,1717025.0,68681,153,272725.0,10909,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-06,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,25.38,25.38,24.7,25.4,24.7,24.7,-1.2,24.7,24.72,24.934,74459043.7,2986280.0,14747.0,0.0,2014182.18,79361,268.0,1861589.6,75368,163,443019.2,17936,52,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-07,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.7,24.7,24.58,25.06,24.72,24.72,0.081,24.72,24.74,24.787,71336453.28,2877966.0,12959.0,0.0,211728.4,8572,197.0,2089729.92,84536,105,805797.84,32597,35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-10,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.94,24.94,24.8,25.64,25.52,25.52,3.236,25.5,25.52,25.281,106203167.36,4200968.0,17628.0,0.0,745381.78,29887,291.0,1123160.72,44011,109,376777.28,14764,63,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-11,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,25.64,25.64,25.52,27.76,25.96,25.96,1.724,25.96,25.98,26.504,300104976.22,11323138.0,44029.0,0.0,2385289.2,93030,484.0,1522424.2,58645,162,599779.84,23104,17,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-12,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,26.02,26.02,25.4,26.2,25.42,25.42,-2.08,25.4,25.42,25.737,37827993.5,1469770.0,7067.0,0.0,277789.52,10676,179.0,1711426.92,67326,212,760896.86,29933,73,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-17,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,25.0,25.0,24.2,25.34,24.84,24.84,-2.282,24.82,24.84,24.816,84650197.58,3411160.0,14895.0,0.0,1010325.0,40413,318.0,274879.44,11066,59,145463.04,5856,25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-18,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.92,24.92,24.36,25.16,24.36,24.36,-1.932,24.36,24.44,24.846,57031774.56,2295429.0,10622.0,0.0,188195.84,7552,217.0,877666.44,36029,126,40973.52,1682,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-20,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.36,24.36,23.64,25.36,24.6,24.6,0.985,24.58,24.6,24.213,55130725.2,2276876.0,11818.0,0.0,264963.72,10877,333.0,342604.2,13927,46,532442.4,21644,34,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-21,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.66,24.66,24.1,24.98,24.5,24.5,-0.407,24.42,24.5,24.538,39844808.32,1623771.0,8364.0,0.0,391033.62,15857,160.0,635383.0,25934,67,54341.0,2218,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-24,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.46,24.46,24.22,24.74,24.22,24.22,-1.143,24.22,24.28,24.508,31408507.8,1281563.0,7214.0,0.0,143702.5,5875,116.0,723814.7,29885,76,15936.76,658,13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-25,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.3,24.3,22.5,24.46,22.82,22.82,-5.78,22.82,22.9,23.618,35503108.62,1503228.0,10882.0,0.0,108110.7,4449,127.0,425045.32,18626,82,13418.16,588,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-26,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,22.96,22.96,22.32,24.38,23.72,23.72,3.944,23.7,23.72,23.564,61908131.6,2627223.0,15548.0,0.0,147954.24,6444,140.0,686029.84,28922,90,324110.08,13664,36,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-27,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.72,23.72,23.1,23.94,23.1,23.1,-2.614,23.1,23.2,23.543,21689854.16,921304.0,6676.0,0.0,213408.84,8997,106.0,434695.8,18818,60,20766.9,899,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-28,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.2,23.2,22.66,24.28,23.6,23.6,2.165,23.6,23.62,23.513,46034089.08,1957822.0,10816.0,0.0,150312.8,6479,88.0,309844.4,13129,52,77856.4,3299,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-31,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.62,23.62,23.62,24.3,24.04,24.04,1.864,24.02,24.04,23.999,32324887.98,1346918.0,8546.0,0.0,408318.94,17287,184.0,540635.56,22489,42,43079.68,1792,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-01,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.1,24.1,23.94,24.36,23.94,23.94,-0.416,23.94,23.96,24.108,37528413.42,1556693.0,7945.0,0.0,295514.2,12262,117.0,594645.66,24839,80,40650.12,1698,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-02,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.6,23.6,23.5,24.28,24.26,24.26,1.337,24.26,24.28,23.978,42989425.76,1792865.0,7445.0,0.0,155500.4,6589,65.0,588911.5,24275,102,162105.32,6682,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-03,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.3,24.3,23.52,24.5,23.86,23.86,-1.649,23.84,23.86,24.082,40256797.16,1671622.0,8052.0,0.0,320735.7,13199,138.0,274342.28,11498,57,195986.04,8214,31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-04,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,23.86,23.86,23.82,25.8,24.9,24.9,4.359,24.9,24.92,24.857,154658198.2,6221914.0,19244.0,0.0,233088.34,9769,97.0,1187904.3,47707,85,13819.5,555,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-07,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,24.92,24.92,24.92,27.12,26.38,26.38,5.944,26.36,26.38,26.121,157901587.04,6044936.0,21745.0,0.0,639571.8,25665,234.0,1088834.5,41275,114,267229.4,10130,41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-08,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,26.5,26.5,26.2,27.56,26.2,26.2,-0.682,26.2,26.24,27.057,164570113.16,6082294.0,21608.0,0.0,502228.0,18952,172.0,1681830.4,64192,109,254244.8,9704,26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-09,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,26.14,26.14,26.02,28.82,28.22,28.22,7.71,28.2,28.22,27.841,431618616.3,15714351.0,28123.0,0.0,435649.24,16666,75.0,2490019.92,88236,172,1450141.14,51387,63,0.0,0.0,0.0,0.0,0,0,26.6,26.7,26.664,133320000.0,5000000,6
2021-06-10,QUAGR,QUA GRANITE HAYAL YAPI,Z,MSPOT,MSPOTEQT,MSPOTEQTQUAGR,0,0,0,0,0,28.5,28.5,27.92,29.88,28.0,28.0,-0.78,27.98,28.0,28.879,233454032.78,8083751.0,29851.0,0.0,4246386.0,148996,299.0,2496340.0,89155,205,919100.0,32825,81,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
