TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2018-04-02,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.34,1.34,1.25,1.34,1.3,1.3,0.0,1.3,1.32,1.303,43623.43,33472.0,41.0,0.0,3430.4,2560,5.0,3729.7,2869,7,10400.0,8000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-03,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.35,1.35,1.35,1.39,1.39,1.39,6.923,1.38,1.39,1.377,46276.59,33617.0,58.0,0.0,35.1,26,3.0,1552.63,1117,4,230.74,166,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-04,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.36,1.36,1.35,1.36,1.35,1.35,-2.878,1.34,1.35,1.354,31635.88,23363.0,55.0,0.0,6827.2,5020,10.0,3075.3,2278,6,283.5,210,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-05,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.29,1.29,1.08,1.29,1.1,1.1,-18.519,1.1,1.11,1.094,189676.77,173315.0,99.0,0.0,8657.19,6711,15.0,13752.2,12502,9,1375.0,1250,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-06,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.14,1.14,1.11,1.14,1.13,1.13,2.727,1.13,1.14,1.124,82429.07,73324.0,85.0,0.0,4072.08,3572,7.0,17166.96,15192,12,5650.0,5000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-09,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.13,1.13,1.03,1.13,1.1,1.1,-2.655,1.09,1.1,1.112,79352.69,71387.0,67.0,0.0,233.91,207,4.0,2750.0,2500,4,17766.1,16151,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-10,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.2,1.2,1.19,1.21,1.19,1.19,8.182,0.0,0.0,1.2,109829.5,91525.0,90.0,0.0,9600.0,8000,9.0,5950.0,5000,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-11,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.19,1.19,1.11,1.19,1.11,1.11,-6.723,1.11,1.13,1.168,51608.61,44169.0,52.0,0.0,6518.82,5478,9.0,2612.94,2354,5,5550.0,5000,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-12,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.18,1.18,1.18,1.21,1.21,1.21,9.009,1.2,1.21,1.192,62328.34,52298.0,59.0,0.0,9463.6,8020,8.0,2421.21,2001,7,14741.43,12183,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-13,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.21,1.21,1.18,1.21,1.19,1.19,-1.653,1.18,1.19,1.188,89888.7,75674.0,39.0,0.0,3116.96,2576,6.0,8365.7,7030,6,17231.2,14480,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-16,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.18,1.18,1.17,1.19,1.19,1.19,0.0,1.19,1.2,1.185,51729.99,43669.0,21.0,0.0,10020.56,8492,6.0,27435.45,23055,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-17,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.2,1.2,1.1,1.2,1.1,0.0,-7.563,1.13,1.18,1.158,49032.84,42344.0,32.0,0.0,14413.2,12011,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-18,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.11,1.11,1.11,1.22,1.22,1.22,10.909,1.21,1.22,1.205,71954.32,59711.0,56.0,0.0,122.1,110,2.0,1146.8,940,2,3124.42,2561,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-19,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.35,1.35,1.27,1.35,1.29,1.29,5.738,1.27,1.29,1.331,95049.7,71434.0,63.0,0.0,67514.85,50011,13.0,2128.5,1650,9,1032.0,800,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-20,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.29,1.29,1.22,1.29,1.26,1.26,-2.326,1.25,1.26,1.269,49127.13,38713.0,32.0,0.0,13293.45,10305,4.0,6301.26,5001,5,1258.74,999,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-24,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.26,1.26,1.21,1.3,1.27,1.27,0.794,1.27,1.31,1.298,40750.78,31405.0,41.0,0.0,22.68,18,2.0,295.91,233,4,212.09,167,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-25,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.24,1.24,1.24,1.31,1.3,1.3,2.362,1.28,1.3,1.301,39831.5,30615.0,28.0,0.0,372.0,300,2.0,3250.0,2500,2,988.0,760,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-26,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.26,1.26,1.26,1.34,1.34,1.34,3.077,1.33,1.34,1.33,49722.68,37390.0,38.0,0.0,126.0,100,2.0,18571.06,13859,12,1340.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-27,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.27,1.27,1.27,1.35,1.35,1.35,0.746,1.35,1.36,1.34,36679.7,27375.0,28.0,0.0,1397.0,1100,5.0,7923.15,5869,2,2130.3,1578,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-04-30,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.38,1.38,1.27,1.4,1.27,1.27,-5.926,1.27,1.29,1.331,27685.47,20801.0,36.0,0.0,1407.6,1020,2.0,8129.27,6401,12,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-02,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.31,1.31,1.3,1.4,1.4,1.4,10.236,1.35,1.4,1.355,48605.45,35860.0,41.0,0.0,1034.9,790,3.0,4293.8,3067,6,1050.0,750,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-03,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.4,1.4,1.35,1.4,1.36,1.36,-2.857,1.36,1.38,1.394,50558.9,36279.0,55.0,0.0,17158.4,12256,12.0,306.0,225,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-04,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.36,1.36,1.34,1.4,1.4,1.4,2.941,1.39,1.4,1.387,47002.26,33892.0,34.0,0.0,1320.56,971,4.0,18200.0,13000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-07,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.49,1.49,1.49,1.49,1.49,1.49,6.429,1.45,1.49,1.49,27120.98,18202.0,53.0,0.0,4529.6,3040,6.0,3087.28,2072,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-08,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.49,1.49,1.4,1.49,1.4,1.4,-6.04,1.4,1.42,1.416,43550.42,30766.0,42.0,0.0,4531.09,3041,7.0,1400.0,1000,3,10911.6,7794,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-09,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.31,1.31,1.31,1.42,1.42,1.42,1.429,1.39,1.42,1.363,92370.16,67766.0,46.0,0.0,1310.0,1000,2.0,6560.4,4620,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-10,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.49,1.49,1.46,1.49,1.46,1.46,2.817,1.45,1.46,1.474,34264.46,23242.0,35.0,0.0,16404.9,11010,10.0,3328.8,2280,7,331.42,227,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-11,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.45,1.45,1.45,1.49,1.46,1.46,0.0,1.45,1.46,1.477,27858.59,18867.0,34.0,0.0,323.35,223,6.0,6156.82,4217,6,1090.62,747,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-14,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.38,1.38,1.38,1.5,1.5,1.5,2.74,1.49,1.5,1.471,76865.12,52259.0,30.0,0.0,2094.84,1518,5.0,7831.5,5221,5,44985.0,29990,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-15,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.45,1.45,1.45,1.5,1.48,1.48,-1.333,1.48,1.49,1.484,34745.36,23411.0,30.0,0.0,319.0,220,3.0,19795.0,13375,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-16,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.52,1.52,1.49,1.52,1.5,1.5,1.351,1.43,1.5,1.502,5749.6,3828.0,29.0,0.0,652.08,429,7.0,922.5,615,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-17,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.44,1.44,1.44,1.54,1.54,1.54,2.667,1.54,1.55,1.495,62222.88,41634.0,41.0,0.0,4320.0,3000,2.0,2251.48,1462,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-18,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.54,1.54,1.54,1.55,1.55,0.0,0.649,1.46,1.55,1.546,17465.0,11300.0,17.0,0.0,4620.0,3000,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-21,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.54,1.54,1.53,1.54,1.53,0.0,-1.29,1.44,1.53,1.539,22173.38,14407.0,18.0,0.0,158.62,103,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-22,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.53,1.53,1.5,1.53,1.53,1.53,0.0,1.51,1.53,1.51,10953.24,7255.0,17.0,0.0,33.66,22,1.0,1224.0,800,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-23,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.45,1.45,1.4,1.47,1.47,1.47,-3.922,1.47,1.5,1.432,33607.09,23463.0,28.0,0.0,3625.0,2500,3.0,2940.0,2000,1,367.5,250,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-24,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.5,1.5,1.5,1.52,1.5,1.5,2.041,1.45,1.5,1.503,62811.54,41788.0,42.0,0.0,1500.0,1000,1.0,6462.0,4308,5,14250.0,9500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-25,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.5,1.5,1.48,1.52,1.52,1.52,1.333,1.5,1.52,1.495,41515.66,27774.0,31.0,0.0,594.0,396,2.0,3040.0,2000,6,1.52,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-28,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.6,1.6,1.59,1.6,1.59,1.59,4.605,1.54,1.59,1.59,10797.51,6789.0,32.0,0.0,480.0,300,8.0,1219.53,767,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-29,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.59,1.59,1.54,1.59,1.54,1.54,-3.145,1.54,1.55,1.554,14094.14,9071.0,21.0,0.0,2361.15,1485,6.0,5536.3,3595,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-30,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.57,1.57,1.49,1.57,1.54,1.54,0.0,1.5,1.54,1.522,10013.21,6580.0,13.0,0.0,1570.0,1000,2.0,3752.98,2437,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-05-31,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.54,1.54,1.54,1.62,1.62,1.62,5.195,1.61,1.62,1.585,26688.98,16837.0,31.0,0.0,7.7,5,1.0,4856.76,2998,14,3.24,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-06-01,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.61,1.61,1.58,1.61,1.58,1.58,-2.469,1.56,1.58,1.6,16266.61,10164.0,18.0,0.0,5631.78,3498,4.0,3103.12,1964,4,3.16,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-06-04,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.56,1.56,1.54,1.56,1.54,1.54,-2.532,1.54,1.55,1.55,11339.79,7314.0,14.0,0.0,10.92,7,2.0,1540.0,1000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-06-05,RALYH,RAL YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTRALYH,0,0,0,0,0,1.54,1.54,1.46,1.54,1.46,1.46,-5.195,1.46,1.47,1.473,55478.87,37659.0,29.0,0.0,3.08,2,1.0,4515.78,3093,5,10084.22,6907,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
