TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,RAYSG,RAY SIGORTA AS,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.52,0.52,0.52,0.52,0.52,0.52,0.0,0.5,0.52,0.52,3493.36,6718.0,31.0,0.0,0.52,1,1.0,0.52,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,RAYSG,RAY SIGORTA AS,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.52,0.52,0.5,0.52,0.5,0.0,-3.846,0.49,0.5,0.511,1452.56,2841.0,14.0,0.0,833.56,1603,6.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,RAYSG,RAY SIGORTA AS,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.48,0.48,0.47,0.48,0.47,0.47,-6.0,0.46,0.47,0.471,3778.72,8028.0,22.0,0.0,50.88,106,6.0,1161.37,2471,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.48,0.48,0.46,0.48,0.47,0.47,0.0,0.46,0.47,0.463,874.9,1889.0,11.0,0.0,83.04,173,3.0,117.5,250,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.46,0.46,0.46,0.46,0.46,0.0,-2.128,0.46,0.47,0.46,3413.66,7421.0,17.0,0.0,3.22,7,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.47,0.47,0.46,0.47,0.46,0.0,0.0,0.46,0.47,0.462,958.7,2074.0,7.0,0.0,218.55,465,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.46,0.46,0.46,0.46,0.46,0.0,0.0,0.46,0.47,0.46,0.46,1.0,1.0,0.0,0.46,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.46,0.0,0.46,0.46,0.46,0.0,0.0,0.46,0.47,0.46,8635.12,18772.0,11.0,0.0,0.0,0,0.0,0.0,0,0,7357.7,15995,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.47,0.0,0.47,0.47,0.47,0.47,2.174,0.46,0.47,0.47,1422.22,3026.0,10.0,0.0,0.0,0,0.0,11.75,25,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,RAYSG,RAY SIGORTA,N,MSPOT,MSPOTEQT,MSPOTEQTRAYSG,0,0,0,0,0,0.47,0.0,0.46,0.47,0.46,0.0,-2.128,0.46,0.47,0.464,1187.23,2557.0,9.0,0.0,0.0,0,0.0,0.0,0,0,92.0,200,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
