TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SILVR,SILVERLINE ENDUSTRI & TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.92,0.92,0.91,0.94,0.93,0.93,0.0,0.92,0.93,0.921,64047.72,69506.0,466.0,0.0,116.84,127,4.0,944.88,1016,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,SILVR,SILVERLINE ENDUSTRI & TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.93,0.0,0.92,0.97,0.96,0.96,3.226,0.96,0.97,0.945,237592.94,251347.0,427.0,0.0,0.0,0,0.0,984.0,1025,2,2784.0,2900,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,SILVR,SILVERLINE ENDUSTRI & TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.97,0.97,0.94,1.0,0.94,0.94,-2.083,0.94,0.95,0.968,364776.89,376935.0,576.0,0.0,669.3,690,3.0,940.0,1000,4,940.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.95,0.0,0.93,0.95,0.94,0.94,0.0,0.93,0.94,0.939,180029.27,191662.0,194.0,0.0,0.0,0,0.0,22.56,24,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.94,0.0,0.91,0.94,0.93,0.93,-1.064,0.93,0.94,0.925,249505.68,269696.0,264.0,0.0,0.0,0,0.0,33.48,36,4,3942.27,4239,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.95,0.95,0.92,0.96,0.93,0.93,0.0,0.93,0.94,0.941,414062.55,440047.0,609.0,0.0,7623.75,8025,6.0,798.87,859,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.93,0.93,0.91,0.94,0.92,0.92,-1.075,0.91,0.92,0.915,295365.1,322736.0,227.0,0.0,480.81,517,5.0,11211.12,12186,20,920.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.92,0.92,0.9,0.94,0.91,0.91,-1.087,0.91,0.92,0.915,367331.33,401403.0,719.0,0.0,2835.44,3082,5.0,4317.95,4745,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.91,0.91,0.89,0.92,0.89,0.89,-2.198,0.89,0.9,0.905,123690.32,136634.0,228.0,0.0,2275.0,2500,1.0,1780.0,2000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.9,0.9,0.83,0.9,0.85,0.85,-4.494,0.84,0.85,0.852,221149.02,259526.0,212.0,0.0,4.5,5,1.0,4.25,5,1,850.0,1000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.81,0.87,0.83,0.83,-2.353,0.82,0.83,0.841,107234.53,127494.0,140.0,0.0,1581.85,1861,3.0,12.45,15,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.83,0.83,0.82,0.86,0.85,0.85,2.41,0.84,0.85,0.841,137461.86,163529.0,147.0,0.0,2249.3,2710,5.0,854.25,1005,3,6.8,8,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.83,0.86,0.84,0.84,-1.176,0.84,0.85,0.842,60979.57,72386.0,100.0,0.0,66.3,78,5.0,1344.84,1601,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.84,0.86,0.85,0.85,1.19,0.85,0.86,0.848,145501.7,171591.0,151.0,0.0,17331.5,20390,5.0,11060.2,13012,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.0,0.84,0.86,0.84,0.84,-1.176,0.84,0.85,0.842,99319.98,117964.0,76.0,0.0,0.0,0,0.0,8493.24,10111,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.84,0.84,0.84,0.86,0.86,0.86,2.381,0.85,0.86,0.852,62248.02,73087.0,66.0,0.0,12.6,15,2.0,2799.3,3255,4,299.28,348,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.85,0.86,0.86,0.86,0.0,0.85,0.86,0.852,76929.49,90279.0,76.0,0.0,850.0,1000,3.0,1745.8,2030,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.0,0.85,0.88,0.87,0.87,1.163,0.86,0.87,0.861,183627.75,213322.0,137.0,0.0,0.0,0,0.0,3480.0,4000,3,4.35,5,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.86,0.86,0.87,0.86,0.86,-1.149,0.86,0.87,0.865,67661.35,78184.0,158.0,0.0,6.02,7,2.0,8600.0,10000,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.0,0.86,0.89,0.89,0.89,3.488,0.88,0.89,0.875,215697.09,246405.0,210.0,0.0,0.0,0,0.0,5340.0,6000,6,10132.65,11385,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.89,0.89,0.88,0.89,0.88,0.88,-1.124,0.88,0.89,0.882,98367.6,111479.0,89.0,0.0,4792.65,5385,11.0,583.44,663,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.89,0.89,0.87,0.89,0.88,0.88,0.0,0.87,0.88,0.878,44641.68,50861.0,163.0,0.0,1006.59,1131,4.0,26.4,30,4,0.88,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.88,0.88,0.85,0.89,0.86,0.86,-2.273,0.86,0.87,0.862,200766.12,232921.0,142.0,0.0,1732.72,1969,2.0,6020.86,7001,6,10396.54,12089,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.86,0.85,0.87,0.86,0.86,0.0,0.85,0.86,0.858,121888.36,142004.0,101.0,0.0,1522.2,1770,2.0,873.76,1016,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.84,0.84,0.83,0.86,0.85,0.85,-1.163,0.84,0.85,0.842,89324.44,106114.0,92.0,0.0,2672.88,3182,7.0,17.0,20,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.83,0.9,0.86,0.0,1.176,0.85,0.86,0.861,407910.51,473562.0,1081.0,0.0,850.85,1001,4.0,0.0,0,0,86.0,100,1,0.85,0.86,0.853,6400.0,7500,90,0.0,0.0,0.0,0.0,0,0
2016-01-06,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.84,0.86,0.86,0.86,0.0,0.85,0.86,0.848,46520.42,54888.0,86.0,0.0,5185.0,6100,3.0,12.9,15,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.84,0.0,0.84,0.86,0.86,0.86,0.0,0.85,0.86,0.853,71684.18,84068.0,65.0,0.0,0.0,0,0.0,2631.6,3060,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.85,0.87,0.85,0.85,-1.163,0.85,0.86,0.857,45132.12,52661.0,40.0,0.0,59.5,70,4.0,2550.85,3001,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.85,0.87,0.86,0.86,1.176,0.85,0.86,0.861,80387.58,93386.0,89.0,0.0,2567.85,3021,5.0,215.0,250,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.86,0.85,0.87,0.86,0.86,0.0,0.85,0.86,0.856,53233.63,62171.0,62.0,0.0,2184.4,2540,5.0,12.9,15,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.85,0.87,0.86,0.86,0.0,0.86,0.87,0.859,37216.63,43323.0,78.0,0.0,0.85,1,1.0,8600.0,10000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-14,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.87,0.0,0.84,0.87,0.86,0.0,0.0,0.85,0.86,0.854,74945.76,87782.0,68.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-15,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.84,0.86,0.86,0.0,0.0,0.85,0.86,0.851,24756.48,29091.0,35.0,0.0,425.85,501,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-18,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.85,0.85,0.87,0.86,0.86,0.0,0.86,0.87,0.859,46609.72,54270.0,56.0,0.0,0.85,1,1.0,9554.6,11110,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-19,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.87,0.0,0.85,0.87,0.86,0.86,0.0,0.85,0.86,0.858,82802.96,96561.0,36.0,0.0,0.0,0,0.0,7039.1,8185,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.86,0.84,0.86,0.85,0.85,-1.163,0.84,0.85,0.85,78504.16,92361.0,182.0,0.0,0.86,1,1.0,55.25,65,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-21,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.85,0.0,0.83,0.85,0.84,0.84,-1.176,0.84,0.85,0.837,47836.16,57128.0,243.0,0.0,0.0,0,0.0,8.4,10,1,840.0,1000,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-22,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.84,0.84,0.84,0.86,0.85,0.85,1.19,0.85,0.86,0.85,47184.33,55525.0,93.0,0.0,0.84,1,1.0,8.5,10,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-25,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.0,0.85,0.86,0.86,0.86,1.176,0.85,0.86,0.859,17705.63,20611.0,24.0,0.0,0.0,0,0.0,12.9,15,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-26,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.86,0.84,0.87,0.87,0.0,1.163,0.85,0.86,0.855,17970.62,21014.0,67.0,0.0,6.88,8,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-27,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.87,0.87,0.85,0.87,0.86,0.86,-1.149,0.85,0.86,0.86,19495.06,22660.0,80.0,0.0,0.87,1,1.0,267.46,311,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-28,SILVR,SILVERLINE ENDUSTRI,N,MSPOT,MSPOTEQT,MSPOTEQTSILVR,0,0,0,0,0,0.86,0.0,0.86,0.88,0.87,0.87,1.163,0.86,0.87,0.869,97151.01,111752.0,197.0,0.0,0.0,0,0.0,21.75,25,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
