TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.54,1.54,1.5,1.55,1.55,1.55,0.0,1.54,1.55,1.522,1042574.68,684926.0,440.0,0.0,1.54,1,1.0,276010.05,178071,40,0.0,0,0,1.52,1.52,1.52,3040.0,2000,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.54,0.0,1.54,1.57,1.57,1.57,1.29,1.56,1.57,1.554,763385.22,491395.0,417.0,0.0,0.0,0,0.0,15070.43,9599,5,0.0,0,0,1.55,1.56,1.555,17105.0,11000,19,0.0,0.0,0.0,0.0,0,0
2015-12-02,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.58,1.58,1.54,1.58,1.56,1.56,-0.637,1.55,1.56,1.559,974571.65,624932.0,333.0,0.0,21405.84,13548,10.0,35259.12,22602,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.55,1.55,1.52,1.56,1.55,1.55,-0.641,1.54,1.55,1.544,513332.2,332557.0,266.0,0.0,7925.15,5113,5.0,26937.45,17379,10,0.0,0,0,1.55,1.55,1.55,3100.0,2000,1,0.0,0.0,0.0,0.0,0,0
2015-12-04,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.55,1.55,1.51,1.56,1.54,1.54,-0.645,1.52,1.54,1.537,923368.32,600841.0,379.0,0.0,8782.3,5666,5.0,42633.36,27684,17,0.0,0,0,1.53,1.56,1.555,94840.0,61000,30,0.0,0.0,0.0,0.0,0,0
2015-12-07,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.54,1.54,1.54,1.64,1.6,1.6,3.896,1.59,1.6,1.599,5098980.86,3187921.0,1189.0,0.0,52.36,34,2.0,41840.0,26150,11,62400.0,39000,5,1.55,1.64,1.602,254929.72,159152,92,0.0,0.0,0.0,0.0,0,0
2015-12-08,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.6,1.6,1.6,1.65,1.64,1.64,2.5,1.63,1.64,1.627,3791490.14,2330890.0,669.0,0.0,65200.0,40750,12.0,43561.68,26562,9,0.0,0,0,1.61,1.64,1.633,43763.0,26800,13,0.0,0.0,0.0,0.0,0,0
2015-12-09,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.65,1.65,1.65,1.74,1.67,1.67,1.829,1.67,1.68,1.693,5734377.96,3388097.0,1518.0,0.0,13980.45,8473,4.0,83080.83,49749,23,0.0,0,0,1.65,1.73,1.708,70951.5,41550,25,0.0,0.0,0.0,0.0,0,0
2015-12-10,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.68,1.68,1.59,1.69,1.6,1.6,-4.192,1.6,1.61,1.65,2649943.3,1606323.0,708.0,0.0,25201.68,15001,9.0,9158.4,5724,4,68800.0,43000,7,1.68,1.69,1.688,22836.36,13527,10,0.0,0.0,0.0,0.0,0,0
2015-12-11,SKBNK,SEKERBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTSKBNK,0,0,0,0,0,1.6,1.6,1.57,1.63,1.59,1.59,-0.625,1.58,1.59,1.59,1727671.89,1086288.0,410.0,0.0,4969.6,3106,6.0,45667.98,28722,10,294.15,185,1,1.62,1.63,1.625,8937.5,5500,5,0.0,0.0,0.0,0.0,0,0
