TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TCHOL,TACIRLER YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.0,0.0,1.0,1.01,1.01,0.0,0.0,1.01,1.04,1.0,351.01,351.0,3.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TCHOL,TACIRLER YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.03,0.0,1.03,1.03,1.03,0.0,1.98,1.0,1.03,1.03,10.3,10.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TCHOL,TACIRLER YATIRIM HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.01,0.0,1.01,1.01,1.01,1.01,-1.942,0.9,1.03,1.01,505.0,500.0,1.0,0.0,0.0,0,0.0,505.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,-0.99,0.81,1.01,1.0,500.0,500.0,1.0,0.0,0.0,0,0.0,500.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.02,0.0,1.02,1.02,1.02,0.0,2.0,0.99,1.02,1.02,1.02,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,-1.961,0.9,1.01,1.0,500.0,500.0,1.0,0.0,0.0,0,0.0,500.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.02,0.0,1.02,1.02,1.02,0.0,2.0,0.99,1.02,1.02,2.04,2.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,0.99,0.0,0.99,0.99,0.99,0.99,0.0,0.9,1.0,0.99,495.0,500.0,1.0,0.0,0.0,0,0.0,495.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.02,1.02,1.02,1.02,1.02,0.0,3.03,0.98,1.02,1.02,2.04,2.0,1.0,0.0,2.04,2,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.04,0.0,1.0,1.04,1.01,1.01,-0.98,0.85,1.04,1.005,1010.2,1005.0,3.0,0.0,0.0,0,0.0,505.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,TCHOL,TACIRLER YAT. HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTTCHOL,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,-0.99,1.0,1.01,1.0,356.0,356.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
