TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TEKST,ICBC Turkey Bank,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.45,0.0,2.43,2.46,2.46,2.46,0.0,2.45,2.46,2.441,268755.33,110116.0,83.0,0.0,0.0,0,0.0,2381.28,968,1,6150.0,2500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TEKST,ICBC Turkey Bank,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.47,2.47,2.45,2.5,2.49,2.49,1.22,2.48,2.49,2.472,1687983.33,682930.0,226.0,0.0,1235.0,500,1.0,6225.0,2500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TEKST,ICBC Turkey Bank,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.49,2.49,2.47,2.53,2.49,2.49,0.0,2.48,2.49,2.495,1698515.59,680663.0,303.0,0.0,6227.49,2501,2.0,12699.0,5100,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.5,0.0,2.44,2.5,2.45,2.45,-1.606,2.44,2.45,2.463,425112.03,172574.0,101.0,0.0,0.0,0,0.0,2450.0,1000,1,10471.3,4274,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.45,2.45,2.37,2.48,2.45,2.45,0.0,2.44,2.45,2.424,851824.82,351430.0,181.0,0.0,372.4,152,1.0,10106.25,4125,3,1225.0,500,3,2.47,2.47,2.47,98800.0,40000,2,0.0,0.0,0.0,0.0,0,0
2015-12-07,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.45,0.0,2.39,2.45,2.39,2.39,-2.449,2.39,2.41,2.408,824741.73,342545.0,179.0,0.0,0.0,0,0.0,15535.0,6500,6,41509.52,17368,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.41,0.0,2.36,2.42,2.38,2.38,-0.418,2.37,2.38,2.375,1195803.79,503522.0,126.0,0.0,0.0,0,0.0,4641.0,1950,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.39,0.0,2.33,2.4,2.4,2.4,0.84,2.39,2.4,2.362,769414.41,325755.0,203.0,0.0,0.0,0,0.0,17306.4,7211,3,8160.0,3400,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.41,0.0,2.32,2.43,2.33,2.33,-2.917,2.33,2.34,2.37,1548879.92,653490.0,252.0,0.0,0.0,0,0.0,36485.47,15659,7,9578.63,4111,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TEKST,ICBC TURKEY BANK,Z,MSPOT,MSPOTEQT,MSPOTEQTTEKST,0,0,0,0,0,2.37,0.0,2.24,2.38,2.33,2.33,0.0,2.3,2.33,2.292,930330.98,405896.0,238.0,0.0,0.0,0,0.0,60041.77,25769,15,14893.36,6392,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
