TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-09-15,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,15.25,15.25,15.25,15.25,15.25,15.25,0.0,15.25,0.0,15.25,823500.0,54000.0,695.0,0.0,103745.75,6803,73.0,15.25,1,1,1738.5,114,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-16,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,16.77,16.77,16.77,16.77,16.77,16.77,9.967,16.77,0.0,16.77,4390721.4,261820.0,1156.0,0.0,473635.11,28243,270.0,1475.76,88,2,1190.67,71,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-17,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,18.44,18.44,18.44,18.44,18.44,18.44,9.958,18.44,0.0,18.44,13342206.68,723547.0,5013.0,0.0,3954255.16,214439,1362.0,4573.12,248,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-20,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,20.28,20.28,17.94,20.28,17.94,17.94,-2.711,17.94,17.95,19.484,1526938817.27,78367496.0,229132.0,0.0,119838028.44,5909173,6769.0,11100949.08,618782,1802,6270819.36,349544,692,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-21,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,18.15,18.15,16.78,18.35,16.85,16.85,-6.076,16.85,16.86,17.319,646395492.75,37323398.0,111427.0,0.0,4084294.5,225030,993.0,2118567.35,125731,470,1427902.7,84742,204,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-22,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,16.93,16.93,16.88,18.2,17.3,17.3,2.671,17.3,17.31,17.487,473569287.34,27081529.0,71769.0,0.0,912273.05,53885,317.0,2637229.3,152441,203,435665.9,25183,49,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-23,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,17.45,17.45,16.55,17.5,16.55,16.55,-4.335,16.55,16.56,16.921,134963109.0,7975890.0,32679.0,0.0,1204870.15,69047,204.0,4565317.5,275850,820,1355180.2,81884,170,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-24,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,16.5,16.5,15.2,16.5,15.4,15.4,-6.949,15.4,15.41,15.789,165912087.36,10507751.0,53962.0,0.0,848133.0,51402,185.0,1841578.2,119583,303,1005527.6,65294,70,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-27,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,15.62,15.62,15.44,16.33,15.51,15.51,0.714,15.51,15.52,15.834,177226109.47,11192425.0,36051.0,0.0,1007568.1,64505,314.0,1700035.59,109609,144,693917.4,44740,37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-09-28,TEZOL,EUROPAP TEZOL KAGIT,Z,MSPOT,MSPOTEQT,MSPOTEQTTEZOL,0,0,0,0,0,15.63,15.63,14.81,15.77,14.9,14.9,-3.933,14.9,14.91,15.241,142409283.43,9343821.0,38217.0,0.0,887815.26,56802,165.0,1660858.3,111467,183,364170.9,24441,53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
