TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TGSAS,TGS DIS TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.25,0.0,4.21,4.3,4.21,0.0,0.0,4.22,4.24,4.229,167550.7,39620.0,208.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TGSAS,TGS DIS TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.21,4.21,4.21,4.29,4.27,4.27,1.425,4.26,4.27,4.235,287802.24,67966.0,216.0,0.0,4210.0,1000,1.0,8544.27,2001,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TGSAS,TGS DIS TICARET AS,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.39,4.39,4.14,4.5,4.3,4.3,0.703,4.3,4.32,4.356,1319372.46,302918.0,1017.0,0.0,43900.0,10000,18.0,8268.9,1923,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.31,0.0,4.26,4.37,4.27,4.27,-0.698,4.27,4.28,4.305,403498.35,93718.0,337.0,0.0,0.0,0,0.0,5978.0,1400,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.28,0.0,4.1,4.34,4.26,4.26,-0.234,4.26,4.3,4.234,474500.31,112081.0,449.0,0.0,0.0,0,0.0,2854.2,670,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.27,4.27,4.2,4.39,4.26,4.26,0.0,4.24,4.26,4.259,230613.09,54141.0,254.0,0.0,427.0,100,2.0,127.8,30,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.24,4.24,4.19,4.3,4.19,4.19,-1.643,4.19,4.2,4.212,164957.33,39168.0,213.0,0.0,424.0,100,6.0,6758.47,1613,8,209.5,50,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.19,4.19,4.01,4.2,4.13,4.13,-1.432,4.11,4.13,4.105,331031.53,80646.0,405.0,0.0,2220.7,530,3.0,28.91,7,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.13,4.13,4.07,4.23,4.09,0.0,-0.969,4.08,4.09,4.135,291759.29,70554.0,298.0,0.0,74.34,18,2.0,0.0,0,0,2045.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TGSAS,TGS DIS TICARET,N,MSPOT,MSPOTEQT,MSPOTEQTTGSAS,0,0,0,0,0,4.01,4.01,3.81,4.12,3.84,3.84,-6.112,3.84,3.87,3.952,529481.45,133989.0,347.0,0.0,802.0,200,4.0,4776.96,1244,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
