TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TKURU,TAZE KURU GIDA SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.14,0.0,8.14,8.14,8.14,0.0,0.0,8.1,8.14,8.14,407.0,50.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TKURU,TAZE KURU GIDA SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TKURU,TAZE KURU GIDA SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.12,0.0,8.12,8.15,8.15,0.0,0.0,8.12,8.15,8.135,1285.35,158.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.12,0.0,8.12,8.15,8.15,0.0,0.0,8.14,8.15,8.139,870.87,107.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.15,0.0,8.15,8.15,8.15,0.0,0.0,8.12,8.15,8.15,407.5,50.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.15,0.0,8.15,8.15,8.15,0.0,0.0,8.12,8.15,8.15,65.2,8.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.12,0.0,8.12,8.15,8.15,0.0,0.0,8.11,8.15,8.121,1624.24,200.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.11,0.0,8.06,9.78,8.06,0.0,-1.104,8.06,8.11,8.124,15499.91,1908.0,23.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.1,0.0,8.1,8.17,8.17,0.0,1.365,8.13,8.17,8.133,20754.75,2552.0,21.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.14,0.0,8.12,8.36,8.34,0.0,2.081,8.26,8.34,8.228,34276.06,4166.0,26.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.15,0.0,8.15,8.3,8.3,0.0,-0.48,8.3,8.31,8.236,36190.05,4394.0,38.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.28,0.0,8.16,8.35,8.3,0.0,0.0,8.3,8.35,8.242,23160.82,2810.0,29.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.3,0.0,8.23,8.38,8.35,0.0,0.602,8.35,8.36,8.303,11507.91,1386.0,24.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,TKURU,TAZE KURU GIDA,G,MSPOT,MSPOTEQT,MSPOTEQTTKURU,1,0,0,0,0,8.32,0.0,8.32,8.4,8.4,0.0,0.599,8.38,8.4,8.368,16191.35,1935.0,18.0,0.0,0.0,0,0.0,0.0,0,0,8.4,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
