TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2018-01-24,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,18.0,18.0,17.45,18.6,18.6,18.6,0.0,18.6,0.0,18.326,72139045.72,3936479.0,8038.0,0.0,17011584.0,945088,1075.0,3720.0,200,2,0.0,0,0,17.98,18.6,18.162,154502.15,8507,18,0.0,0.0,0.0,0.0,0,0
2018-01-25,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,20.14,20.14,20.02,21.86,21.0,21.0,12.903,21.0,21.02,21.077,280176812.3,13293082.0,50582.0,0.0,10447584.72,518748,916.0,1570800.0,74800,150,209685.0,9985,14,20.28,21.84,21.218,8752528.2,412497,977,0.0,0.0,0.0,0.0,0,0
2018-01-26,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,21.1,21.1,18.66,21.18,18.75,18.75,-10.714,18.75,18.79,19.451,128963790.22,6630253.0,31230.0,0.0,996637.4,47234,137.0,1399556.25,74643,177,396862.5,21166,35,18.81,21.1,19.842,2895020.75,145904,659,0.0,0.0,0.0,0.0,0,0
2018-01-29,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,18.83,18.83,17.53,19.15,17.98,17.98,-4.107,17.97,17.98,18.031,99845778.16,5537594.0,23392.0,0.0,570511.34,30298,106.0,457608.98,25451,100,443782.36,24682,41,17.57,18.89,18.221,615196.98,33763,140,0.0,0.0,0.0,0.0,0,0
2018-01-30,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,17.82,17.82,16.84,17.94,16.86,16.86,-6.229,16.86,16.87,17.41,41188732.87,2365818.0,12542.0,0.0,183047.04,10272,58.0,395721.06,23471,99,148755.78,8823,33,16.88,17.9,17.28,515386.37,29825,62,0.0,0.0,0.0,0.0,0,0
2018-01-31,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,16.7,16.7,16.24,17.15,16.34,16.34,-3.084,16.34,16.35,16.635,39895553.46,2398330.0,13705.0,0.0,284016.9,17007,101.0,245900.66,15049,49,136929.2,8380,27,16.39,17.11,16.904,203022.15,12010,55,0.0,0.0,0.0,0.0,0,0
2018-02-01,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,16.37,16.37,16.32,16.92,16.46,16.46,0.734,16.45,16.46,16.597,42225416.53,2544189.0,11435.0,0.0,30579.16,1868,21.0,357906.24,21744,43,159530.32,9692,14,16.49,16.88,16.658,386168.68,23182,59,0.0,0.0,0.0,0.0,0,0
2018-02-02,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,16.5,16.5,16.08,16.65,16.09,16.09,-2.248,16.09,16.1,16.294,18432271.68,1131219.0,6598.0,0.0,86608.5,5249,30.0,247576.83,15387,73,67240.11,4179,25,16.19,16.5,16.417,126720.5,7719,36,0.0,0.0,0.0,0.0,0,0
2018-02-05,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,16.13,16.13,15.8,16.85,16.09,16.09,0.0,16.09,16.1,16.338,44005745.51,2693385.0,12127.0,0.0,90747.38,5626,34.0,336731.52,20928,50,127577.61,7929,25,15.9,16.72,16.422,527088.39,32097,164,0.0,0.0,0.0,0.0,0,0
2018-02-06,TLMAN,TRABZON LIMAN,N,MSPOT,MSPOTEQT,MSPOTEQTTLMAN,0,0,0,0,0,15.71,15.71,15.63,16.09,15.77,15.77,-1.989,15.77,15.78,15.862,22396362.06,1411978.0,6741.0,0.0,186603.38,11878,127.0,232181.71,14723,50,71974.28,4564,6,15.71,16.06,16.02,869504.75,54275,181,0.0,0.0,0.0,0.0,0,0
