TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TOASO,TOFAS TURK OTOMOTIV FABRIKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,19.35,19.35,19.12,19.68,19.23,19.23,0.0,19.21,19.23,19.393,21859005.54,1127171.0,1958.0,0.0,8146.35,421,3.0,5796306.6,301420,73,328544.55,17085,7,19.15,19.68,19.469,6729117.91,345636,346,0.0,0.0,0.0,0.0,0,0
2015-12-01,TOASO,TOFAS TURK OTOMOTIV FABRIKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,19.27,19.27,19.17,20.04,20.04,20.04,4.212,19.93,20.04,19.692,16485977.36,837199.0,1877.0,0.0,46633.4,2420,7.0,1323381.48,66037,75,0.0,0,0,19.17,20.04,19.624,3597372.83,183311,230,0.0,0.0,0.0,0.0,0,0
2015-12-02,TOASO,TOFAS TURK OTOMOTIV FABRIKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,20.04,20.04,19.57,20.12,19.71,19.71,-1.647,19.7,19.71,19.87,16469141.18,828847.0,1930.0,0.0,36352.56,1814,13.0,410303.07,20817,17,11845.71,601,4,19.59,20.1,19.903,1784528.25,89663,176,0.0,0.0,0.0,0.0,0,0
2015-12-03,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,19.9,19.9,19.83,20.5,20.48,20.48,3.907,20.48,20.5,20.291,42564954.01,2097709.0,2237.0,0.0,133091.2,6688,19.0,588636.16,28742,14,94822.4,4630,7,19.9,20.5,20.306,8207191.79,404166,436,0.0,0.0,0.0,0.0,0,0
2015-12-04,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,20.5,20.5,19.6,20.5,19.92,19.92,-2.734,19.92,19.94,19.971,15955961.97,798956.0,2062.0,0.0,26670.5,1301,7.0,416268.24,20897,24,191152.32,9596,5,19.7,20.44,20.107,1159183.99,57650,84,0.0,0.0,0.0,0.0,0,0
2015-12-07,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,20.0,20.0,19.47,20.0,19.5,19.5,-2.108,19.49,19.5,19.691,23138867.47,1175096.0,1866.0,0.0,6580.0,329,6.0,322588.5,16543,29,141492.0,7256,12,19.47,20.0,19.688,8747219.47,444281,373,0.0,0.0,0.0,0.0,0,0
2015-12-08,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,19.38,19.38,18.76,19.46,18.91,18.91,-3.026,18.9,18.91,18.987,24665297.68,1299096.0,3638.0,0.0,11492.34,593,13.0,355791.65,18815,40,25717.6,1360,7,18.77,19.4,18.986,7038007.85,370696,327,0.0,0.0,0.0,0.0,0,0
2015-12-09,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,18.91,18.91,18.82,19.33,19.15,19.15,1.269,19.15,19.19,19.108,23622834.12,1236267.0,2496.0,0.0,51359.56,2716,13.0,820711.55,42857,42,32248.6,1684,2,18.88,19.3,19.101,3399792.11,177991,212,0.0,0.0,0.0,0.0,0,0
2015-12-10,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,19.25,19.25,18.46,19.3,18.54,18.54,-3.185,18.54,18.55,18.961,36296782.56,1914295.0,2515.0,0.0,38904.25,2021,6.0,573497.82,30933,31,20208.6,1090,2,18.47,19.28,19.012,19211623.66,1010525,301,0.0,0.0,0.0,0.0,0,0
2015-12-11,TOASO,TOFAS OTO. FAB.,Z,MSPOT,MSPOTEQT,MSPOTEQTTOASO,0,1,1,0,0,18.74,18.74,18.2,18.74,18.41,18.41,-0.701,18.41,18.55,18.458,16790000.93,909649.0,3156.0,0.0,34106.8,1820,12.0,550238.08,29888,37,0.0,0,0,18.21,18.71,18.442,2616361.01,141873,256,0.0,0.0,0.0,0.0,0,0
