TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TTKOM,TURK TELEKOMUNIKASYON AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.9,5.9,5.89,6.01,6.0,6.0,0.0,5.99,6.0,5.962,18248616.48,3060760.0,2382.0,0.0,8708.4,1476,7.0,6724554.0,1120759,133,172332.0,28722,3,5.9,6.0,5.948,648923.98,109104,94,0.0,0.0,0.0,0.0,0,0
2015-12-01,TTKOM,TURK TELEKOMUNIKASYON AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,6.04,6.04,5.89,6.04,5.94,5.94,-1.0,5.94,5.97,5.953,25299862.05,4249997.0,2566.0,0.0,22203.04,3676,14.0,1636048.26,275429,81,106201.26,17879,9,5.89,6.04,5.948,1120346.01,188354,111,0.0,0.0,0.0,0.0,0,0
2015-12-02,TTKOM,TURK TELEKOMUNIKASYON AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.99,5.99,5.84,6.0,5.85,5.85,-1.515,5.85,5.86,5.946,27916630.94,4694751.0,2825.0,0.0,87987.11,14689,22.0,664794.0,113640,46,50935.95,8707,6,5.86,6.0,5.946,552901.84,92984,109,0.0,0.0,0.0,0.0,0,0
2015-12-03,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.88,5.88,5.74,5.92,5.74,5.74,-1.88,5.74,5.75,5.822,16789455.17,2883556.0,2994.0,0.0,9061.08,1541,7.0,505837.5,88125,65,274096.48,47752,33,5.74,5.91,5.856,1183512.85,202101,115,0.0,0.0,0.0,0.0,0,0
2015-12-04,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.78,5.78,5.65,5.78,5.7,5.7,-0.697,5.69,5.7,5.709,19501864.99,3415749.0,2557.0,0.0,240511.58,41611,22.0,571903.8,100334,40,38024.7,6671,8,5.65,5.77,5.713,1573657.1,275457,242,0.0,0.0,0.0,0.0,0,0
2015-12-07,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.71,5.71,5.61,5.71,5.62,5.62,-1.404,5.62,5.63,5.642,14462311.09,2563182.0,1740.0,0.0,7223.15,1265,12.0,540936.24,96252,45,261330.0,46500,25,5.63,5.71,5.644,1137774.41,201589,135,0.0,0.0,0.0,0.0,0,0
2015-12-08,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.61,5.61,5.54,5.69,5.54,5.54,-1.423,5.54,5.55,5.619,16751007.72,2981195.0,1846.0,0.0,75297.42,13422,30.0,1178662.7,212755,54,17506.4,3160,2,5.55,5.68,5.636,818837.41,145289,111,0.0,0.0,0.0,0.0,0,0
2015-12-09,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.57,5.57,5.55,5.73,5.68,5.68,2.527,5.68,5.7,5.629,15083830.98,2679521.0,1542.0,0.0,16576.32,2976,10.0,759762.48,133761,31,29479.2,5190,2,5.55,5.71,5.624,1072442.11,190675,89,0.0,0.0,0.0,0.0,0,0
2015-12-10,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.69,5.69,5.48,5.77,5.53,5.53,-2.641,5.53,5.54,5.636,19813407.55,3515608.0,2407.0,0.0,24620.63,4327,12.0,1360767.1,246070,43,68572.0,12400,4,5.53,5.76,5.656,1022519.32,180798,120,0.0,0.0,0.0,0.0,0,0
2015-12-11,TTKOM,TURK TELEKOM,Z,MSPOT,MSPOTEQT,MSPOTEQTTTKOM,0,1,1,0,0,5.53,5.53,5.4,5.55,5.42,5.42,-1.989,5.42,5.43,5.455,17505041.8,3209165.0,2593.0,0.0,3904.18,706,11.0,1291629.36,238308,51,199336.76,36778,13,5.4,5.55,5.469,2402732.63,439338,414,0.0,0.0,0.0,0.0,0,0
