TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TUCLK,TUGCELIK ALEMINYUM METAL SAN,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.31,2.31,2.31,2.85,2.64,2.64,0.0,2.64,2.65,2.682,3864132.07,1440544.0,3469.0,0.0,18660.18,8078,23.0,13329.36,5049,14,7331.28,2777,4,2.68,2.83,2.779,80257.16,28875,56,0.0,0.0,0.0,0.0,0,0
2015-12-01,TUCLK,TUGCELIK ALEMINYUM METAL SAN,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.71,2.71,2.5,2.71,2.55,2.55,-3.409,2.55,2.56,2.56,3693501.81,1442638.0,3095.0,0.0,11606.93,4283,18.0,19380.0,7600,15,16702.5,6550,12,2.54,2.71,2.566,92490.27,36038,90,0.0,0.0,0.0,0.0,0,0
2015-12-02,TUCLK,TUGCELIK ALEMINYUM METAL SAN,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.56,2.56,2.41,2.59,2.42,2.42,-5.098,2.42,2.43,2.485,2772628.36,1115961.0,2596.0,0.0,1710.08,668,7.0,21651.74,8947,18,1210.0,500,1,2.44,2.54,2.491,38164.78,15318,31,0.0,0.0,0.0,0.0,0,0
2015-12-03,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.43,2.43,2.34,2.9,2.9,2.9,19.835,2.9,0.0,2.753,14602076.68,5304694.0,7144.0,0.0,16524.0,6800,3.0,14500.0,5000,10,0.0,0,0,2.38,2.9,2.76,1667425.3,604037,450,0.0,0.0,0.0,0.0,0,0
2015-12-04,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.97,2.97,2.97,3.39,3.2,3.2,10.345,3.2,3.21,3.193,31264008.84,9790421.0,14755.0,0.0,94475.7,31810,62.0,301286.4,94152,105,94342.4,29482,41,3.05,3.39,3.219,2694951.32,837123,824,0.0,0.0,0.0,0.0,0,0
2015-12-07,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,3.24,3.24,3.03,3.28,3.11,3.11,-2.813,3.1,3.11,3.12,7586799.66,2431778.0,4574.0,0.0,48713.4,15035,33.0,114348.48,36768,40,62203.11,20001,5,3.04,3.28,3.175,877589.18,276392,307,0.0,0.0,0.0,0.0,0,0
2015-12-08,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,3.12,3.12,2.81,3.12,2.83,2.83,-9.003,2.83,2.84,2.936,6157848.87,2097422.0,3654.0,0.0,2012.4,645,5.0,53232.3,18810,22,11336.98,4006,4,2.83,3.09,3.044,298630.93,98101,91,0.0,0.0,0.0,0.0,0,0
2015-12-09,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.84,2.84,2.64,3.09,2.94,2.94,3.887,2.94,2.95,2.923,8979103.04,3072020.0,5941.0,0.0,3337.0,1175,7.0,77660.1,26415,25,735.0,250,1,2.66,3.08,2.938,1020217.53,347235,484,0.0,0.0,0.0,0.0,0,0
2015-12-10,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.96,2.96,2.77,3.04,2.79,2.79,-5.102,2.79,2.8,2.869,3404296.77,1186536.0,2916.0,0.0,62.16,21,4.0,64449.0,23100,16,11857.5,4250,4,2.82,3.02,2.928,74496.29,25445,27,0.0,0.0,0.0,0.0,0,0
2015-12-11,TUCLK,TUGCELIK,N,MSPOT,MSPOTEQT,MSPOTEQTTUCLK,0,0,0,0,0,2.75,2.75,2.62,2.9,2.75,2.75,-1.434,2.74,2.75,2.742,3771200.23,1375161.0,3537.0,0.0,4936.25,1795,12.0,21815.75,7933,18,25025.0,9100,12,2.65,2.89,2.775,30608.73,11029,39,0.0,0.0,0.0,0.0,0,0
