TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TUPRS,TUPRS TURKIYE PETROL AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,73.05,73.05,71.8,73.85,71.95,71.95,0.0,71.95,72.0,72.714,93864857.15,1290505.0,3780.0,0.0,90508.95,1239,20.0,25871924.9,359582,160,107421.35,1493,9,72.1,73.6,73.222,3489485.8,47656,98,73.1,73.1,73.1,5209032.9,71259,1
2015-12-01,TUPRS,TUPRS TURKIYE PETROL AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,72.05,72.05,72.05,73.6,73.2,73.2,1.737,73.15,73.2,73.138,92780942.35,1268575.0,3958.0,0.0,195615.75,2715,15.0,3192178.8,43609,53,73.2,1,1,72.55,73.55,73.141,6642993.45,90824,362,0.0,0.0,0.0,0.0,0,0
2015-12-02,TUPRS,TUPRS TURKIYE PETROL AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,73.85,73.85,72.45,73.95,72.65,72.65,-0.751,72.65,72.7,73.426,100747342.3,1372098.0,4058.0,0.0,209217.05,2833,36.0,1467239.4,20196,34,38867.75,535,8,72.45,73.9,73.085,8843827.85,121007,457,0.0,0.0,0.0,0.0,0,0
2015-12-03,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,72.8,72.8,70.2,73.5,70.2,70.2,-3.372,70.2,70.35,71.86,119505464.4,1663037.0,5640.0,0.0,170133.6,2337,13.0,2594381.4,36957,118,1077640.2,15351,37,70.2,73.45,72.249,7735184.95,107063,348,0.0,0.0,0.0,0.0,0,0
2015-12-04,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,70.65,70.65,67.3,71.0,68.85,68.85,-1.923,68.85,68.9,68.65,174144214.75,2536772.0,8686.0,0.0,178815.15,2531,26.0,2322103.95,33727,60,35802.0,520,4,67.4,71.0,68.566,13764679.9,200750,568,68.6,68.6,68.6,5651542.4,82384,1
2015-12-07,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,69.1,69.1,67.95,70.25,69.8,69.8,1.38,69.75,69.8,69.239,73371575.95,1059577.0,4523.0,0.0,125623.8,1818,23.0,1353631.4,19393,45,37063.8,531,3,68.0,70.2,69.184,7831724.5,113202,537,69.35,69.35,69.35,4507750.0,65000,1
2015-12-08,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,69.8,69.8,69.05,70.3,69.5,69.5,-0.43,69.5,69.65,69.894,82687689.05,1183037.0,3998.0,0.0,152303.6,2182,23.0,2250479.5,32381,35,23630.0,340,5,69.1,70.25,69.929,11971042.9,171189,411,0.0,0.0,0.0,0.0,0,0
2015-12-09,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,70.1,70.1,68.1,70.65,70.55,70.55,1.511,70.55,70.65,69.865,136137148.85,1948578.0,5157.0,0.0,639031.6,9116,31.0,2013708.65,28543,35,2001574.05,28371,10,68.35,70.5,69.857,7299890.5,104497,284,0.0,0.0,0.0,0.0,0,0
2015-12-10,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,70.55,70.55,69.3,72.1,69.75,69.75,-1.134,69.75,69.8,70.832,121708849.9,1718480.0,5440.0,0.0,244244.1,3462,22.0,3448579.5,49442,48,70029.0,1004,2,69.7,72.1,70.538,8722555.9,123658,443,70.55,70.55,70.55,3527500.0,50000,1
2015-12-11,TUPRS,TUPRAS,Z,MSPOT,MSPOTEQT,MSPOTEQTTUPRS,0,1,1,0,0,69.75,69.75,67.9,70.0,68.75,68.75,-1.434,68.7,68.75,68.881,90882082.45,1318956.0,4614.0,0.0,183512.25,2631,24.0,3545025.0,51564,50,297756.25,4331,6,67.95,70.0,69.028,17177471.6,248847,851,69.5,69.5,69.5,3475000.0,50000,1
