TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ULAS,ULASLAR TUR YAT DAY TUK MALLARI,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,1,0,3.97,0.0,3.23,3.97,3.42,3.42,0.0,3.3,3.42,3.362,41211.99,12259.0,83.0,0.0,0.0,0,0.0,23.94,7,1,6.84,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ULAS,ULASLAR TUR YAT DAY TUK MALLARI,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,3.25,3.25,2.93,3.4,3.14,3.14,-8.187,3.13,3.14,3.198,162927.63,50939.0,477.0,0.0,1625.0,500,3.0,6251.74,1991,1,15.7,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ULAS,ULASLAR TUR YAT DAY TUK MALLARI,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,3.1,3.1,2.85,3.18,3.0,0.0,-4.459,2.96,2.99,2.996,284372.67,94932.0,488.0,0.0,759.5,245,6.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,3.0,0.0,2.87,3.09,2.98,2.98,-0.667,2.96,2.98,2.974,147337.78,49544.0,481.0,0.0,0.0,0,0.0,26.82,9,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,3.0,0.0,2.39,3.0,2.39,2.39,-19.799,0.0,2.39,2.514,1219709.22,485106.0,1133.0,0.0,0.0,0,0.0,121.89,51,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.1,2.1,2.0,2.46,2.43,2.43,1.674,2.4,2.43,2.327,528368.99,227081.0,1176.0,0.0,21588.0,10280,16.0,2566.08,1056,6,53.46,22,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.43,2.43,2.36,2.54,2.44,2.44,0.412,2.43,2.44,2.442,329176.13,134774.0,820.0,0.0,2.43,1,1.0,861.32,353,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.45,2.45,2.33,2.47,2.4,2.4,-1.639,2.4,2.41,2.401,208577.67,86862.0,448.0,0.0,1964.9,802,6.0,268.8,112,5,722.4,301,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.33,2.33,2.28,2.45,2.36,0.0,-1.667,2.35,2.36,2.346,124489.86,53056.0,160.0,0.0,233.0,100,2.0,0.0,0,0,2.36,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.38,0.0,2.25,2.44,2.33,2.33,-1.271,2.25,2.33,2.35,170621.42,72602.0,850.0,0.0,0.0,0,0.0,4837.08,2076,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.32,2.32,2.27,2.44,2.31,2.31,-0.858,2.31,2.32,2.328,114143.47,49039.0,268.0,0.0,4.64,2,1.0,1519.98,658,4,1711.71,741,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.31,0.0,2.26,2.38,2.34,2.34,1.299,2.33,2.34,2.315,124233.76,53674.0,600.0,0.0,0.0,0,0.0,9495.72,4058,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.34,0.0,2.29,2.42,2.4,2.4,2.564,2.33,2.4,2.351,75502.42,32113.0,196.0,0.0,0.0,0,0.0,4800.0,2000,6,1200.0,500,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.44,2.44,2.31,2.56,2.56,2.56,6.667,2.43,2.56,2.399,176687.73,73657.0,291.0,0.0,2.44,1,1.0,8678.4,3390,9,1280.0,500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,ULAS,ULASLAR TURIZM YAT.,N,MSPOT,MSPOTEQT,MSPOTEQTULAS,1,0,0,0,0,2.56,2.56,2.52,2.65,2.54,2.54,-0.781,2.54,2.57,2.578,267583.01,103794.0,675.0,0.0,2.56,1,1.0,50.8,20,2,711.2,280,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
