TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ULKER,ULKER BISKUVI SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.9,18.9,18.7,19.09,18.81,18.81,0.0,18.81,18.86,18.89,11204917.53,593157.0,2031.0,0.0,39123.0,2070,7.0,4020787.98,213758,59,5473.71,291,3,18.87,19.04,18.921,649957.04,34352,65,0.0,0.0,0.0,0.0,0,0
2015-12-01,ULKER,ULKER BISKUVI SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.9,18.9,18.8,19.02,19.02,19.02,1.116,18.96,19.02,18.905,7784956.95,411787.0,1170.0,0.0,52920.0,2800,11.0,718537.56,37778,61,0.0,0,0,18.84,18.94,18.903,351465.85,18593,40,0.0,0.0,0.0,0.0,0,0
2015-12-02,ULKER,ULKER BISKUVI SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,19.06,19.06,19.06,19.7,19.36,19.36,1.788,19.33,19.36,19.329,10726154.36,554920.0,1669.0,0.0,41817.64,2194,11.0,85609.92,4422,13,1897.28,98,1,19.11,19.57,19.275,1913994.29,99299,89,0.0,0.0,0.0,0.0,0,0
2015-12-03,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,19.41,19.41,19.14,19.47,19.14,19.14,-1.136,19.13,19.14,19.294,5205301.42,269788.0,862.0,0.0,95943.63,4943,3.0,313723.74,16391,25,5359.2,280,1,19.19,19.47,19.323,667633.92,34552,106,0.0,0.0,0.0,0.0,0,0
2015-12-04,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,19.24,19.24,18.52,19.31,18.84,18.84,-1.567,18.8,18.84,18.837,22590966.52,1198603.0,2813.0,0.0,66762.8,3470,7.0,2113245.12,112168,21,18840.0,1000,1,18.55,19.31,18.757,1604045.25,85515,90,18.9,18.9,18.9,3919973.4,207406,1
2015-12-07,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.84,18.84,18.33,18.94,18.76,18.76,-0.425,18.74,18.76,18.707,20380018.18,1089448.0,1694.0,0.0,40261.08,2137,11.0,183397.76,9776,13,0.0,0,0,18.35,18.89,18.746,9221564.97,491912,184,0.0,0.0,0.0,0.0,0,0
2015-12-08,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.74,18.74,18.46,18.76,18.65,18.65,-0.586,18.65,18.67,18.596,6686415.9,359559.0,837.0,0.0,10213.3,545,7.0,416044.2,22308,21,28012.3,1502,2,18.46,18.67,18.533,353966.52,19099,44,0.0,0.0,0.0,0.0,0,0
2015-12-09,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.65,18.65,18.5,18.9,18.76,18.76,0.59,18.76,18.79,18.689,7318612.88,391608.0,916.0,0.0,2611.0,140,5.0,302617.56,16131,21,17559.36,936,1,18.51,18.72,18.633,410485.82,22030,36,0.0,0.0,0.0,0.0,0,0
2015-12-10,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.76,18.76,18.0,18.99,18.09,18.09,-3.571,18.09,18.1,18.359,10152617.59,553011.0,1441.0,0.0,29640.8,1580,8.0,439641.27,24303,23,167820.93,9277,5,18.09,18.37,18.17,344676.82,18970,22,0.0,0.0,0.0,0.0,0,0
2015-12-11,ULKER,ULKER BISKUVI,Z,MSPOT,MSPOTEQT,MSPOTEQTULKER,0,1,1,0,0,18.1,18.1,17.83,18.6,17.95,17.95,-0.774,17.95,18.0,18.163,18628494.9,1025648.0,2260.0,0.0,9774.0,540,8.0,508756.85,28343,30,80739.1,4498,5,17.91,18.59,18.16,6038010.98,332489,180,0.0,0.0,0.0,0.0,0,0
