TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,VAKFN,VAKIF FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.13,0.0,1.13,1.15,1.14,1.14,0.0,1.13,1.14,1.136,26558.64,23370.0,43.0,0.0,0.0,0,0.0,114.0,100,1,3.42,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,VAKFN,VAKIF FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.14,0.0,1.14,1.16,1.16,1.16,1.754,1.15,1.16,1.146,111714.56,97454.0,70.0,0.0,0.0,0,0.0,232.0,200,2,5.8,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,VAKFN,VAKIF FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.16,1.16,1.15,1.18,1.16,1.16,0.0,1.15,1.16,1.163,164559.93,141444.0,67.0,0.0,1624.0,1400,2.0,348.0,300,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.16,0.0,1.14,1.16,1.16,1.16,0.0,1.14,1.16,1.149,52731.03,45910.0,42.0,0.0,0.0,0,0.0,1276.0,1100,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.15,0.0,1.12,1.15,1.14,1.14,-1.724,1.13,1.14,1.128,93283.94,82701.0,59.0,0.0,0.0,0,0.0,214.32,188,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.14,0.0,1.09,1.15,1.15,1.15,0.877,1.14,1.15,1.125,103712.6,92166.0,74.0,0.0,0.0,0,0.0,57.5,50,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.12,1.12,1.12,1.2,1.18,1.18,2.609,1.18,1.19,1.176,1637299.85,1392254.0,365.0,0.0,1.12,1,1.0,11800.0,10000,9,35400.0,30000,7,1.16,1.2,1.177,12963.8,11014,4,0.0,0.0,0.0,0.0,0,0
2015-12-09,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.19,1.19,1.18,1.22,1.2,1.2,1.695,1.18,1.2,1.2,568319.21,473504.0,268.0,0.0,5.95,5,1.0,18120.0,15100,5,0.0,0,0,1.22,1.22,1.22,2652.28,2174,8,0.0,0.0,0.0,0.0,0,0
2015-12-10,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.19,1.19,1.17,1.23,1.17,1.17,-2.5,1.17,1.18,1.2,409487.21,341151.0,317.0,0.0,5950.0,5000,4.0,23400.0,20000,11,10533.51,9003,11,1.21,1.22,1.215,2673.0,2200,7,0.0,0.0,0.0,0.0,0,0
2015-12-11,VAKFN,VAKIF FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTVAKFN,0,0,0,0,0,1.17,1.17,1.13,1.18,1.17,1.17,0.0,1.17,1.18,1.154,257309.36,222877.0,138.0,0.0,5885.1,5030,2.0,29367.0,25100,7,10102.95,8635,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
