TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,VAKKO,VAKKO TEKSTIL VE HAZIR GIYIM AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.32,0.0,1.29,1.35,1.31,0.0,0.0,1.3,1.31,1.312,365135.86,278358.0,221.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,1.3,1.3,1.3,3250.0,2500,2,0.0,0.0,0.0,0.0,0,0
2015-12-01,VAKKO,VAKKO TEKSTIL VE HAZIR GIYIM AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.31,0.0,1.29,1.33,1.33,1.33,1.527,1.32,1.33,1.318,548273.03,415998.0,250.0,0.0,0.0,0,0.0,6650.0,5000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,VAKKO,VAKKO TEKSTIL VE HAZIR GIYIM AS,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.33,1.33,1.31,1.35,1.32,1.32,-0.752,1.32,1.33,1.333,657531.39,493182.0,233.0,0.0,27778.38,20886,6.0,13200.0,10000,1,0.0,0,0,1.32,1.32,1.32,3300.0,2500,2,0.0,0.0,0.0,0.0,0,0
2015-12-03,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.32,0.0,1.28,1.34,1.28,1.28,-3.03,1.28,1.29,1.306,389707.8,298372.0,194.0,0.0,0.0,0,0.0,12800.0,10000,2,0.0,0,0,1.31,1.32,1.318,26350.0,20000,16,0.0,0.0,0.0,0.0,0,0
2015-12-04,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.29,1.29,1.26,1.31,1.28,1.28,0.0,1.28,1.29,1.279,446316.15,348878.0,273.0,0.0,2515.5,1950,1.0,1795.84,1403,3,1175.04,918,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.27,0.0,1.27,1.29,1.29,1.29,0.781,1.28,1.29,1.277,195934.8,153431.0,163.0,0.0,0.0,0,0.0,27.09,21,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.28,0.0,1.26,1.31,1.26,1.26,-2.326,1.26,1.27,1.291,784475.66,607605.0,320.0,0.0,0.0,0,0.0,945.0,750,10,0.0,0,0,1.31,1.31,1.31,6550.0,5000,2,0.0,0.0,0.0,0.0,0,0
2015-12-09,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.27,1.27,1.25,1.3,1.27,1.27,0.794,1.27,1.28,1.271,248542.84,195614.0,182.0,0.0,381.0,300,3.0,2222.5,1750,3,7550.15,5945,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.27,0.0,1.22,1.29,1.23,1.23,-3.15,1.22,1.23,1.264,459253.94,363392.0,294.0,0.0,0.0,0,0.0,1231.23,1001,2,0.0,0,0,1.27,1.28,1.273,19100.0,15000,8,0.0,0.0,0.0,0.0,0,0
2015-12-11,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.23,1.23,1.14,1.23,1.15,1.15,-6.504,1.15,1.17,1.172,501368.74,427941.0,395.0,0.0,2583.0,2100,2.0,575.0,500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.17,1.17,1.1,1.19,1.12,1.12,-2.609,1.12,1.13,1.147,333559.7,290824.0,338.0,0.0,1935.18,1654,5.0,247.52,221,1,312.48,279,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.13,1.13,1.13,1.17,1.17,1.17,4.464,1.16,1.17,1.154,375050.48,324962.0,261.0,0.0,2260.0,2000,3.0,4.68,4,2,1.17,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,VAKKO,VAKKO TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTVAKKO,0,0,0,0,0,1.17,0.0,1.14,1.17,1.17,1.17,0.0,1.16,1.17,1.155,161739.98,140043.0,143.0,0.0,0.0,0,0.0,7.02,6,3,0.0,0,0,1.15,1.15,1.15,11500.0,10000,5,0.0,0.0,0.0,0.0,0,0
